Timestamp,"['1fa2475d-a528bc63 0002-VOICE & OPERA CNTR Power Meter (301411) W-hours, Received']"
2017-01-01T00:00:00-07:00,16.40625 kWh
2017-01-02T00:00:00-07:00,22.15625 kWh
2017-01-03T00:00:00-07:00,36.84375 kWh
2017-01-04T00:00:00-07:00,50.1015625 kWh
2017-01-05T00:00:00-07:00,30.2734375 kWh
2017-01-06T00:00:00-07:00,32.53125 kWh
2017-01-07T00:00:00-07:00,20.21875 kWh
2017-01-08T00:00:00-07:00,18.1796875 kWh
2017-01-09T00:00:00-07:00,29.03125 kWh
2017-01-10T00:00:00-07:00,39.15625 kWh
2017-01-11T00:00:00-07:00,30.4140625 kWh
2017-01-12T00:00:00-07:00,24.3984375 kWh
2017-01-13T00:00:00-07:00,42.515625 kWh
2017-01-14T00:00:00-07:00,13.3125 kWh
2017-01-15T00:00:00-07:00,14.6328125 kWh
2017-01-16T00:00:00-07:00,26.8046875 kWh
2017-01-17T00:00:00-07:00,37.5390625 kWh
2017-01-18T00:00:00-07:00,39.1328125 kWh
2017-01-19T00:00:00-07:00,24.2109375 kWh
2017-01-20T00:00:00-07:00,42.921875 kWh
2017-01-21T00:00:00-07:00,23.0859375 kWh
2017-01-22T00:00:00-07:00,19.7890625 kWh
2017-01-23T00:00:00-07:00,25.125 kWh
2017-01-24T00:00:00-07:00,39.6484375 kWh
2017-01-25T00:00:00-07:00,35.4921875 kWh
2017-01-26T00:00:00-07:00,35.4140625 kWh
2017-01-27T00:00:00-07:00,21.1015625 kWh
2017-01-28T00:00:00-07:00,26.9140625 kWh
2017-01-29T00:00:00-07:00,17 kWh
2017-01-30T00:00:00-07:00,31.1796875 kWh
2017-01-31T00:00:00-07:00,29.2109375 kWh
2017-02-01T00:00:00-07:00,27.5078125 kWh
2017-02-02T00:00:00-07:00,21.5390625 kWh
2017-02-03T00:00:00-07:00,104.1796875 kWh
2017-02-07T00:00:00-07:00,16.0625 kWh
2017-02-08T00:00:00-07:00,19.9375 kWh
2017-02-09T00:00:00-07:00,16.7109375 kWh
2017-02-10T00:00:00-07:00,19.1796875 kWh
2017-02-11T00:00:00-07:00,31.71875 kWh
2017-02-12T00:00:00-07:00,17.1328125 kWh
2017-02-13T00:00:00-07:00,34.1875 kWh
2017-02-14T00:00:00-07:00,27.6796875 kWh
2017-02-15T00:00:00-07:00,28.203125 kWh
2017-02-16T00:00:00-07:00,19.1796875 kWh
2017-02-17T00:00:00-07:00,18.015625 kWh
2017-02-18T00:00:00-07:00,15 kWh
2017-02-19T00:00:00-07:00,10.125 kWh
2017-02-20T00:00:00-07:00,23.1796875 kWh
2017-02-21T00:00:00-07:00,22.265625 kWh
2017-02-22T00:00:00-07:00,19.7109375 kWh
2017-02-23T00:00:00-07:00,21.8515625 kWh
2017-02-24T00:00:00-07:00,22.046875 kWh
