Timestamp,['1fa62358-f3b7d4c0 0003-GARDNER HALL Power Meter (300015) Current C']
2017-01-01T00:00:00-07:00,155.03991063435873 A
2017-01-02T00:00:00-07:00,159.75250498453775 A
2017-01-03T00:00:00-07:00,173.62254524230957 A
2017-01-04T00:00:00-07:00,169.45927937825522 A
2017-01-05T00:00:00-07:00,167.0394746462504 A
2017-01-06T00:00:00-07:00,175.30785290400186 A
2017-01-07T00:00:00-07:00,163.06673208872476 A
2017-01-08T00:00:00-07:00,153.10243320465088 A
2017-01-09T00:00:00-07:00,212.8996783097585 A
2017-01-10T00:00:00-07:00,187.69743871688843 A
2017-01-11T00:00:00-07:00,185.16180801391602 A
2017-01-12T00:00:00-07:00,188.1808007558187 A
2017-01-13T00:00:00-07:00,214.22287543614706 A
2017-01-14T00:00:00-07:00,188.30552848180136 A
2017-01-15T00:00:00-07:00,173.4731338818868 A
2017-01-16T00:00:00-07:00,162.79893143971762 A
2017-01-17T00:00:00-07:00,198.83748626708984 A
2017-01-18T00:00:00-07:00,206.926881699335 A
2017-01-19T00:00:00-07:00,204.82864681879678 A
2017-01-20T00:00:00-07:00,211.94245719909668 A
2017-01-21T00:00:00-07:00,177.07719643910727 A
2017-01-22T00:00:00-07:00,177.77260748545328 A
2017-01-23T00:00:00-07:00,187.614724000295 A
2017-01-24T00:00:00-07:00,208.18419059117636 A
2017-01-25T00:00:00-07:00,207.12964804967245 A
2017-01-26T00:00:00-07:00,203.87913688023886 A
2017-01-27T00:00:00-07:00,206.86196041107178 A
2017-01-28T00:00:00-07:00,215.64241298039755 A
2017-01-29T00:00:00-07:00,179.25039291381836 A
2017-01-30T00:00:00-07:00,199.55124632517496 A
2017-01-31T00:00:00-07:00,211.73606316248575 A
2017-02-01T00:00:00-07:00,208.81363757451376 A
2017-02-02T00:00:00-07:00,208.7417105038961 A
2017-02-03T00:00:00-07:00,202.53562848321323 A
2017-02-07T00:00:00-07:00,222.11281497661884 A
2017-02-08T00:00:00-07:00,198.86321309407552 A
2017-02-09T00:00:00-07:00,188.40513245264688 A
2017-02-10T00:00:00-07:00,198.32684421539307 A
2017-02-11T00:00:00-07:00,195.28285614649454 A
2017-02-12T00:00:00-07:00,176.43451070785522 A
2017-02-13T00:00:00-07:00,193.68721628189087 A
2017-02-14T00:00:00-07:00,194.95545355478922 A
2017-02-15T00:00:00-07:00,206.21056350072226 A
2017-02-16T00:00:00-07:00,206.88913202285767 A
2017-02-17T00:00:00-07:00,204.92126750946045 A
2017-02-18T00:00:00-07:00,203.76957972844443 A
2017-02-19T00:00:00-07:00,160.9309229850769 A
2017-02-20T00:00:00-07:00,179.37569618225098 A
2017-02-21T00:00:00-07:00,208.00494194030762 A
2017-02-22T00:00:00-07:00,207.28480497996011 A
2017-02-23T00:00:00-07:00,209.1764440536499 A
2017-02-24T00:00:00-07:00,181.30665395229678 A
2017-02-25T00:00:00-07:00,179.7810204823812 A
2017-02-26T00:00:00-07:00,177.8416862487793 A
2017-02-27T00:00:00-07:00,221.98222668965658 A
2017-02-28T00:00:00-07:00,203.91595379511514 A
2017-03-01T00:00:00-07:00,203.73687728246054 A
2017-03-02T00:00:00-07:00,213.33741998672485 A
2017-03-03T00:00:00-07:00,219.14590167999268 A
2017-03-04T00:00:00-07:00,212.5878349939982 A
2017-03-05T00:00:00-07:00,181.42836999893188 A
2017-03-06T00:00:00-07:00,210.43438895543417 A
2017-03-07T00:00:00-07:00,205.48000033696493 A
2017-03-08T00:00:00-07:00,189.1951902707418 A
2017-03-09T00:00:00-07:00,215.89580837885538 A
2017-03-10T00:00:00-07:00,199.55246194203696 A
2017-03-11T00:00:00-07:00,194.91701046625772 A
2017-03-12T00:00:00-07:00,173.53064230213994 A
2017-03-13T00:00:00-06:00,167.81961425145468 A
2017-03-14T00:00:00-06:00,188.84308099746704 A
2017-03-15T00:00:00-06:00,172.56693983078003 A
2017-03-16T00:00:00-06:00,195.89981857935587 A
2017-03-17T00:00:00-06:00,201.12189753850302 A
2017-03-18T00:00:00-06:00,176.63628800710043 A
2017-03-19T00:00:00-06:00,154.77349996566772 A
2017-03-20T00:00:00-06:00,188.5256675084432 A
2017-03-21T00:00:00-06:00,219.95266977945963 A
2017-03-22T00:00:00-06:00,191.42644611994425 A
2017-03-23T00:00:00-06:00,209.91595379511514 A
2017-03-24T00:00:00-06:00,196.39976660410562 A
2017-03-25T00:00:00-06:00,208.8129736582438 A
2017-03-26T00:00:00-06:00,168.11478726069132 A
2017-03-27T00:00:00-06:00,200.9893250465393 A
2017-03-28T00:00:00-06:00,199.86371358235678 A
2017-03-29T00:00:00-06:00,203.96414460076227 A
2017-03-30T00:00:00-06:00,228.42619052463107 A
2017-03-31T00:00:00-06:00,205.4610505104065 A
2017-04-01T00:00:00-06:00,158.7661738395691 A
2017-04-02T00:00:00-06:00,151.15504471460977 A
2017-04-03T00:00:00-06:00,207.81066417694092 A
2017-04-04T00:00:00-06:00,190.27019230524698 A
2017-04-05T00:00:00-06:00,207.28703180948892 A
2017-04-06T00:00:00-06:00,192.61837514241537 A
2017-04-07T00:00:00-06:00,198.71720218658447 A
2017-04-08T00:00:00-06:00,156.82876920700073 A
2017-04-09T00:00:00-06:00,160.859081586202 A
2017-04-10T00:00:00-06:00,200.54947725931802 A
2017-04-11T00:00:00-06:00,189.63137833277383 A
2017-04-12T00:00:00-06:00,194.81618070602417 A
2017-04-13T00:00:00-06:00,206.84939368565878 A
2017-04-14T00:00:00-06:00,205.38475211461386 A
2017-04-15T00:00:00-06:00,181.96247625350952 A
2017-04-16T00:00:00-06:00,148.50796238581339 A
2017-04-17T00:00:00-06:00,210.81664562225342 A
2017-04-18T00:00:00-06:00,193.33855112393698 A
2017-04-19T00:00:00-06:00,203.5873220761617 A
2017-04-20T00:00:00-06:00,189.63071537017822 A
2017-04-21T00:00:00-06:00,200.65474812189737 A
2017-04-22T00:00:00-06:00,195.0592827796936 A
2017-04-23T00:00:00-06:00,173.53640683492026 A
2017-04-24T00:00:00-06:00,201.34088198343912 A
2017-04-25T00:00:00-06:00,194.53029123942056 A
2017-04-26T00:00:00-06:00,176.8055739402771 A
2017-04-27T00:00:00-06:00,192.4266119003296 A
2017-04-28T00:00:00-06:00,185.95419375101724 A
2017-04-29T00:00:00-06:00,175.07616313298544 A
2017-04-30T00:00:00-06:00,163.7520171801249 A
2017-05-01T00:00:00-06:00,192.9922227859497 A
2017-05-02T00:00:00-06:00,196.93519671758017 A
2017-05-03T00:00:00-06:00,180.55129305521646 A
2017-05-04T00:00:00-06:00,182.61263211568198 A
2017-05-05T00:00:00-06:00,182.6669143040975 A
2017-05-06T00:00:00-06:00,180.1507019996643 A
2017-05-07T00:00:00-06:00,154.61875089009604 A
2017-05-08T00:00:00-06:00,184.5806409517924 A
2017-05-09T00:00:00-06:00,170.34075593948364 A
2017-05-10T00:00:00-06:00,169.9633633295695 A
2017-05-11T00:00:00-06:00,164.27565733591715 A
2017-05-12T00:00:00-06:00,187.31022373835245 A
2017-05-13T00:00:00-06:00,173.96793270111084 A
2017-05-14T00:00:00-06:00,135.91642014185587 A
2017-05-15T00:00:00-06:00,159.1580195426941 A
2017-05-16T00:00:00-06:00,166.86684354146323 A
2017-05-17T00:00:00-06:00,166.5888867378235 A
2017-05-18T00:00:00-06:00,175.7552916208903 A
2017-05-19T00:00:00-06:00,181.28439712524414 A
2017-05-20T00:00:00-06:00,163.31283315022787 A
2017-05-21T00:00:00-06:00,154.49475367863974 A
2017-05-22T00:00:00-06:00,166.82984415690103 A
2017-05-23T00:00:00-06:00,170.54275512695312 A
2017-05-24T00:00:00-06:00,178.43931992848715 A
2017-05-25T00:00:00-06:00,182.1408732732137 A
2017-05-26T00:00:00-06:00,168.05377554893494 A
2017-05-27T00:00:00-06:00,146.0723932584127 A
2017-05-28T00:00:00-06:00,137.75490172704062 A
2017-05-29T00:00:00-06:00,134.7740133603414 A
2017-05-30T00:00:00-06:00,168.51408052444458 A
2017-05-31T00:00:00-06:00,167.48288186391196 A
2017-06-01T00:00:00-06:00,164.89127175013223 A
2017-06-02T00:00:00-06:00,173.16487503051758 A
2017-06-03T00:00:00-06:00,168.81741070747375 A
2017-06-04T00:00:00-06:00,140.9750498930613 A
2017-06-05T00:00:00-06:00,162.354501247406 A
2017-06-06T00:00:00-06:00,154.19489542643228 A
2017-06-07T00:00:00-06:00,157.70826164881387 A
2017-06-08T00:00:00-06:00,177.86058568954468 A
2017-06-09T00:00:00-06:00,164.33973995844522 A
2017-06-10T00:00:00-06:00,147.10774834950766 A
2017-06-11T00:00:00-06:00,140.03463904062906 A
2017-06-12T00:00:00-06:00,163.0230509440104 A
2017-06-13T00:00:00-06:00,173.10424995422363 A
2017-06-14T00:00:00-06:00,166.0173053741455 A
2017-06-15T00:00:00-06:00,164.33824904759726 A
2017-06-16T00:00:00-06:00,155.12470865249634 A
2017-06-17T00:00:00-06:00,152.7338922818502 A
2017-06-18T00:00:00-06:00,155.87166245778403 A
2017-06-19T00:00:00-06:00,196.87773450215658 A
2017-06-20T00:00:00-06:00,193.50865626335144 A
2017-06-21T00:00:00-06:00,198.08868821461996 A
2017-06-22T00:00:00-06:00,186.05997530619302 A
2017-06-23T00:00:00-06:00,169.45268122355142 A
2017-06-24T00:00:00-06:00,144.0328288078308 A
2017-06-25T00:00:00-06:00,135.5902456442515 A
2017-06-26T00:00:00-06:00,155.90565570195517 A
2017-06-27T00:00:00-06:00,159.08590038617453 A
2017-06-28T00:00:00-06:00,146.90668018658957 A
2017-06-29T00:00:00-06:00,161.55686457951865 A
2017-06-30T00:00:00-06:00,162.15850083033243 A
2017-07-01T00:00:00-06:00,140.6256762345632 A
2017-07-02T00:00:00-06:00,134.90497748057047 A
2017-07-03T00:00:00-06:00,147.92311064402261 A
2017-07-04T00:00:00-06:00,138.5548730691274 A
2017-07-05T00:00:00-06:00,163.38726162910461 A
2017-07-06T00:00:00-06:00,170.6969734032949 A
2017-07-07T00:00:00-06:00,161.69708927472433 A
2017-07-08T00:00:00-06:00,160.59262998898825 A
2017-07-09T00:00:00-06:00,153.07314364115396 A
2017-07-10T00:00:00-06:00,167.6276421546936 A
2017-07-11T00:00:00-06:00,153.15668368339539 A
2017-07-12T00:00:00-06:00,176.65004364649454 A
2017-07-13T00:00:00-06:00,171.47243642807007 A
2017-07-14T00:00:00-06:00,173.30152901013693 A
2017-07-15T00:00:00-06:00,151.73215079307556 A
2017-07-16T00:00:00-06:00,154.24754079182944 A
2017-07-17T00:00:00-06:00,181.0093576113383 A
2017-07-18T00:00:00-06:00,176.51424908638 A
2017-07-19T00:00:00-06:00,163.2281080087026 A
2017-07-20T00:00:00-06:00,173.51203775405884 A
2017-07-21T00:00:00-06:00,165.69350671768188 A
2017-07-22T00:00:00-06:00,156.9332005182902 A
2017-07-23T00:00:00-06:00,140.9511722723643 A
2017-07-24T00:00:00-06:00,151.61862579981485 A
2017-07-25T00:00:00-06:00,162.72669760386148 A
2017-07-26T00:00:00-06:00,164.01461696624756 A
2017-07-27T00:00:00-06:00,165.62189213434854 A
2017-07-28T00:00:00-06:00,159.30540911356607 A
2017-07-29T00:00:00-06:00,157.09645557403564 A
2017-07-30T00:00:00-06:00,143.97276743253073 A
2017-07-31T00:00:00-06:00,177.55965026219687 A
2017-08-01T00:00:00-06:00,165.36253039042154 A
2017-08-02T00:00:00-06:00,161.60437202453613 A
2017-08-03T00:00:00-06:00,182.5250482559204 A
2017-08-04T00:00:00-06:00,161.21398506583748 A
2017-08-05T00:00:00-06:00,140.13804602622986 A
2017-08-06T00:00:00-06:00,137.52471367518106 A
2017-08-07T00:00:00-06:00,164.40757290522257 A
2017-08-08T00:00:00-06:00,162.27220026652017 A
2017-08-09T00:00:00-06:00,168.64418411254883 A
2017-08-10T00:00:00-06:00,174.55612669599816 A
2017-08-11T00:00:00-06:00,182.12356646855673 A
2017-08-12T00:00:00-06:00,166.53291177749634 A
2017-08-13T00:00:00-06:00,145.80267524719238 A
2017-08-14T00:00:00-06:00,168.59506384531656 A
2017-08-15T00:00:00-06:00,158.4818917910258 A
2017-08-16T00:00:00-06:00,160.7435156504313 A
2017-08-17T00:00:00-06:00,158.7801095644633 A
2017-08-18T00:00:00-06:00,154.9119373957316 A
2017-08-19T00:00:00-06:00,163.52282508214316 A
2017-08-20T00:00:00-06:00,143.52936712900797 A
2017-08-21T00:00:00-06:00,168.25763591130575 A
2017-08-22T00:00:00-06:00,169.92440207799277 A
2017-08-23T00:00:00-06:00,169.73114983240762 A
2017-08-24T00:00:00-06:00,170.5332522392273 A
2017-08-25T00:00:00-06:00,166.43529160817465 A
2017-08-26T00:00:00-06:00,145.85351339975992 A
2017-08-27T00:00:00-06:00,140.7096562385559 A
2017-08-28T00:00:00-06:00,173.477787469023 A
2017-08-29T00:00:00-06:00,169.6591062648322 A
2017-08-30T00:00:00-06:00,178.69337995847067 A
2017-08-31T00:00:00-06:00,177.22491534550986 A
2017-09-01T00:00:00-06:00,178.8762755393982 A
2017-09-02T00:00:00-06:00,142.85888497034708 A
2017-09-03T00:00:00-06:00,139.18942975495992 A
2017-09-04T00:00:00-06:00,147.11095650990805 A
2017-09-05T00:00:00-06:00,169.2296783129374 A
2017-09-06T00:00:00-06:00,184.4846862157186 A
2017-09-07T00:00:00-06:00,190.8275934855143 A
2017-09-08T00:00:00-06:00,188.6594148334704 A
2017-09-09T00:00:00-06:00,172.05984036127725 A
2017-09-10T00:00:00-06:00,155.67299938201904 A
2017-09-11T00:00:00-06:00,199.50086116790771 A
2017-09-12T00:00:00-06:00,197.46602725982666 A
2017-09-13T00:00:00-06:00,177.36333719889322 A
2017-09-14T00:00:00-06:00,193.28698698679605 A
2017-09-15T00:00:00-06:00,184.24807914098105 A
2017-09-16T00:00:00-06:00,172.9939743677775 A
2017-09-17T00:00:00-06:00,156.41163444519043 A
2017-09-18T00:00:00-06:00,179.02860260009766 A
2017-09-19T00:00:00-06:00,178.06704568862915 A
2017-09-20T00:00:00-06:00,191.55914068222046 A
2017-09-21T00:00:00-06:00,194.02136675516763 A
2017-09-22T00:00:00-06:00,187.4257264137268 A
2017-09-23T00:00:00-06:00,161.43762969970703 A
2017-09-24T00:00:00-06:00,174.30683104197183 A
2017-09-25T00:00:00-06:00,189.4939112663269 A
2017-09-26T00:00:00-06:00,197.23084338506064 A
2017-09-27T00:00:00-06:00,192.40617529551187 A
2017-09-28T00:00:00-06:00,177.22578541437784 A
2017-09-29T00:00:00-06:00,185.52784522374472 A
2017-09-30T00:00:00-06:00,178.8319886525472 A
2017-10-01T00:00:00-06:00,152.8739473025004 A
2017-10-02T00:00:00-06:00,195.39694213867188 A
2017-10-03T00:00:00-06:00,188.6143560409546 A
2017-10-04T00:00:00-06:00,203.2826608022054 A
2017-10-05T00:00:00-06:00,198.00567054748535 A
2017-10-06T00:00:00-06:00,191.03393332163492 A
2017-10-07T00:00:00-06:00,147.7103967666626 A
2017-10-08T00:00:00-06:00,148.56595961252847 A
2017-10-09T00:00:00-06:00,156.28133567174277 A
2017-10-10T00:00:00-06:00,155.95508241653442 A
2017-10-11T00:00:00-06:00,152.08294916152954 A
2017-10-12T00:00:00-06:00,153.09117205937704 A
2017-10-13T00:00:00-06:00,163.9384387334188 A
2017-10-14T00:00:00-06:00,172.063081741333 A
2017-10-15T00:00:00-06:00,139.41981426874796 A
2017-10-16T00:00:00-06:00,171.4761816660563 A
2017-10-17T00:00:00-06:00,177.40541489919028 A
2017-10-18T00:00:00-06:00,178.5535807609558 A
2017-10-19T00:00:00-06:00,187.12255239486694 A
2017-10-20T00:00:00-06:00,176.22366571426392 A
2017-10-21T00:00:00-06:00,157.41259558995566 A
2017-10-22T00:00:00-06:00,151.73106416066489 A
2017-10-23T00:00:00-06:00,181.46135663986206 A
2017-10-24T00:00:00-06:00,182.28933715820312 A
2017-10-25T00:00:00-06:00,184.97989463806152 A
2017-10-26T00:00:00-06:00,183.2646884918213 A
2017-10-27T00:00:00-06:00,178.30034573872885 A
2017-10-28T00:00:00-06:00,161.8409964243571 A
2017-10-29T00:00:00-06:00,159.7710968653361 A
2017-10-30T00:00:00-06:00,181.59050607681274 A
2017-10-31T00:00:00-06:00,160.33035262425742 A
2017-11-01T00:00:00-06:00,184.93031096458435 A
2017-11-02T00:00:00-06:00,183.42508761088052 A
2017-11-03T00:00:00-06:00,169.67219479878744 A
2017-11-04T00:00:00-06:00,162.80213379859924 A
2017-11-05T00:00:00-06:00,155.59071228027344 A
2017-11-06T00:00:00-07:00,175.32266267140707 A
2017-11-07T00:00:00-07:00,182.39226071039835 A
2017-11-08T00:00:00-07:00,183.9039265314738 A
2017-11-09T00:00:00-07:00,186.02598492304483 A
2017-11-10T00:00:00-07:00,186.98420683542886 A
2017-11-11T00:00:00-07:00,171.9142303466797 A
2017-11-12T00:00:00-07:00,156.6133281389872 A
2017-11-13T00:00:00-07:00,184.93695640563965 A
2017-11-14T00:00:00-07:00,180.91258653004965 A
2017-11-15T00:00:00-07:00,186.16900555292764 A
2017-11-16T00:00:00-07:00,180.51057942708334 A
2017-11-17T00:00:00-07:00,186.17587804794312 A
