Timestamp,['1fd1b090-b06c20d1 0082-SKAGGS BIOLOGY BLDG Power Meter Current A']
2017-01-01T00:00:00-07:00,506.95938301086426 A
2017-01-02T00:00:00-07:00,515.0406341552734 A
2017-01-03T00:00:00-07:00,539.5677181879679 A
2017-01-04T00:00:00-07:00,547.9573033650717 A
2017-01-05T00:00:00-07:00,528.8041766484579 A
2017-01-06T00:00:00-07:00,515.2687590916952 A
2017-01-07T00:00:00-07:00,522.6656370162964 A
2017-01-08T00:00:00-07:00,513.469801902771 A
2017-01-09T00:00:00-07:00,554.0323034922282 A
2017-01-10T00:00:00-07:00,551.2916797002157 A
2017-01-11T00:00:00-07:00,514.0552177429199 A
2017-01-12T00:00:00-07:00,522.9489707946777 A
2017-01-13T00:00:00-07:00,527.6823018391927 A
2017-01-14T00:00:00-07:00,498.5208412806193 A
2017-01-15T00:00:00-07:00,502.23438358306885 A
2017-01-16T00:00:00-07:00,528.8073012034098 A
2017-01-17T00:00:00-07:00,542.4800113075657 A
2017-01-18T00:00:00-07:00,509.1388345157399 A
2017-01-19T00:00:00-07:00,526.7906351089478 A
2017-01-20T00:00:00-07:00,507.2812573115031 A
2017-01-21T00:00:00-07:00,470.1552158991496 A
2017-01-22T00:00:00-07:00,472.195839881897 A
2017-01-23T00:00:00-07:00,513.5739679336548 A
2017-01-24T00:00:00-07:00,523.439592997233 A
2017-01-25T00:00:00-07:00,523.906260172526 A
2017-01-26T00:00:00-07:00,526.1781326929728 A
2017-01-27T00:00:00-07:00,517.8437550862631 A
2017-01-28T00:00:00-07:00,497.1739664077759 A
2017-01-29T00:00:00-07:00,492.01146443684894 A
2017-01-30T00:00:00-07:00,520.7062632242838 A
2017-01-31T00:00:00-07:00,517.7198015848795 A
2017-02-01T00:00:00-07:00,515.603133837382 A
2017-02-02T00:00:00-07:00,521.3718840281168 A
2017-02-03T00:00:00-07:00,528.1271248510328 A
2017-02-07T00:00:00-07:00,563.2615497295673 A
2017-02-08T00:00:00-07:00,554.2590997869319 A
2017-02-09T00:00:00-07:00,564.85001150767 A
2017-02-10T00:00:00-07:00,545.7062613169352 A
2017-02-11T00:00:00-07:00,508.35895899722453 A
2017-02-12T00:00:00-07:00,503.25729783376056 A
2017-02-13T00:00:00-07:00,533.7135499318441 A
2017-02-14T00:00:00-07:00,535.8625109990438 A
2017-02-15T00:00:00-07:00,545.614595413208 A
2017-02-16T00:00:00-07:00,538.252093633016 A
2017-02-17T00:00:00-07:00,531.3072999318441 A
2017-02-18T00:00:00-07:00,501.5875069300334 A
2017-02-19T00:00:00-07:00,496.32500616709393 A
2017-02-20T00:00:00-07:00,506.84896659851074 A
2017-02-21T00:00:00-07:00,550.7520955403646 A
2017-02-22T00:00:00-07:00,551.658343633016 A
2017-02-23T00:00:00-07:00,541.9250081380209 A
2017-02-24T00:00:00-07:00,530.6708972786047 A
2017-02-25T00:00:00-07:00,496.91667524973553 A
2017-02-26T00:00:00-07:00,496.5395911534627 A
2017-02-27T00:00:00-07:00,545.3958460489908 A
2017-02-28T00:00:00-07:00,546.4875094095866 A
2017-03-01T00:00:00-07:00,540.6020930608114 A
2017-03-02T00:00:00-07:00,542.7031342188517 A
2017-03-03T00:00:00-07:00,547.6052207946777 A
2017-03-04T00:00:00-07:00,519.952094078064 A
2017-03-05T00:00:00-07:00,512.735426902771 A
