Timestamp,['1fd1b098-d20df861 0082-SKAGGS BIOLOGY BLDG Power Meter Current C']
2017-01-01T00:00:00-07:00,533.1364739735922 A
2017-01-02T00:00:00-07:00,537.9395952224731 A
2017-01-03T00:00:00-07:00,555.8864727020264 A
2017-01-04T00:00:00-07:00,563.2739741007487 A
2017-01-05T00:00:00-07:00,542.7677183151245 A
2017-01-06T00:00:00-07:00,533.9937610626221 A
2017-01-07T00:00:00-07:00,555.1823012034098 A
2017-01-08T00:00:00-07:00,540.5125118891398 A
2017-01-09T00:00:00-07:00,566.0239683787028 A
2017-01-10T00:00:00-07:00,562.2322991689047 A
2017-01-11T00:00:00-07:00,532.7562599182129 A
2017-01-12T00:00:00-07:00,543.640635808309 A
2017-01-13T00:00:00-07:00,540.8437633514404 A
2017-01-14T00:00:00-07:00,512.2270892461141 A
2017-01-15T00:00:00-07:00,510.522926012675 A
2017-01-16T00:00:00-07:00,541.4437630971273 A
2017-01-17T00:00:00-07:00,554.4800113075657 A
2017-01-18T00:00:00-07:00,530.4176592658548 A
2017-01-19T00:00:00-07:00,540.705220858256 A
2017-01-20T00:00:00-07:00,526.0791778564453 A
2017-01-21T00:00:00-07:00,506.9083420435588 A
2017-01-22T00:00:00-07:00,506.5947987238566 A
2017-01-23T00:00:00-07:00,534.3312600453695 A
2017-01-24T00:00:00-07:00,531.9072993596395 A
2017-01-25T00:00:00-07:00,532.5458443959554 A
2017-01-26T00:00:00-07:00,533.4010540644327 A
2017-01-27T00:00:00-07:00,533.0562604268392 A
2017-01-28T00:00:00-07:00,519.1854295730591 A
2017-01-29T00:00:00-07:00,518.5729268391927 A
2017-01-30T00:00:00-07:00,535.6281382242838 A
2017-01-31T00:00:00-07:00,535.6354271570841 A
2017-02-01T00:00:00-07:00,533.4625116984049 A
2017-02-02T00:00:00-07:00,537.0750090281168 A
2017-02-03T00:00:00-07:00,544.9457749188956 A
2017-02-07T00:00:00-07:00,583.4827047494741 A
2017-02-08T00:00:00-07:00,571.3829637007279 A
2017-02-09T00:00:00-07:00,573.7375135421753 A
2017-02-10T00:00:00-07:00,557.6698036193848 A
2017-02-11T00:00:00-07:00,533.3947477641858 A
2017-02-12T00:00:00-07:00,530.9198026657104 A
2017-02-13T00:00:00-07:00,547.6979268391927 A
2017-02-14T00:00:00-07:00,546.019801457723 A
2017-02-15T00:00:00-07:00,549.8364674250284 A
2017-02-16T00:00:00-07:00,539.7010548909506 A
2017-02-17T00:00:00-07:00,544.1864678064982 A
2017-02-18T00:00:00-07:00,520.5906346638998 A
2017-02-19T00:00:00-07:00,515.3166767756144 A
2017-02-20T00:00:00-07:00,526.4573011398315 A
2017-02-21T00:00:00-07:00,558.5948022206625 A
2017-02-22T00:00:00-07:00,563.8364686965942 A
2017-02-23T00:00:00-07:00,556.8635530471802 A
2017-02-24T00:00:00-07:00,542.433344131861 A
2017-02-25T00:00:00-07:00,523.7073008219401 A
2017-02-26T00:00:00-07:00,523.8583447138468 A
2017-02-27T00:00:00-07:00,557.5052197774252 A
2017-02-28T00:00:00-07:00,560.6948057810465 A
2017-03-01T00:00:00-07:00,552.3687626520792 A
2017-03-02T00:00:00-07:00,553.4156344731649 A
2017-03-03T00:00:00-07:00,554.3229274749756 A
2017-03-04T00:00:00-07:00,538.9323034286499 A
2017-03-05T00:00:00-07:00,524.2510522206625 A
2017-03-06T00:00:00-07:00,539.425009727478 A
2017-03-07T00:00:00-07:00,551.1614710489908 A
2017-03-08T00:00:00-07:00,556.8812596003214 A
2017-03-09T00:00:00-07:00,569.9687636693319 A
2017-03-10T00:00:00-07:00,581.8333441416422 A
2017-03-11T00:00:00-07:00,540.4062623977661 A
2017-03-12T00:00:00-07:00,549.5706644472868 A
2017-03-13T00:00:00-06:00,573.7781359354655 A
2017-03-14T00:00:00-06:00,557.6395959854126 A
2017-03-15T00:00:00-06:00,572.8198019663492 A
2017-03-16T00:00:00-06:00,583.5083452860514 A
2017-03-17T00:00:00-06:00,577.2250099182129 A
2017-03-18T00:00:00-06:00,551.7416801452637 A
2017-03-19T00:00:00-06:00,546.8541781107584 A
2017-03-20T00:00:00-06:00,592.9395952224731 A
2017-03-21T00:00:00-06:00,603.3843879699707 A
2017-03-22T00:00:00-06:00,615.1281372706095 A
2017-03-23T00:00:00-06:00,600.8833468755087 A
2017-03-24T00:00:00-06:00,613.2781359354655 A
2017-03-25T00:00:00-06:00,579.6958465576172 A
2017-03-26T00:00:00-06:00,576.8448028564453 A
2017-03-27T00:00:00-06:00,615.6635513305664 A
2017-03-28T00:00:00-06:00,577.9135548273722 A
2017-03-29T00:00:00-06:00,574.2680702209473 A
2017-03-30T00:00:00-06:00,577.5755669487847 A
2017-03-31T00:00:00-06:00,565.4115886487459 A
2017-04-01T00:00:00-06:00,538.0895942052206 A
2017-04-02T00:00:00-06:00,517.3500099182129 A
2017-04-03T00:00:00-06:00,580.8354272842407 A
2017-04-04T00:00:00-06:00,551.4448022842407 A
2017-04-05T00:00:00-06:00,550.7208423614502 A
2017-04-06T00:00:00-06:00,576.3343811035156 A
2017-04-07T00:00:00-06:00,668.4458443323771 A
2017-04-08T00:00:00-06:00,606.4604320526123 A
2017-04-09T00:00:00-06:00,611.8010527292887 A
2017-04-10T00:00:00-06:00,627.0593856175741 A
2017-04-11T00:00:00-06:00,651.8781385421753 A
2017-04-12T00:00:00-06:00,742.0541750590006 A
2017-04-13T00:00:00-06:00,747.8395951588949 A
2017-04-14T00:00:00-06:00,740.8448022206625 A
2017-04-15T00:00:00-06:00,675.3385537465414 A
2017-04-16T00:00:00-06:00,688.1677207946777 A
2017-04-17T00:00:00-06:00,620.6854317982992 A
