Timestamp,['1fd1b0ac-bc81afd9 0082-SKAGGS BIOLOGY BLDG Power Meter kW demand']
2017-01-01T00:00:00-07:00,398 kW
2017-01-02T00:00:00-07:00,403 kW
2017-01-03T00:00:00-07:00,447 kW
2017-01-04T00:00:00-07:00,458 kW
2017-01-05T00:00:00-07:00,442 kW
2017-01-06T00:00:00-07:00,448 kW
2017-01-07T00:00:00-07:00,408 kW
2017-01-08T00:00:00-07:00,415 kW
2017-01-09T00:00:00-07:00,482 kW
2017-01-10T00:00:00-07:00,492 kW
2017-01-11T00:00:00-07:00,450 kW
2017-01-12T00:00:00-07:00,446 kW
2017-01-13T00:00:00-07:00,450 kW
2017-01-14T00:00:00-07:00,385 kW
2017-01-15T00:00:00-07:00,383 kW
2017-01-16T00:00:00-07:00,432 kW
2017-01-17T00:00:00-07:00,471 kW
2017-01-18T00:00:00-07:00,456 kW
2017-01-19T00:00:00-07:00,446 kW
2017-01-20T00:00:00-07:00,434 kW
2017-01-21T00:00:00-07:00,375 kW
2017-01-22T00:00:00-07:00,379 kW
2017-01-23T00:00:00-07:00,449 kW
2017-01-24T00:00:00-07:00,444 kW
2017-01-25T00:00:00-07:00,449 kW
2017-01-26T00:00:00-07:00,449 kW
2017-01-27T00:00:00-07:00,450 kW
2017-01-28T00:00:00-07:00,394 kW
2017-01-29T00:00:00-07:00,401 kW
2017-01-30T00:00:00-07:00,447 kW
2017-01-31T00:00:00-07:00,457 kW
2017-02-01T00:00:00-07:00,445 kW
2017-02-02T00:00:00-07:00,455 kW
2017-02-03T00:00:00-07:00,454 kW
2017-02-07T00:00:00-07:00,471 kW
2017-02-08T00:00:00-07:00,488 kW
2017-02-09T00:00:00-07:00,485 kW
2017-02-10T00:00:00-07:00,471 kW
2017-02-11T00:00:00-07:00,407 kW
2017-02-12T00:00:00-07:00,406 kW
2017-02-13T00:00:00-07:00,466 kW
2017-02-14T00:00:00-07:00,456 kW
2017-02-15T00:00:00-07:00,462 kW
2017-02-16T00:00:00-07:00,454 kW
2017-02-17T00:00:00-07:00,463 kW
2017-02-18T00:00:00-07:00,400 kW
2017-02-19T00:00:00-07:00,399 kW
2017-02-20T00:00:00-07:00,418 kW
2017-02-21T00:00:00-07:00,482 kW
2017-02-22T00:00:00-07:00,468 kW
2017-02-23T00:00:00-07:00,462 kW
2017-02-24T00:00:00-07:00,454 kW
2017-02-25T00:00:00-07:00,391 kW
2017-02-26T00:00:00-07:00,401 kW
2017-02-27T00:00:00-07:00,464 kW
2017-02-28T00:00:00-07:00,465 kW
2017-03-01T00:00:00-07:00,458 kW
2017-03-02T00:00:00-07:00,475 kW
2017-03-03T00:00:00-07:00,483 kW
2017-03-04T00:00:00-07:00,412 kW
2017-03-05T00:00:00-07:00,416 kW
2017-03-06T00:00:00-07:00,472 kW
2017-03-07T00:00:00-07:00,463 kW
2017-03-08T00:00:00-07:00,470 kW
2017-03-09T00:00:00-07:00,488 kW
2017-03-10T00:00:00-07:00,545 kW
2017-03-11T00:00:00-07:00,423 kW
2017-03-12T00:00:00-07:00,433 kW
2017-03-13T00:00:00-06:00,488 kW
2017-03-14T00:00:00-06:00,498 kW
2017-03-15T00:00:00-06:00,523 kW
2017-03-16T00:00:00-06:00,535 kW
2017-03-17T00:00:00-06:00,531 kW
2017-03-18T00:00:00-06:00,452 kW
2017-03-19T00:00:00-06:00,442 kW
2017-03-20T00:00:00-06:00,555 kW
2017-03-21T00:00:00-06:00,551 kW
2017-03-22T00:00:00-06:00,544 kW
2017-03-23T00:00:00-06:00,527 kW
2017-03-24T00:00:00-06:00,548 kW
2017-03-25T00:00:00-06:00,449 kW
2017-03-26T00:00:00-06:00,454 kW
2017-03-27T00:00:00-06:00,544 kW
2017-03-28T00:00:00-06:00,501 kW
2017-03-29T00:00:00-06:00,505 kW
2017-03-30T00:00:00-06:00,504 kW
2017-03-31T00:00:00-06:00,517 kW
2017-04-01T00:00:00-06:00,447 kW
2017-04-02T00:00:00-06:00,407 kW
2017-04-03T00:00:00-06:00,524 kW
2017-04-04T00:00:00-06:00,525 kW
2017-04-05T00:00:00-06:00,548 kW
2017-04-06T00:00:00-06:00,572 kW
2017-04-07T00:00:00-06:00,741 kW
2017-04-08T00:00:00-06:00,527 kW
2017-04-09T00:00:00-06:00,509 kW
2017-04-10T00:00:00-06:00,604 kW
2017-04-11T00:00:00-06:00,718 kW
2017-04-12T00:00:00-06:00,736 kW
2017-04-13T00:00:00-06:00,737 kW
2017-04-14T00:00:00-06:00,742 kW
2017-04-15T00:00:00-06:00,643 kW
2017-04-16T00:00:00-06:00,624 kW
2017-04-17T00:00:00-06:00,630 kW
2017-04-18T00:00:00-06:00,611 kW
2017-04-19T00:00:00-06:00,592 kW
2017-04-20T00:00:00-06:00,602 kW
2017-04-21T00:00:00-06:00,603 kW
2017-04-22T00:00:00-06:00,480 kW
2017-04-23T00:00:00-06:00,490 kW
2017-04-24T00:00:00-06:00,568 kW
2017-04-25T00:00:00-06:00,588 kW
2017-04-26T00:00:00-06:00,542 kW
2017-04-27T00:00:00-06:00,553 kW
2017-04-28T00:00:00-06:00,541 kW
2017-04-29T00:00:00-06:00,459 kW
2017-04-30T00:00:00-06:00,466 kW
2017-05-01T00:00:00-06:00,560 kW
2017-05-02T00:00:00-06:00,543 kW
2017-05-03T00:00:00-06:00,552 kW
2017-05-04T00:00:00-06:00,540 kW
2017-05-05T00:00:00-06:00,551 kW
2017-05-06T00:00:00-06:00,493 kW
2017-05-07T00:00:00-06:00,485 kW
2017-05-08T00:00:00-06:00,578 kW
2017-05-09T00:00:00-06:00,583 kW
2017-05-10T00:00:00-06:00,559 kW
2017-05-11T00:00:00-06:00,581 kW
2017-05-12T00:00:00-06:00,602 kW
2017-05-13T00:00:00-06:00,466 kW
2017-05-14T00:00:00-06:00,454 kW
2017-05-15T00:00:00-06:00,547 kW
2017-05-16T00:00:00-06:00,566 kW
2017-05-17T00:00:00-06:00,595 kW
2017-05-18T00:00:00-06:00,600 kW
2017-05-19T00:00:00-06:00,572 kW
2017-05-20T00:00:00-06:00,480 kW
2017-05-21T00:00:00-06:00,465 kW
2017-05-22T00:00:00-06:00,560 kW
2017-05-23T00:00:00-06:00,726 kW
2017-05-24T00:00:00-06:00,668 kW
2017-05-25T00:00:00-06:00,671 kW
2017-05-26T00:00:00-06:00,602 kW
2017-05-27T00:00:00-06:00,466 kW
2017-05-28T00:00:00-06:00,453 kW
2017-05-29T00:00:00-06:00,491 kW
2017-05-30T00:00:00-06:00,606 kW
2017-05-31T00:00:00-06:00,582 kW
2017-06-01T00:00:00-06:00,770 kW
2017-06-02T00:00:00-06:00,752 kW
2017-06-03T00:00:00-06:00,619 kW
2017-06-04T00:00:00-06:00,652 kW
2017-06-05T00:00:00-06:00,810 kW
2017-06-06T00:00:00-06:00,738 kW
2017-06-07T00:00:00-06:00,707 kW
2017-06-08T00:00:00-06:00,709 kW
2017-06-09T00:00:00-06:00,714 kW
2017-06-10T00:00:00-06:00,657 kW
2017-06-11T00:00:00-06:00,636 kW
2017-06-12T00:00:00-06:00,592 kW
2017-06-13T00:00:00-06:00,603 kW
2017-06-14T00:00:00-06:00,741 kW
2017-06-15T00:00:00-06:00,780 kW
2017-06-16T00:00:00-06:00,743 kW
2017-06-17T00:00:00-06:00,639 kW
2017-06-18T00:00:00-06:00,580 kW
2017-06-19T00:00:00-06:00,746 kW
2017-06-20T00:00:00-06:00,846 kW
2017-06-21T00:00:00-06:00,795 kW
