Timestamp,['1fd1b113-7e02106c 0082-SKAGGS BIOLOGY BLDG Power Meter kWh del']
2017-01-01T00:00:00-07:00,9124 kWh
2017-01-02T00:00:00-07:00,9272 kWh
2017-01-03T00:00:00-07:00,9720 kWh
2017-01-04T00:00:00-07:00,9920 kWh
2017-01-05T00:00:00-07:00,9552 kWh
2017-01-06T00:00:00-07:00,9316 kWh
2017-01-07T00:00:00-07:00,9504 kWh
2017-01-08T00:00:00-07:00,9360 kWh
2017-01-09T00:00:00-07:00,10028 kWh
2017-01-10T00:00:00-07:00,9980 kWh
2017-01-11T00:00:00-07:00,9444 kWh
2017-01-12T00:00:00-07:00,9608 kWh
2017-01-13T00:00:00-07:00,9624 kWh
2017-01-14T00:00:00-07:00,8964 kWh
2017-01-15T00:00:00-07:00,8940 kWh
2017-01-16T00:00:00-07:00,9600 kWh
2017-01-17T00:00:00-07:00,9880 kWh
2017-01-18T00:00:00-07:00,9412 kWh
2017-01-19T00:00:00-07:00,9580 kWh
2017-01-20T00:00:00-07:00,9248 kWh
2017-01-21T00:00:00-07:00,8732 kWh
2017-01-22T00:00:00-07:00,8748 kWh
2017-01-23T00:00:00-07:00,9448 kWh
2017-01-24T00:00:00-07:00,9576 kWh
2017-01-25T00:00:00-07:00,9592 kWh
2017-01-26T00:00:00-07:00,9564 kWh
2017-01-27T00:00:00-07:00,9572 kWh
2017-01-28T00:00:00-07:00,9104 kWh
2017-01-29T00:00:00-07:00,9088 kWh
2017-01-30T00:00:00-07:00,9552 kWh
2017-01-31T00:00:00-07:00,9488 kWh
2017-02-01T00:00:00-07:00,9516 kWh
2017-02-02T00:00:00-07:00,9596 kWh
2017-02-03T00:00:00-07:00,42068 kWh
2017-02-07T00:00:00-07:00,5892 kWh
2017-02-08T00:00:00-07:00,10216 kWh
2017-02-09T00:00:00-07:00,10376 kWh
2017-02-10T00:00:00-07:00,10008 kWh
2017-02-11T00:00:00-07:00,9376 kWh
2017-02-12T00:00:00-07:00,9308 kWh
2017-02-13T00:00:00-07:00,9820 kWh
2017-02-14T00:00:00-07:00,9852 kWh
2017-02-15T00:00:00-07:00,9932 kWh
2017-02-16T00:00:00-07:00,9784 kWh
2017-02-17T00:00:00-07:00,9840 kWh
2017-02-18T00:00:00-07:00,9224 kWh
2017-02-19T00:00:00-07:00,9160 kWh
2017-02-20T00:00:00-07:00,9376 kWh
2017-02-21T00:00:00-07:00,10052 kWh
2017-02-22T00:00:00-07:00,10068 kWh
2017-02-23T00:00:00-07:00,9988 kWh
2017-02-24T00:00:00-07:00,9868 kWh
2017-02-25T00:00:00-07:00,9088 kWh
2017-02-26T00:00:00-07:00,9164 kWh
2017-02-27T00:00:00-07:00,9988 kWh
2017-02-28T00:00:00-07:00,10032 kWh
2017-03-01T00:00:00-07:00,9912 kWh
2017-03-02T00:00:00-07:00,10000 kWh
2017-03-03T00:00:00-07:00,9968 kWh
2017-03-04T00:00:00-07:00,9424 kWh
2017-03-05T00:00:00-07:00,9380 kWh
2017-03-06T00:00:00-07:00,9744 kWh
2017-03-07T00:00:00-07:00,9940 kWh
2017-03-08T00:00:00-07:00,10132 kWh
2017-03-09T00:00:00-07:00,10204 kWh
2017-03-10T00:00:00-07:00,10476 kWh
2017-03-11T00:00:00-07:00,9508 kWh
2017-03-12T00:00:00-07:00,9224 kWh
2017-03-13T00:00:00-06:00,10348 kWh
2017-03-14T00:00:00-06:00,10076 kWh
2017-03-15T00:00:00-06:00,10380 kWh
2017-03-16T00:00:00-06:00,10612 kWh
2017-03-17T00:00:00-06:00,10464 kWh
2017-03-18T00:00:00-06:00,9864 kWh
2017-03-19T00:00:00-06:00,9744 kWh
2017-03-20T00:00:00-06:00,10772 kWh
2017-03-21T00:00:00-06:00,11184 kWh
2017-03-22T00:00:00-06:00,11132 kWh
2017-03-23T00:00:00-06:00,10872 kWh
2017-03-24T00:00:00-06:00,11264 kWh
2017-03-25T00:00:00-06:00,10376 kWh
2017-03-26T00:00:00-06:00,10384 kWh
2017-03-27T00:00:00-06:00,11268 kWh
2017-03-28T00:00:00-06:00,10472 kWh
2017-03-29T00:00:00-06:00,15760 kWh
2017-03-30T00:00:00-06:00,4932 kWh
2017-03-31T00:00:00-06:00,10388 kWh
2017-04-01T00:00:00-06:00,9612 kWh
2017-04-02T00:00:00-06:00,9224 kWh
2017-04-03T00:00:00-06:00,10524 kWh
2017-04-04T00:00:00-06:00,10028 kWh
2017-04-05T00:00:00-06:00,10040 kWh
2017-04-06T00:00:00-06:00,10384 kWh
2017-04-07T00:00:00-06:00,11808 kWh
2017-04-08T00:00:00-06:00,10412 kWh
2017-04-09T00:00:00-06:00,10476 kWh
2017-04-10T00:00:00-06:00,10920 kWh
2017-04-11T00:00:00-06:00,11360 kWh
2017-04-12T00:00:00-06:00,13040 kWh
2017-04-13T00:00:00-06:00,13120 kWh
2017-04-14T00:00:00-06:00,13000 kWh
2017-04-15T00:00:00-06:00,11696 kWh
2017-04-16T00:00:00-06:00,11772 kWh
2017-04-17T00:00:00-06:00,11212 kWh
2017-04-18T00:00:00-06:00,11200 kWh
2017-04-19T00:00:00-06:00,11192 kWh
2017-04-20T00:00:00-06:00,10456 kWh
2017-04-21T00:00:00-06:00,11192 kWh
2017-04-22T00:00:00-06:00,9948 kWh
2017-04-23T00:00:00-06:00,9820 kWh
2017-04-24T00:00:00-06:00,10808 kWh
2017-04-25T00:00:00-06:00,11112 kWh
2017-04-26T00:00:00-06:00,10952 kWh
2017-04-27T00:00:00-06:00,10816 kWh
2017-04-28T00:00:00-06:00,10484 kWh
2017-04-29T00:00:00-06:00,9692 kWh
2017-04-30T00:00:00-06:00,9680 kWh
2017-05-01T00:00:00-06:00,10612 kWh
2017-05-02T00:00:00-06:00,10780 kWh
2017-05-03T00:00:00-06:00,10800 kWh
2017-05-04T00:00:00-06:00,10180 kWh
2017-05-05T00:00:00-06:00,10128 kWh
2017-05-06T00:00:00-06:00,9904 kWh
2017-05-07T00:00:00-06:00,10104 kWh
2017-05-08T00:00:00-06:00,10868 kWh
2017-05-09T00:00:00-06:00,10968 kWh
2017-05-10T00:00:00-06:00,11076 kWh
2017-05-11T00:00:00-06:00,11044 kWh
2017-05-12T00:00:00-06:00,11000 kWh
2017-05-13T00:00:00-06:00,9820 kWh
2017-05-14T00:00:00-06:00,9736 kWh
2017-05-15T00:00:00-06:00,10724 kWh
2017-05-16T00:00:00-06:00,10992 kWh
2017-05-17T00:00:00-06:00,11448 kWh
2017-05-18T00:00:00-06:00,11496 kWh
2017-05-19T00:00:00-06:00,11140 kWh
2017-05-20T00:00:00-06:00,10208 kWh
2017-05-21T00:00:00-06:00,10036 kWh
2017-05-22T00:00:00-06:00,11272 kWh
2017-05-23T00:00:00-06:00,12160 kWh
2017-05-24T00:00:00-06:00,12072 kWh
2017-05-25T00:00:00-06:00,12284 kWh
2017-05-26T00:00:00-06:00,11520 kWh
2017-05-27T00:00:00-06:00,9856 kWh
2017-05-28T00:00:00-06:00,9760 kWh
2017-05-29T00:00:00-06:00,9800 kWh
2017-05-30T00:00:00-06:00,10992 kWh
2017-05-31T00:00:00-06:00,11052 kWh
2017-06-01T00:00:00-06:00,11852 kWh
2017-06-02T00:00:00-06:00,12548 kWh
2017-06-03T00:00:00-06:00,12984 kWh
2017-06-04T00:00:00-06:00,13248 kWh
2017-06-05T00:00:00-06:00,14560 kWh
2017-06-06T00:00:00-06:00,13276 kWh
2017-06-07T00:00:00-06:00,13036 kWh
2017-06-08T00:00:00-06:00,12840 kWh
2017-06-09T00:00:00-06:00,12580 kWh
2017-06-10T00:00:00-06:00,11460 kWh
2017-06-11T00:00:00-06:00,11804 kWh
2017-06-12T00:00:00-06:00,11880 kWh
2017-06-13T00:00:00-06:00,12328 kWh
2017-06-14T00:00:00-06:00,13272 kWh
2017-06-15T00:00:00-06:00,13772 kWh
2017-06-16T00:00:00-06:00,14016 kWh
2017-06-17T00:00:00-06:00,12612 kWh
2017-06-18T00:00:00-06:00,11672 kWh
2017-06-19T00:00:00-06:00,13988 kWh
2017-06-20T00:00:00-06:00,14520 kWh
2017-06-21T00:00:00-06:00,14816 kWh
2017-06-22T00:00:00-06:00,13816 kWh
2017-06-23T00:00:00-06:00,13132 kWh
2017-06-24T00:00:00-06:00,12892 kWh
