Timestamp,['1fe6f7d8-1dd123e6 Power Meter 085220 (300186) Current C']
2017-01-01T00:00:00-07:00,89.36190505254837 A
2017-01-02T00:00:00-07:00,89.91851834897642 A
2017-01-03T00:00:00-07:00,95.20000016061883 A
2017-01-04T00:00:00-07:00,91.96896520154229 A
2017-01-05T00:00:00-07:00,91.41111119588216 A
2017-01-06T00:00:00-07:00,100.9473692241468 A
2017-01-07T00:00:00-07:00,83.9047619047619 A
2017-01-08T00:00:00-07:00,90.61818140203303 A
2017-01-09T00:00:00-07:00,87.98823592242073 A
2017-01-10T00:00:00-07:00,97.62999992370605 A
2017-01-11T00:00:00-07:00,89.07500044504802 A
2017-01-12T00:00:00-07:00,98.12500054495675 A
2017-01-13T00:00:00-07:00,101.28947368421052 A
2017-01-14T00:00:00-07:00,83.36666679382324 A
2017-01-15T00:00:00-07:00,81.51304327923319 A
2017-01-16T00:00:00-07:00,81.12777752346463 A
2017-01-17T00:00:00-07:00,90.18846189058743 A
2017-01-18T00:00:00-07:00,89.93571390424457 A
2017-01-19T00:00:00-07:00,91.8541669845581 A
2017-01-20T00:00:00-07:00,92.50967776390814 A
2017-01-21T00:00:00-07:00,82.84999974568684 A
2017-01-22T00:00:00-07:00,85.73571423121861 A
2017-01-23T00:00:00-07:00,89.73571423121861 A
2017-01-24T00:00:00-07:00,89.91578915244655 A
2017-01-25T00:00:00-07:00,90.64074000605831 A
2017-01-26T00:00:00-07:00,93.17586254251414 A
2017-01-27T00:00:00-07:00,91.02105351498253 A
2017-01-28T00:00:00-07:00,85.73461620624249 A
2017-01-29T00:00:00-07:00,85.24285779680524 A
2017-01-30T00:00:00-07:00,91.9592593157733 A
2017-01-31T00:00:00-07:00,94.93200073242187 A
2017-02-01T00:00:00-07:00,94.0303032614968 A
2017-02-02T00:00:00-07:00,88.80937480926514 A
2017-02-03T00:00:00-07:00,87.35416634877522 A
2017-02-07T00:00:00-07:00,92.19333343505859 A
2017-02-08T00:00:00-07:00,97.50769189687875 A
2017-02-09T00:00:00-07:00,99.36363844438033 A
2017-02-10T00:00:00-07:00,94.35384603647086 A
2017-02-11T00:00:00-07:00,82.47999979654948 A
2017-02-12T00:00:00-07:00,81.72000122070312 A
2017-02-13T00:00:00-07:00,93.1571431841169 A
2017-02-14T00:00:00-07:00,93.38499946594239 A
2017-02-15T00:00:00-07:00,89.95 A
2017-02-16T00:00:00-07:00,88.45000076293945 A
2017-02-17T00:00:00-07:00,93.38333384195964 A
2017-02-18T00:00:00-07:00,82.70000012715657 A
2017-02-19T00:00:00-07:00,92.76250076293945 A
2017-02-20T00:00:00-07:00,89.35714067731585 A
2017-02-21T00:00:00-07:00,93.38000081380208 A
2017-02-22T00:00:00-07:00,100.42142813546317 A
2017-02-23T00:00:00-07:00,119.17499923706055 A
2017-02-24T00:00:00-07:00,116.7454535744407 A
2017-02-25T00:00:00-07:00,103.2000013078962 A
2017-02-26T00:00:00-07:00,105.71428680419922 A
2017-02-27T00:00:00-07:00,110.37999877929687 A
2017-02-28T00:00:00-07:00,113 A
2017-03-01T00:00:00-07:00,120.80000114440918 A
2017-03-02T00:00:00-07:00,110.93333180745442 A
2017-03-03T00:00:00-07:00,126.86000061035156 A
2017-03-04T00:00:00-07:00,117.77777777777777 A
2017-03-05T00:00:00-07:00,119.0000015258789 A
2017-03-06T00:00:00-07:00,112.86666615804036 A
2017-03-07T00:00:00-07:00,139.65714045933314 A
2017-03-08T00:00:00-07:00,123.07499885559082 A
2017-03-09T00:00:00-07:00,111.07499694824219 A
2017-03-10T00:00:00-07:00,100.15384674072266 A
2017-03-11T00:00:00-07:00,82.02000045776367 A
2017-03-12T00:00:00-07:00,82.23000106811523 A
