Timestamp,['1fe6f7e4-1eb93b51 Power Meter 085220 (300186) kWh del']
2017-01-01T00:00:00-07:00,1647 kWh
2017-01-02T00:00:00-07:00,1704 kWh
2017-01-03T00:00:00-07:00,1850 kWh
2017-01-04T00:00:00-07:00,1837 kWh
2017-01-05T00:00:00-07:00,1767 kWh
2017-01-06T00:00:00-07:00,1857 kWh
2017-01-07T00:00:00-07:00,1646 kWh
2017-01-08T00:00:00-07:00,1636 kWh
2017-01-09T00:00:00-07:00,1812 kWh
2017-01-10T00:00:00-07:00,1798 kWh
2017-01-11T00:00:00-07:00,1826 kWh
2017-01-12T00:00:00-07:00,1852 kWh
2017-01-13T00:00:00-07:00,1858 kWh
2017-01-14T00:00:00-07:00,1615 kWh
2017-01-15T00:00:00-07:00,1598 kWh
2017-01-16T00:00:00-07:00,1624 kWh
2017-01-17T00:00:00-07:00,1796 kWh
2017-01-18T00:00:00-07:00,1780 kWh
2017-01-19T00:00:00-07:00,1731 kWh
2017-01-20T00:00:00-07:00,1752 kWh
2017-01-21T00:00:00-07:00,1570 kWh
2017-01-22T00:00:00-07:00,1589 kWh
2017-01-23T00:00:00-07:00,1749 kWh
2017-01-24T00:00:00-07:00,1793 kWh
2017-01-25T00:00:00-07:00,1847 kWh
2017-01-26T00:00:00-07:00,1858 kWh
2017-01-27T00:00:00-07:00,1821 kWh
2017-01-28T00:00:00-07:00,1632 kWh
2017-01-29T00:00:00-07:00,1667 kWh
2017-01-30T00:00:00-07:00,1860 kWh
2017-01-31T00:00:00-07:00,1806 kWh
2017-02-01T00:00:00-07:00,1796 kWh
2017-02-02T00:00:00-07:00,1791 kWh
2017-02-03T00:00:00-07:00,7618 kWh
2017-02-07T00:00:00-07:00,1034 kWh
2017-02-08T00:00:00-07:00,1781 kWh
2017-02-09T00:00:00-07:00,1849 kWh
2017-02-10T00:00:00-07:00,1799 kWh
2017-02-11T00:00:00-07:00,1511 kWh
2017-02-12T00:00:00-07:00,1529 kWh
2017-02-13T00:00:00-07:00,1681 kWh
2017-02-14T00:00:00-07:00,1732 kWh
2017-02-15T00:00:00-07:00,1726 kWh
2017-02-16T00:00:00-07:00,1782 kWh
2017-02-17T00:00:00-07:00,1750 kWh
2017-02-18T00:00:00-07:00,1590 kWh
2017-02-19T00:00:00-07:00,1616 kWh
2017-02-20T00:00:00-07:00,1608 kWh
2017-02-21T00:00:00-07:00,1737 kWh
2017-02-22T00:00:00-07:00,1890 kWh
2017-02-23T00:00:00-07:00,2320 kWh
2017-02-24T00:00:00-07:00,2269 kWh
2017-02-25T00:00:00-07:00,2142 kWh
2017-02-26T00:00:00-07:00,2065 kWh
2017-02-27T00:00:00-07:00,2289 kWh
2017-02-28T00:00:00-07:00,2296 kWh
2017-03-01T00:00:00-07:00,2315 kWh
2017-03-02T00:00:00-07:00,2313 kWh
2017-03-03T00:00:00-07:00,2302 kWh
2017-03-04T00:00:00-07:00,2169 kWh
2017-03-05T00:00:00-07:00,2126 kWh
2017-03-06T00:00:00-07:00,2308 kWh
2017-03-07T00:00:00-07:00,2258 kWh
2017-03-08T00:00:00-07:00,2232 kWh
2017-03-09T00:00:00-07:00,2282 kWh
2017-03-10T00:00:00-07:00,2111 kWh
2017-03-11T00:00:00-07:00,1485 kWh
2017-03-12T00:00:00-07:00,1414 kWh
2017-03-13T00:00:00-06:00,1694 kWh
2017-03-14T00:00:00-06:00,1727 kWh
2017-03-15T00:00:00-06:00,1728 kWh
2017-03-16T00:00:00-06:00,1687 kWh
2017-03-17T00:00:00-06:00,1671 kWh
2017-03-18T00:00:00-06:00,1504 kWh
2017-03-19T00:00:00-06:00,1538 kWh
2017-03-20T00:00:00-06:00,1691 kWh
2017-03-21T00:00:00-06:00,1734 kWh
2017-03-22T00:00:00-06:00,1740 kWh
2017-03-23T00:00:00-06:00,1770 kWh
2017-03-24T00:00:00-06:00,1599 kWh
2017-03-25T00:00:00-06:00,1563 kWh
2017-03-26T00:00:00-06:00,1610 kWh
2017-03-27T00:00:00-06:00,1755 kWh
2017-03-28T00:00:00-06:00,1750 kWh
2017-03-29T00:00:00-06:00,2644 kWh
2017-03-30T00:00:00-06:00,810 kWh
2017-03-31T00:00:00-06:00,1745 kWh
2017-04-01T00:00:00-06:00,1511 kWh
2017-04-02T00:00:00-06:00,1609 kWh
2017-04-03T00:00:00-06:00,1786 kWh
2017-04-04T00:00:00-06:00,1823 kWh
2017-04-05T00:00:00-06:00,1804 kWh
2017-04-06T00:00:00-06:00,1773 kWh
2017-04-07T00:00:00-06:00,1678 kWh
2017-04-08T00:00:00-06:00,1521 kWh
2017-04-09T00:00:00-06:00,1590 kWh
2017-04-10T00:00:00-06:00,1755 kWh
2017-04-11T00:00:00-06:00,1705 kWh
2017-04-12T00:00:00-06:00,1699 kWh
2017-04-13T00:00:00-06:00,1660 kWh
2017-04-14T00:00:00-06:00,1708 kWh
2017-04-15T00:00:00-06:00,1491 kWh
2017-04-16T00:00:00-06:00,1487 kWh
2017-04-17T00:00:00-06:00,1718 kWh
2017-04-18T00:00:00-06:00,1668 kWh
2017-04-19T00:00:00-06:00,1654 kWh
2017-04-20T00:00:00-06:00,1671 kWh
2017-04-21T00:00:00-06:00,1694 kWh
2017-04-22T00:00:00-06:00,1504 kWh
2017-04-23T00:00:00-06:00,1469 kWh
2017-04-24T00:00:00-06:00,1751 kWh
2017-04-25T00:00:00-06:00,1766 kWh
2017-04-26T00:00:00-06:00,1775 kWh
2017-04-27T00:00:00-06:00,1742 kWh
2017-04-28T00:00:00-06:00,1738 kWh
2017-04-29T00:00:00-06:00,1569 kWh
2017-04-30T00:00:00-06:00,1589 kWh
2017-05-01T00:00:00-06:00,1742 kWh
2017-05-02T00:00:00-06:00,1729 kWh
2017-05-03T00:00:00-06:00,1726 kWh
2017-05-04T00:00:00-06:00,1756 kWh
2017-05-05T00:00:00-06:00,1788 kWh
2017-05-06T00:00:00-06:00,1560 kWh
2017-05-07T00:00:00-06:00,1570 kWh
2017-05-08T00:00:00-06:00,1756 kWh
2017-05-09T00:00:00-06:00,1710 kWh
2017-05-10T00:00:00-06:00,2038 kWh
2017-05-11T00:00:00-06:00,2296 kWh
2017-05-12T00:00:00-06:00,2050 kWh
2017-05-13T00:00:00-06:00,1566 kWh
2017-05-14T00:00:00-06:00,1589 kWh
2017-05-15T00:00:00-06:00,1769 kWh
2017-05-16T00:00:00-06:00,1815 kWh
2017-05-17T00:00:00-06:00,1805 kWh
2017-05-18T00:00:00-06:00,1764 kWh
2017-05-19T00:00:00-06:00,1700 kWh
2017-05-20T00:00:00-06:00,1599 kWh
2017-05-21T00:00:00-06:00,1547 kWh
2017-05-22T00:00:00-06:00,1690 kWh
2017-05-23T00:00:00-06:00,1705 kWh
2017-05-24T00:00:00-06:00,1732 kWh
2017-05-25T00:00:00-06:00,1720 kWh
2017-05-26T00:00:00-06:00,1712 kWh
2017-05-27T00:00:00-06:00,1460 kWh
2017-05-28T00:00:00-06:00,1459 kWh
2017-05-29T00:00:00-06:00,1551 kWh
2017-05-30T00:00:00-06:00,1650 kWh
2017-05-31T00:00:00-06:00,1658 kWh
2017-06-01T00:00:00-06:00,1652 kWh
2017-06-02T00:00:00-06:00,1596 kWh
2017-06-03T00:00:00-06:00,1446 kWh
2017-06-04T00:00:00-06:00,1492 kWh
2017-06-05T00:00:00-06:00,1702 kWh
2017-06-06T00:00:00-06:00,1694 kWh
2017-06-07T00:00:00-06:00,1698 kWh
2017-06-08T00:00:00-06:00,1674 kWh
2017-06-09T00:00:00-06:00,1625 kWh
2017-06-10T00:00:00-06:00,1546 kWh
2017-06-11T00:00:00-06:00,1590 kWh
2017-06-12T00:00:00-06:00,1659 kWh
2017-06-13T00:00:00-06:00,2405 kWh
2017-06-14T00:00:00-06:00,3076 kWh
2017-06-15T00:00:00-06:00,2509 kWh
2017-06-16T00:00:00-06:00,2392 kWh
2017-06-17T00:00:00-06:00,2860 kWh
2017-06-18T00:00:00-06:00,2877 kWh
2017-06-19T00:00:00-06:00,3102 kWh
2017-06-20T00:00:00-06:00,3100 kWh
2017-06-21T00:00:00-06:00,3142 kWh
2017-06-22T00:00:00-06:00,3079 kWh
2017-06-23T00:00:00-06:00,2997 kWh
2017-06-24T00:00:00-06:00,2943 kWh
2017-06-25T00:00:00-06:00,2964 kWh
2017-06-26T00:00:00-06:00,3117 kWh
2017-06-27T00:00:00-06:00,3150 kWh
2017-06-28T00:00:00-06:00,3128 kWh
2017-06-29T00:00:00-06:00,3139 kWh
2017-06-30T00:00:00-06:00,3117 kWh
2017-07-01T00:00:00-06:00,2940 kWh
2017-07-02T00:00:00-06:00,2959 kWh
2017-07-03T00:00:00-06:00,3182 kWh
2017-07-04T00:00:00-06:00,2993 kWh
2017-07-05T00:00:00-06:00,3230 kWh
2017-07-06T00:00:00-06:00,3234 kWh
2017-07-07T00:00:00-06:00,3172 kWh
2017-07-08T00:00:00-06:00,2972 kWh
2017-07-09T00:00:00-06:00,3018 kWh
2017-07-10T00:00:00-06:00,3194 kWh
2017-07-11T00:00:00-06:00,3141 kWh
2017-07-12T00:00:00-06:00,3163 kWh
2017-07-13T00:00:00-06:00,3210 kWh
2017-07-14T00:00:00-06:00,3155 kWh
2017-07-15T00:00:00-06:00,2975 kWh
2017-07-16T00:00:00-06:00,3039 kWh
2017-07-17T00:00:00-06:00,3171 kWh
2017-07-18T00:00:00-06:00,3188 kWh
2017-07-19T00:00:00-06:00,3183 kWh
2017-07-20T00:00:00-06:00,3258 kWh
2017-07-21T00:00:00-06:00,3218 kWh
2017-07-22T00:00:00-06:00,3059 kWh
2017-07-23T00:00:00-06:00,3017 kWh
2017-07-24T00:00:00-06:00,3066 kWh
2017-07-25T00:00:00-06:00,3235 kWh
2017-07-26T00:00:00-06:00,3259 kWh
2017-07-27T00:00:00-06:00,3196 kWh
2017-07-28T00:00:00-06:00,3247 kWh
2017-07-29T00:00:00-06:00,3066 kWh
2017-07-30T00:00:00-06:00,3177 kWh
2017-07-31T00:00:00-06:00,3255 kWh
2017-08-01T00:00:00-06:00,3248 kWh
2017-08-02T00:00:00-06:00,3126 kWh
2017-08-03T00:00:00-06:00,3211 kWh
2017-08-04T00:00:00-06:00,3206 kWh
2017-08-05T00:00:00-06:00,3119 kWh
2017-08-06T00:00:00-06:00,3025 kWh
2017-08-07T00:00:00-06:00,3242 kWh
2017-08-08T00:00:00-06:00,3215 kWh
2017-08-09T00:00:00-06:00,3256 kWh
2017-08-10T00:00:00-06:00,3262 kWh
2017-08-11T00:00:00-06:00,3193 kWh
2017-08-12T00:00:00-06:00,3054 kWh
2017-08-13T00:00:00-06:00,3069 kWh
2017-08-14T00:00:00-06:00,3237 kWh
2017-08-15T00:00:00-06:00,3200 kWh
2017-08-16T00:00:00-06:00,3193 kWh
2017-08-17T00:00:00-06:00,3255 kWh
2017-08-18T00:00:00-06:00,3212 kWh
2017-08-19T00:00:00-06:00,2913 kWh
2017-08-20T00:00:00-06:00,2886 kWh
2017-08-21T00:00:00-06:00,3135 kWh
2017-08-22T00:00:00-06:00,3190 kWh
2017-08-23T00:00:00-06:00,3146 kWh
2017-08-24T00:00:00-06:00,3212 kWh
2017-08-25T00:00:00-06:00,3217 kWh
2017-08-26T00:00:00-06:00,3012 kWh
2017-08-27T00:00:00-06:00,2747 kWh
2017-08-28T00:00:00-06:00,2288 kWh
2017-08-29T00:00:00-06:00,2176 kWh
2017-08-30T00:00:00-06:00,2334 kWh
2017-08-31T00:00:00-06:00,2286 kWh
2017-09-01T00:00:00-06:00,2313 kWh
2017-09-02T00:00:00-06:00,2092 kWh
2017-09-03T00:00:00-06:00,2125 kWh
2017-09-04T00:00:00-06:00,2153 kWh
2017-09-05T00:00:00-06:00,2338 kWh
2017-09-06T00:00:00-06:00,2312 kWh
2017-09-07T00:00:00-06:00,2635 kWh
2017-09-08T00:00:00-06:00,3150 kWh
2017-09-09T00:00:00-06:00,2895 kWh
2017-09-10T00:00:00-06:00,2973 kWh
2017-09-11T00:00:00-06:00,3165 kWh
2017-09-12T00:00:00-06:00,3143 kWh
2017-09-13T00:00:00-06:00,3224 kWh
2017-09-14T00:00:00-06:00,3143 kWh
2017-09-15T00:00:00-06:00,3108 kWh
2017-09-16T00:00:00-06:00,2895 kWh
2017-09-17T00:00:00-06:00,2940 kWh
2017-09-18T00:00:00-06:00,3129 kWh
2017-09-19T00:00:00-06:00,3120 kWh
