Timestamp,['202e54e3-51550169 Power Meter (HV) (316610) Current A']
2017-02-08T00:00:00-07:00,82 A
2017-02-09T00:00:00-07:00,89.33333333333333 A
2017-02-10T00:00:00-07:00,89.45454545454545 A
2017-02-11T00:00:00-07:00,89.46666666666667 A
2017-02-12T00:00:00-07:00,94.5 A
2017-02-13T00:00:00-07:00,94.33333333333333 A
2017-02-14T00:00:00-07:00,101 A
2017-02-15T00:00:00-07:00,86.66666666666667 A
2017-02-16T00:00:00-07:00,86.9 A
2017-02-17T00:00:00-07:00,94.375 A
2017-02-18T00:00:00-07:00,89.63636363636364 A
2017-02-19T00:00:00-07:00,80.33333333333333 A
2017-02-20T00:00:00-07:00,84.83333333333333 A
2017-02-21T00:00:00-07:00,85.8 A
2017-02-22T00:00:00-07:00,102.3076923076923 A
2017-02-23T00:00:00-07:00,115.33333333333333 A
2017-02-24T00:00:00-07:00,119.27272727272727 A
2017-02-25T00:00:00-07:00,116.14285714285714 A
2017-02-26T00:00:00-07:00,112.625 A
2017-02-27T00:00:00-07:00,126.83333333333333 A
2017-02-28T00:00:00-07:00,125 A
2017-03-01T00:00:00-07:00,115.75 A
2017-03-02T00:00:00-07:00,122.66666666666667 A
2017-03-03T00:00:00-07:00,112.45454545454545 A
2017-03-04T00:00:00-07:00,95.3 A
2017-03-05T00:00:00-07:00,93.0625 A
2017-03-06T00:00:00-07:00,119.16666666666667 A
2017-03-07T00:00:00-07:00,117.33333333333333 A
2017-03-08T00:00:00-07:00,101.18181818181819 A
2017-03-09T00:00:00-07:00,88 A
2017-03-10T00:00:00-07:00,96 A
2017-03-11T00:00:00-07:00,110.5 A
2017-03-12T00:00:00-07:00,104.44444444444444 A
2017-03-13T00:00:00-06:00,114 A
2017-03-14T00:00:00-06:00,119.57831325301204 A
2017-03-15T00:00:00-06:00,138.97590361445782 A
2017-03-16T00:00:00-06:00,146.90588235294118 A
2017-03-17T00:00:00-06:00,121.3974358974359 A
2017-03-18T00:00:00-06:00,118.94805194805195 A
2017-03-19T00:00:00-06:00,115.28235294117647 A
2017-03-20T00:00:00-06:00,121.44578313253012 A
2017-03-21T00:00:00-06:00,120.0958904109589 A
2017-03-22T00:00:00-06:00,133.825 A
2017-03-23T00:00:00-06:00,124.375 A
2017-03-24T00:00:00-06:00,127.98850574712644 A
2017-03-25T00:00:00-06:00,116.66216216216216 A
2017-03-26T00:00:00-06:00,117 A
2017-03-27T00:00:00-06:00,116.45 A
2017-03-28T00:00:00-06:00,118.62962962962963 A
2017-03-29T00:00:00-06:00,127.34920634920636 A
2017-03-30T00:00:00-06:00,118.5625 A
2017-03-31T00:00:00-06:00,132.60493827160494 A
2017-04-01T00:00:00-06:00,139.74117647058824 A
2017-04-02T00:00:00-06:00,122.71428571428571 A
2017-04-03T00:00:00-06:00,128.1139240506329 A
2017-04-04T00:00:00-06:00,128.45 A
2017-04-05T00:00:00-06:00,148.24096385542168 A
2017-04-06T00:00:00-06:00,181.90123456790124 A
2017-04-07T00:00:00-06:00,182.21176470588236 A
2017-04-08T00:00:00-06:00,177.0595238095238 A
2017-04-09T00:00:00-06:00,173.70833333333334 A
2017-04-10T00:00:00-06:00,176.32954545454547 A
2017-04-11T00:00:00-06:00,178.4468085106383 A
2017-04-12T00:00:00-06:00,176.77083333333334 A
2017-04-13T00:00:00-06:00,166.57291666666666 A
2017-04-14T00:00:00-06:00,174.15384615384616 A
2017-04-15T00:00:00-06:00,174.02409638554218 A
2017-04-16T00:00:00-06:00,155.5897435897436 A
2017-04-17T00:00:00-06:00,161.0952380952381 A
2017-04-18T00:00:00-06:00,166.3793103448276 A
2017-04-19T00:00:00-06:00,153.79365079365078 A
2017-04-20T00:00:00-06:00,177.05479452054794 A
2017-04-21T00:00:00-06:00,186.1494252873563 A
2017-04-22T00:00:00-06:00,191.01162790697674 A
2017-04-23T00:00:00-06:00,187.74157303370785 A
2017-04-24T00:00:00-06:00,195.7912087912088 A
2017-04-25T00:00:00-06:00,202.6021505376344 A
2017-04-26T00:00:00-06:00,200.20481927710844 A
2017-04-27T00:00:00-06:00,196.85542168674698 A
2017-04-28T00:00:00-06:00,173.3658536585366 A
2017-04-29T00:00:00-06:00,164.83333333333334 A
2017-04-30T00:00:00-06:00,166.1413043478261 A
2017-05-01T00:00:00-06:00,175.7674418604651 A
2017-05-02T00:00:00-06:00,171.98863636363637 A
2017-05-03T00:00:00-06:00,144.93975903614458 A
2017-05-04T00:00:00-06:00,157.69014084507043 A
2017-05-05T00:00:00-06:00,163.70238095238096 A
2017-05-06T00:00:00-06:00,147.7826086956522 A
2017-05-07T00:00:00-06:00,139.72527472527472 A
2017-05-08T00:00:00-06:00,139.6235294117647 A
2017-05-09T00:00:00-06:00,137.97701149425288 A
2017-05-10T00:00:00-06:00,135.71951219512195 A
2017-05-11T00:00:00-06:00,139.98837209302326 A
2017-05-12T00:00:00-06:00,142.57777777777778 A
2017-05-13T00:00:00-06:00,125.17241379310344 A
2017-05-14T00:00:00-06:00,121.48101265822785 A
2017-05-15T00:00:00-06:00,134.6046511627907 A
2017-05-16T00:00:00-06:00,135.77528089887642 A
2017-05-17T00:00:00-06:00,107.30232558139535 A
2017-05-18T00:00:00-06:00,101.73626373626374 A
2017-05-19T00:00:00-06:00,110.35802469135803 A
2017-05-20T00:00:00-06:00,117.46987951807229 A
2017-05-21T00:00:00-06:00,122.36470588235294 A
2017-05-22T00:00:00-06:00,119.23170731707317 A
2017-05-23T00:00:00-06:00,132.75555555555556 A
2017-05-24T00:00:00-06:00,148.40506329113924 A
2017-05-25T00:00:00-06:00,123.77011494252874 A
2017-05-26T00:00:00-06:00,114.78651685393258 A
2017-05-27T00:00:00-06:00,111.51612903225806 A
2017-05-28T00:00:00-06:00,129.4418604651163 A
2017-05-29T00:00:00-06:00,99.6421052631579 A
2017-05-30T00:00:00-06:00,121.31868131868131 A
2017-05-31T00:00:00-06:00,136.37209302325581 A
2017-06-01T00:00:00-06:00,132.29885057471265 A
2017-06-02T00:00:00-06:00,125.51315789473684 A
2017-06-03T00:00:00-06:00,150.94827586206895 A
2017-06-04T00:00:00-06:00,147.32467532467533 A
2017-06-05T00:00:00-06:00,134.5 A
2017-06-06T00:00:00-06:00,140.33333333333334 A
2017-06-07T00:00:00-06:00,144.8695652173913 A
2017-06-08T00:00:00-06:00,144.20652173913044 A
2017-06-09T00:00:00-06:00,133.97530864197532 A
2017-06-10T00:00:00-06:00,125.76744186046511 A
2017-06-11T00:00:00-06:00,132.82089552238807 A
2017-06-12T00:00:00-06:00,125.28358208955224 A
2017-06-13T00:00:00-06:00,113.25 A
2017-06-14T00:00:00-06:00,138.4788732394366 A
2017-06-15T00:00:00-06:00,137.828125 A
2017-06-16T00:00:00-06:00,138.80597014925374 A
2017-06-17T00:00:00-06:00,150.7910447761194 A
2017-06-18T00:00:00-06:00,101.22222222222223 A
2017-06-19T00:00:00-06:00,137.97435897435898 A
2017-06-20T00:00:00-06:00,174.92 A
2017-06-21T00:00:00-06:00,166.32894736842104 A
2017-06-22T00:00:00-06:00,156.72727272727272 A
2017-06-23T00:00:00-06:00,156.83516483516485 A
2017-06-24T00:00:00-06:00,155.3953488372093 A
2017-06-25T00:00:00-06:00,160.64444444444445 A
2017-06-26T00:00:00-06:00,171.679012345679 A
2017-06-27T00:00:00-06:00,170.8988764044944 A
2017-06-28T00:00:00-06:00,160.95 A
2017-06-29T00:00:00-06:00,153.02409638554218 A
2017-06-30T00:00:00-06:00,152.67032967032966 A
2017-07-01T00:00:00-06:00,157.83333333333334 A
2017-07-02T00:00:00-06:00,165.96666666666667 A
2017-07-03T00:00:00-06:00,171.4835164835165 A
2017-07-04T00:00:00-06:00,169.51111111111112 A
2017-07-05T00:00:00-06:00,175.2325581395349 A
2017-07-06T00:00:00-06:00,162.78125 A
2017-07-07T00:00:00-06:00,181.11764705882354 A
2017-07-08T00:00:00-06:00,170.16666666666666 A
2017-07-09T00:00:00-06:00,177.5 A
