Timestamp,['203a2650-caf523f9 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-N']
2017-02-17T00:00:00-07:00,122.25565177515934 V
2017-02-18T00:00:00-07:00,122.46846572558086 V
2017-02-19T00:00:00-07:00,122.79310011863708 V
2017-02-20T00:00:00-07:00,122.55298122282952 V
2017-02-21T00:00:00-07:00,122.4745438893636 V
2017-02-22T00:00:00-07:00,122.61380521456401 V
2017-02-23T00:00:00-07:00,122.64918764432271 V
2017-02-24T00:00:00-07:00,122.72323531138746 V
2017-02-25T00:00:00-07:00,122.6531039873759 V
2017-02-26T00:00:00-07:00,122.90864992141724 V
2017-02-27T00:00:00-07:00,122.82000295321147 V
2017-02-28T00:00:00-07:00,122.66323566436768 V
2017-03-01T00:00:00-07:00,122.7365292708079 V
2017-03-02T00:00:00-07:00,122.64286502202351 V
2017-03-03T00:00:00-07:00,122.46471707026164 V
2017-03-04T00:00:00-07:00,122.57209849357605 V
2017-03-05T00:00:00-07:00,122.66074419021606 V
2017-03-06T00:00:00-07:00,122.53507010142009 V
2017-03-07T00:00:00-07:00,122.56091618537903 V
2017-03-08T00:00:00-07:00,122.64286224047343 V
2017-03-09T00:00:00-07:00,122.49602047602336 V
2017-03-10T00:00:00-07:00,122.48055243492126 V
2017-03-11T00:00:00-07:00,122.70163981119792 V
2017-03-12T00:00:00-07:00,122.74640796495521 V
2017-03-13T00:00:00-06:00,122.75864791870117 V
2017-03-14T00:00:00-06:00,122.66380548477173 V
2017-03-15T00:00:00-06:00,122.4987743695577 V
2017-03-16T00:00:00-06:00,122.67991773287456 V
2017-03-17T00:00:00-06:00,122.26364501317342 V
2017-03-18T00:00:00-06:00,122.3255893389384 V
2017-03-19T00:00:00-06:00,122.38087145487468 V
2017-03-20T00:00:00-06:00,122.03855673472087 V
2017-03-21T00:00:00-06:00,121.93944191932678 V
2017-03-22T00:00:00-06:00,122.14843185742696 V
2017-03-23T00:00:00-06:00,122.49179474512736 V
2017-03-24T00:00:00-06:00,122.47142815589905 V
2017-03-25T00:00:00-06:00,122.61720943450928 V
2017-03-26T00:00:00-06:00,122.66312249501546 V
2017-03-27T00:00:00-06:00,122.49933528900146 V
2017-03-28T00:00:00-06:00,122.43398412068684 V
2017-03-29T00:00:00-06:00,122.36153899298773 V
2017-03-30T00:00:00-06:00,121.96413625081381 V
2017-03-31T00:00:00-06:00,122.42693320910136 V
2017-04-01T00:00:00-06:00,122.39213458697002 V
2017-04-02T00:00:00-06:00,122.84539492925008 V
2017-04-03T00:00:00-06:00,122.37322815259297 V
2017-04-04T00:00:00-06:00,122.5074094136556 V
2017-04-05T00:00:00-06:00,122.18602498372395 V
2017-04-06T00:00:00-06:00,121.97677445411682 V
2017-04-07T00:00:00-06:00,122.13894812266032 V
2017-04-08T00:00:00-06:00,122.52338910102844 V
2017-04-09T00:00:00-06:00,122.89353966712952 V
2017-04-10T00:00:00-06:00,122.43602887789409 V
2017-04-11T00:00:00-06:00,122.34137876828511 V
2017-04-12T00:00:00-06:00,122.1188079516093 V
2017-04-13T00:00:00-06:00,122.01918824513753 V
2017-04-14T00:00:00-06:00,122.31405146916707 V
2017-04-15T00:00:00-06:00,122.3207716147105 V
2017-04-16T00:00:00-06:00,122.65319482485454 V
2017-04-17T00:00:00-06:00,122.23329536120097 V
2017-04-18T00:00:00-06:00,122.27482477823894 V
2017-04-19T00:00:00-06:00,122.27433625857036 V
2017-04-20T00:00:00-06:00,122.39787562688191 V
2017-04-21T00:00:00-06:00,122.27506422996521 V
2017-04-22T00:00:00-06:00,122.23650415738423 V
2017-04-23T00:00:00-06:00,122.26091949145 V
2017-04-24T00:00:00-06:00,122.37594191233318 V
2017-04-25T00:00:00-06:00,122.34947959582011 V
2017-04-26T00:00:00-06:00,122.15661183993022 V
2017-04-27T00:00:00-06:00,122.37660479545593 V
2017-04-28T00:00:00-06:00,122.29098391532898 V
2017-04-29T00:00:00-06:00,122.27139790852864 V
2017-04-30T00:00:00-06:00,122.19729804992676 V
2017-05-01T00:00:00-06:00,122.01280109087627 V
