Timestamp,['203a2657-d9ad994b 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-B']
2017-02-17T00:00:00-07:00,212.0354144447728 V
2017-02-18T00:00:00-07:00,212.28876654307047 V
2017-02-19T00:00:00-07:00,212.7468876838684 V
2017-02-20T00:00:00-07:00,212.31248753045196 V
2017-02-21T00:00:00-07:00,212.26628637313843 V
2017-02-22T00:00:00-07:00,212.43468634287515 V
2017-02-23T00:00:00-07:00,212.4439336458842 V
2017-02-24T00:00:00-07:00,212.57555032078224 V
2017-02-25T00:00:00-07:00,212.5172077814738 V
2017-02-26T00:00:00-07:00,212.9697240193685 V
2017-02-27T00:00:00-07:00,212.81178919474283 V
2017-02-28T00:00:00-07:00,212.54777797063193 V
2017-03-01T00:00:00-07:00,212.6338438987732 V
2017-03-02T00:00:00-07:00,212.47384357452393 V
2017-03-03T00:00:00-07:00,212.18153858184814 V
2017-03-04T00:00:00-07:00,212.35253508885702 V
2017-03-05T00:00:00-07:00,212.4527792930603 V
2017-03-06T00:00:00-07:00,212.34235636393228 V
2017-03-07T00:00:00-07:00,212.4421272277832 V
2017-03-08T00:00:00-07:00,212.61471796035767 V
2017-03-09T00:00:00-07:00,212.36045869191489 V
2017-03-10T00:00:00-07:00,212.36496432622275 V
2017-03-11T00:00:00-07:00,212.6789986292521 V
2017-03-12T00:00:00-07:00,212.6410905589228 V
2017-03-13T00:00:00-06:00,212.72000153859457 V
2017-03-14T00:00:00-06:00,212.58430576324463 V
2017-03-15T00:00:00-06:00,212.25409587224325 V
2017-03-16T00:00:00-06:00,212.58160734176636 V
2017-03-17T00:00:00-06:00,211.89921108881632 V
2017-03-18T00:00:00-06:00,212.0428179105123 V
2017-03-19T00:00:00-06:00,212.07651710510254 V
2017-03-20T00:00:00-06:00,211.54306093851724 V
2017-03-21T00:00:00-06:00,211.46641365687051 V
2017-03-22T00:00:00-06:00,211.73144356409708 V
2017-03-23T00:00:00-06:00,212.23598114649454 V
2017-03-24T00:00:00-06:00,212.2881622314453 V
2017-03-25T00:00:00-06:00,212.42243512471518 V
2017-03-26T00:00:00-06:00,212.3887906074524 V
2017-03-27T00:00:00-06:00,212.2157475153605 V
2017-03-28T00:00:00-06:00,212.24895413716635 V
2017-03-29T00:00:00-06:00,212.0855712890625 V
2017-03-30T00:00:00-06:00,211.58861050075956 V
2017-03-31T00:00:00-06:00,212.1866103808085 V
2017-04-01T00:00:00-06:00,212.1234943072001 V
2017-04-02T00:00:00-06:00,212.71880642573038 V
2017-04-03T00:00:00-06:00,212.06003363927206 V
2017-04-04T00:00:00-06:00,212.3551540374756 V
2017-04-05T00:00:00-06:00,211.80835739771524 V
2017-04-06T00:00:00-06:00,211.47963015238443 V
2017-04-07T00:00:00-06:00,211.74900897343954 V
2017-04-08T00:00:00-06:00,212.28274567921957 V
2017-04-09T00:00:00-06:00,212.80860153834024 V
2017-04-10T00:00:00-06:00,212.14803314208984 V
2017-04-11T00:00:00-06:00,212.04052019119263 V
2017-04-12T00:00:00-06:00,211.73131402333578 V
2017-04-13T00:00:00-06:00,211.59065373738608 V
2017-04-14T00:00:00-06:00,211.9469633102417 V
2017-04-15T00:00:00-06:00,211.96873712539673 V
2017-04-16T00:00:00-06:00,212.50138155619302 V
2017-04-17T00:00:00-06:00,211.8991993268331 V
2017-04-18T00:00:00-06:00,211.9382988611857 V
2017-04-19T00:00:00-06:00,211.9299028714498 V
2017-04-20T00:00:00-06:00,212.10388819376627 V
2017-04-21T00:00:00-06:00,211.91418075561523 V
2017-04-22T00:00:00-06:00,211.8503966331482 V
2017-04-23T00:00:00-06:00,211.87232128779092 V
2017-04-24T00:00:00-06:00,212.13391510645548 V
2017-04-25T00:00:00-06:00,211.99236679077148 V
2017-04-26T00:00:00-06:00,211.76519552866617 V
2017-04-27T00:00:00-06:00,212.12988964716592 V
2017-04-28T00:00:00-06:00,211.9875127474467 V
2017-04-29T00:00:00-06:00,212.094185034434 V
2017-04-30T00:00:00-06:00,211.84846703211466 V
2017-05-01T00:00:00-06:00,211.69988679885864 V
2017-05-02T00:00:00-06:00,211.58649984995523 V
2017-05-03T00:00:00-06:00,211.56839434305826 V
2017-05-04T00:00:00-06:00,211.56838925679526 V
2017-05-05T00:00:00-06:00,211.51625776290894 V
2017-05-06T00:00:00-06:00,211.71472231547037 V
2017-05-07T00:00:00-06:00,212.01294374465942 V
2017-05-08T00:00:00-06:00,211.72471650441489 V
2017-05-09T00:00:00-06:00,211.68045790990195 V
2017-05-10T00:00:00-06:00,211.5732822418213 V
2017-05-11T00:00:00-06:00,211.40318075815836 V
2017-05-12T00:00:00-06:00,211.62184810638428 V
2017-05-13T00:00:00-06:00,212.21946016947427 V
2017-05-14T00:00:00-06:00,211.91849040985107 V
2017-05-15T00:00:00-06:00,211.66300423940024 V
2017-05-16T00:00:00-06:00,212.00694449742636 V
2017-05-17T00:00:00-06:00,212.2250418663025 V
2017-05-18T00:00:00-06:00,212.0397907892863 V
2017-05-19T00:00:00-06:00,212.25905148188272 V
2017-05-20T00:00:00-06:00,211.98237673441568 V
2017-05-21T00:00:00-06:00,212.06987841924033 V
2017-05-22T00:00:00-06:00,211.9074239730835 V
2017-05-23T00:00:00-06:00,211.73693656921387 V
2017-05-24T00:00:00-06:00,211.83582401275635 V
2017-05-25T00:00:00-06:00,212.05369838078818 V
2017-05-26T00:00:00-06:00,212.1633095741272 V
2017-05-27T00:00:00-06:00,212.23310708999634 V
2017-05-28T00:00:00-06:00,212.22387358012952 V
2017-05-29T00:00:00-06:00,212.1373782157898 V
2017-05-30T00:00:00-06:00,212.02807331085205 V
2017-05-31T00:00:00-06:00,211.65776093800864 V
2017-06-01T00:00:00-06:00,212.0107560157776 V
2017-06-02T00:00:00-06:00,211.90134223302206 V
2017-06-03T00:00:00-06:00,212.04495827356973 V
2017-06-04T00:00:00-06:00,211.8106565475464 V
2017-06-05T00:00:00-06:00,211.72916539510092 V
2017-06-06T00:00:00-06:00,211.70387967427573 V
2017-06-07T00:00:00-06:00,211.72742048899332 V
2017-06-08T00:00:00-06:00,211.91956233978271 V
2017-06-09T00:00:00-06:00,211.82673756281534 V
2017-06-10T00:00:00-06:00,212.0046929610403 V
2017-06-11T00:00:00-06:00,212.01380189259848 V
2017-06-12T00:00:00-06:00,212.12614568074545 V
2017-06-13T00:00:00-06:00,212.09098100662231 V
2017-06-14T00:00:00-06:00,211.7939337094625 V
2017-06-15T00:00:00-06:00,211.71110343933105 V
2017-06-16T00:00:00-06:00,211.49170859654745 V
2017-06-17T00:00:00-06:00,211.8165405591329 V
2017-06-18T00:00:00-06:00,212.02500931421915 V
2017-06-19T00:00:00-06:00,211.67490752538046 V
2017-06-20T00:00:00-06:00,211.50988245010376 V
2017-06-21T00:00:00-06:00,211.43291759490967 V
2017-06-22T00:00:00-06:00,211.78425931930542 V
2017-06-23T00:00:00-06:00,211.7831891377767 V
2017-06-24T00:00:00-06:00,211.9258270263672 V
2017-06-25T00:00:00-06:00,212.03705167770386 V
2017-06-26T00:00:00-06:00,211.49250650405884 V
2017-06-27T00:00:00-06:00,211.73693339029947 V
2017-06-28T00:00:00-06:00,211.62755425771078 V
2017-06-29T00:00:00-06:00,211.72470649083456 V
