Timestamp,['203f26ab-e9fc3a37 0097-DUMKE GYMNASTICS CNTR Power Meter Volts A-N']
2017-02-21T00:00:00-07:00,279.71949452367323 V
2017-02-22T00:00:00-07:00,279.55925273895264 V
2017-02-23T00:00:00-07:00,279.4819854100545 V
2017-02-24T00:00:00-07:00,279.69367459454116 V
2017-02-25T00:00:00-07:00,280.0668036142985 V
2017-02-26T00:00:00-07:00,279.8150358200073 V
2017-02-27T00:00:00-07:00,279.6660683949788 V
2017-02-28T00:00:00-07:00,279.94402027130127 V
2017-03-01T00:00:00-07:00,280.1869115829468 V
2017-03-02T00:00:00-07:00,279.8156369527181 V
2017-03-03T00:00:00-07:00,279.9973548253377 V
2017-03-04T00:00:00-07:00,279.26511160532635 V
2017-03-05T00:00:00-07:00,280.20681222279865 V
2017-03-06T00:00:00-07:00,279.67558638254803 V
2017-03-07T00:00:00-07:00,279.62182490030926 V
2017-03-08T00:00:00-07:00,279.7814286549886 V
2017-03-09T00:00:00-07:00,279.52161089579266 V
2017-03-10T00:00:00-07:00,279.8984769185384 V
2017-03-11T00:00:00-07:00,280.1628901163737 V
2017-03-12T00:00:00-07:00,280.0714595628821 V
2017-03-13T00:00:00-06:00,280.4310363133748 V
2017-03-14T00:00:00-06:00,280.4546203613281 V
2017-03-15T00:00:00-06:00,280.08917395273846 V
2017-03-16T00:00:00-06:00,280.07479508717853 V
2017-03-17T00:00:00-06:00,280.10906823476154 V
2017-03-18T00:00:00-06:00,280.7993160883586 V
2017-03-19T00:00:00-06:00,280.5467716852824 V
2017-03-20T00:00:00-06:00,280.08289273579913 V
2017-03-21T00:00:00-06:00,280.3996820449829 V
2017-03-22T00:00:00-06:00,280.18722184499103 V
2017-03-23T00:00:00-06:00,280.4966843922933 V
2017-03-24T00:00:00-06:00,280.7935914993286 V
2017-03-25T00:00:00-06:00,280.62802569071454 V
2017-03-26T00:00:00-06:00,279.92790095011395 V
2017-03-27T00:00:00-06:00,280.1956148147583 V
2017-03-28T00:00:00-06:00,280.17389901479083 V
2017-03-29T00:00:00-06:00,280.1780128479004 V
2017-03-30T00:00:00-06:00,280.85138633034444 V
2017-03-31T00:00:00-06:00,280.4410174687703 V
2017-04-01T00:00:00-06:00,280.2944100697835 V
2017-04-02T00:00:00-06:00,280.4992577234904 V
2017-04-03T00:00:00-06:00,280.4159355163574 V
2017-04-04T00:00:00-06:00,281.1472393671672 V
2017-04-05T00:00:00-06:00,280.93974749247235 V
2017-04-06T00:00:00-06:00,281.0092198053996 V
2017-04-07T00:00:00-06:00,280.90422852834064 V
2017-04-08T00:00:00-06:00,280.7579040527344 V
2017-04-09T00:00:00-06:00,280.0590486526489 V
2017-04-10T00:00:00-06:00,280.360403696696 V
2017-04-11T00:00:00-06:00,280.4006452560425 V
2017-04-12T00:00:00-06:00,280.5403763453166 V
2017-04-13T00:00:00-06:00,280.8376995722453 V
2017-04-14T00:00:00-06:00,281.0679572423299 V
2017-04-15T00:00:00-06:00,281.044371287028 V
2017-04-16T00:00:00-06:00,280.8383102416992 V
2017-04-17T00:00:00-06:00,280.6300681432088 V
2017-04-18T00:00:00-06:00,280.64769490559894 V
2017-04-19T00:00:00-06:00,280.73994795481366 V
2017-04-20T00:00:00-06:00,280.72937806447345 V
