Timestamp,"['203f26be-935f52aa 0097-DUMKE GYMNASTICS CNTR Power Meter W-hours, Received']"
2017-02-21T00:00:00-07:00,625.5625 kWh
2017-02-22T00:00:00-07:00,821.484375 kWh
2017-02-23T00:00:00-07:00,891.703125 kWh
2017-02-24T00:00:00-07:00,768.8125 kWh
2017-02-25T00:00:00-07:00,668.71875 kWh
2017-02-26T00:00:00-07:00,661.1875 kWh
2017-02-27T00:00:00-07:00,847.453125 kWh
2017-02-28T00:00:00-07:00,902.4375 kWh
2017-03-01T00:00:00-07:00,841.828125 kWh
2017-03-02T00:00:00-07:00,916.453125 kWh
2017-03-03T00:00:00-07:00,751.203125 kWh
2017-03-04T00:00:00-07:00,804.828125 kWh
2017-03-05T00:00:00-07:00,713.4375 kWh
2017-03-06T00:00:00-07:00,940.71875 kWh
2017-03-07T00:00:00-07:00,930.296875 kWh
2017-03-08T00:00:00-07:00,635.953125 kWh
2017-03-09T00:00:00-07:00,834.8125 kWh
2017-03-10T00:00:00-07:00,658.359375 kWh
2017-03-11T00:00:00-07:00,565.046875 kWh
2017-03-12T00:00:00-07:00,548.46875 kWh
2017-03-13T00:00:00-06:00,805.78125 kWh
2017-03-14T00:00:00-06:00,899.5 kWh
2017-03-15T00:00:00-06:00,1088.40625 kWh
2017-03-16T00:00:00-06:00,902.15625 kWh
2017-03-17T00:00:00-06:00,847.5625 kWh
2017-03-18T00:00:00-06:00,875.03125 kWh
2017-03-19T00:00:00-06:00,807.375 kWh
2017-03-20T00:00:00-06:00,1151.78125 kWh
2017-03-21T00:00:00-06:00,1124.03125 kWh
2017-03-22T00:00:00-06:00,924.96875 kWh
2017-03-23T00:00:00-06:00,917.15625 kWh
2017-03-24T00:00:00-06:00,832.46875 kWh
2017-03-25T00:00:00-06:00,624.03125 kWh
2017-03-26T00:00:00-06:00,668.75 kWh
2017-03-27T00:00:00-06:00,986.5 kWh
2017-03-28T00:00:00-06:00,955.6875 kWh
2017-03-29T00:00:00-06:00,1392.75 kWh
2017-03-30T00:00:00-06:00,374.59375 kWh
2017-03-31T00:00:00-06:00,703.9375 kWh
2017-04-01T00:00:00-06:00,736.84375 kWh
2017-04-02T00:00:00-06:00,649.6875 kWh
2017-04-03T00:00:00-06:00,814.03125 kWh
2017-04-04T00:00:00-06:00,921.65625 kWh
2017-04-05T00:00:00-06:00,767.1875 kWh
2017-04-06T00:00:00-06:00,1024.90625 kWh
2017-04-07T00:00:00-06:00,925.375 kWh
2017-04-08T00:00:00-06:00,602.5625 kWh
2017-04-09T00:00:00-06:00,629.46875 kWh
2017-04-10T00:00:00-06:00,880.5625 kWh
2017-04-11T00:00:00-06:00,918.125 kWh
2017-04-12T00:00:00-06:00,830.3125 kWh
2017-04-13T00:00:00-06:00,856.875 kWh
2017-04-14T00:00:00-06:00,660.78125 kWh
2017-04-15T00:00:00-06:00,625.5625 kWh
2017-04-16T00:00:00-06:00,699.1875 kWh
2017-04-17T00:00:00-06:00,824.0625 kWh
2017-04-18T00:00:00-06:00,806.9375 kWh
2017-04-19T00:00:00-06:00,750.125 kWh
2017-04-20T00:00:00-06:00,735.625 kWh
2017-04-21T00:00:00-06:00,690.75 kWh
2017-04-22T00:00:00-06:00,695.5 kWh
2017-04-23T00:00:00-06:00,715.65625 kWh
2017-04-24T00:00:00-06:00,728.0625 kWh
2017-04-25T00:00:00-06:00,740.125 kWh
2017-04-26T00:00:00-06:00,656.25 kWh
2017-04-27T00:00:00-06:00,592.03125 kWh
2017-04-28T00:00:00-06:00,624.6875 kWh
2017-04-29T00:00:00-06:00,616.3125 kWh
2017-04-30T00:00:00-06:00,663.25 kWh
2017-05-01T00:00:00-06:00,791.53125 kWh
2017-05-02T00:00:00-06:00,722.96875 kWh
2017-05-03T00:00:00-06:00,767.4375 kWh
2017-05-04T00:00:00-06:00,786.4375 kWh
2017-05-05T00:00:00-06:00,872.46875 kWh
2017-05-06T00:00:00-06:00,810.875 kWh
2017-05-07T00:00:00-06:00,781.40625 kWh
2017-05-08T00:00:00-06:00,800.96875 kWh
2017-05-09T00:00:00-06:00,844.34375 kWh
2017-05-10T00:00:00-06:00,764.8125 kWh
2017-05-11T00:00:00-06:00,838.125 kWh
2017-05-12T00:00:00-06:00,904.21875 kWh
2017-05-13T00:00:00-06:00,584.34375 kWh
2017-05-14T00:00:00-06:00,638.03125 kWh
2017-05-15T00:00:00-06:00,807.46875 kWh
2017-05-16T00:00:00-06:00,871.96875 kWh
2017-05-17T00:00:00-06:00,636.96875 kWh
2017-05-18T00:00:00-06:00,803.59375 kWh
2017-05-19T00:00:00-06:00,863.28125 kWh
2017-05-20T00:00:00-06:00,691.75 kWh
2017-05-21T00:00:00-06:00,679.6875 kWh
2017-05-22T00:00:00-06:00,922.5625 kWh
2017-05-23T00:00:00-06:00,978.40625 kWh
2017-05-24T00:00:00-06:00,889.84375 kWh
2017-05-25T00:00:00-06:00,858.03125 kWh
2017-05-26T00:00:00-06:00,815.09375 kWh
2017-05-27T00:00:00-06:00,663.5625 kWh
2017-05-28T00:00:00-06:00,742 kWh
2017-05-29T00:00:00-06:00,811.28125 kWh
2017-05-30T00:00:00-06:00,1084.125 kWh
2017-05-31T00:00:00-06:00,999.28125 kWh
2017-06-01T00:00:00-06:00,1016.6875 kWh
2017-06-02T00:00:00-06:00,891.71875 kWh
2017-06-03T00:00:00-06:00,828.53125 kWh
2017-06-04T00:00:00-06:00,931.78125 kWh
2017-06-05T00:00:00-06:00,967.78125 kWh
2017-06-06T00:00:00-06:00,1056.25 kWh
2017-06-07T00:00:00-06:00,1137.34375 kWh
2017-06-08T00:00:00-06:00,1009.09375 kWh
2017-06-09T00:00:00-06:00,944.125 kWh
2017-06-10T00:00:00-06:00,690.3125 kWh
2017-06-11T00:00:00-06:00,770.21875 kWh
2017-06-12T00:00:00-06:00,781.875 kWh
2017-06-13T00:00:00-06:00,725.1875 kWh
2017-06-14T00:00:00-06:00,1076.34375 kWh
2017-06-15T00:00:00-06:00,1298.6875 kWh
2017-06-16T00:00:00-06:00,1293.21875 kWh
2017-06-17T00:00:00-06:00,976.1875 kWh
2017-06-18T00:00:00-06:00,718.84375 kWh
2017-06-19T00:00:00-06:00,1013.6875 kWh
2017-06-20T00:00:00-06:00,1113.75 kWh
2017-06-21T00:00:00-06:00,1070.6875 kWh
2017-06-22T00:00:00-06:00,1159.28125 kWh
2017-06-23T00:00:00-06:00,882.21875 kWh
2017-06-24T00:00:00-06:00,779.96875 kWh
2017-06-25T00:00:00-06:00,874.65625 kWh
2017-06-26T00:00:00-06:00,1161.90625 kWh
2017-06-27T00:00:00-06:00,998.65625 kWh
2017-06-28T00:00:00-06:00,852.6875 kWh
2017-06-29T00:00:00-06:00,855 kWh
2017-06-30T00:00:00-06:00,914.6875 kWh
2017-07-01T00:00:00-06:00,801.03125 kWh
2017-07-02T00:00:00-06:00,910.21875 kWh
2017-07-03T00:00:00-06:00,1239.40625 kWh
2017-07-04T00:00:00-06:00,1040.78125 kWh
2017-07-05T00:00:00-06:00,1303.125 kWh
2017-07-06T00:00:00-06:00,1336.25 kWh
2017-07-07T00:00:00-06:00,1286 kWh
2017-07-08T00:00:00-06:00,1085.125 kWh
2017-07-09T00:00:00-06:00,990.65625 kWh
2017-07-10T00:00:00-06:00,1146.53125 kWh
2017-07-11T00:00:00-06:00,1123.375 kWh
2017-07-12T00:00:00-06:00,1339.09375 kWh
2017-07-13T00:00:00-06:00,1138.125 kWh
2017-07-14T00:00:00-06:00,1140.875 kWh
