Timestamp,"['206e9e88-c852b0df 0046-LASSONDE STUDIOS Power Meter 316258 Watts, 3-Ph total']"
2017-03-29T00:00:00-06:00,97.57758331298828 kW
2017-03-30T00:00:00-06:00,86.18233489990234 kW
2017-03-31T00:00:00-06:00,81.76620483398438 kW
2017-04-01T00:00:00-06:00,73.74405670166016 kW
2017-04-02T00:00:00-06:00,85.3338851928711 kW
2017-04-03T00:00:00-06:00,84.27232360839844 kW
2017-04-04T00:00:00-06:00,77.4710464477539 kW
2017-04-05T00:00:00-06:00,81.24969482421875 kW
2017-04-06T00:00:00-06:00,80.47000885009766 kW
2017-04-07T00:00:00-06:00,78.85261535644531 kW
2017-04-08T00:00:00-06:00,79.14537811279297 kW
2017-04-09T00:00:00-06:00,80.96749114990234 kW
2017-04-10T00:00:00-06:00,78.80854797363281 kW
2017-04-11T00:00:00-06:00,83.64205169677734 kW
2017-04-12T00:00:00-06:00,81.96884155273438 kW
2017-04-13T00:00:00-06:00,78.3559341430664 kW
2017-04-14T00:00:00-06:00,72.5612564086914 kW
2017-04-15T00:00:00-06:00,74.31221771240234 kW
2017-04-16T00:00:00-06:00,74.17784881591797 kW
2017-04-17T00:00:00-06:00,78.66471099853516 kW
2017-04-18T00:00:00-06:00,75.90279388427734 kW
2017-04-19T00:00:00-06:00,74.48788452148438 kW
2017-04-20T00:00:00-06:00,85.7456283569336 kW
2017-04-21T00:00:00-06:00,75.57849884033203 kW
2017-04-22T00:00:00-06:00,79.6996841430664 kW
2017-04-23T00:00:00-06:00,76.8321533203125 kW
2017-04-24T00:00:00-06:00,77.34771728515625 kW
2017-04-25T00:00:00-06:00,70.49070739746094 kW
2017-04-26T00:00:00-06:00,80.98609924316406 kW
2017-04-27T00:00:00-06:00,76.90755462646484 kW
2017-04-28T00:00:00-06:00,83.63638305664062 kW
2017-04-29T00:00:00-06:00,76.6204833984375 kW
2017-04-30T00:00:00-06:00,75.34402465820312 kW
2017-05-01T00:00:00-06:00,76.86151123046875 kW
2017-05-02T00:00:00-06:00,75.3229751586914 kW
2017-05-03T00:00:00-06:00,70.61490631103516 kW
2017-05-04T00:00:00-06:00,69.17424774169922 kW
2017-05-05T00:00:00-06:00,66.86605834960938 kW
2017-05-06T00:00:00-06:00,54.20200729370117 kW
2017-05-07T00:00:00-06:00,44.77820587158203 kW
2017-05-08T00:00:00-06:00,49.653011322021484 kW
2017-05-09T00:00:00-06:00,48.96886444091797 kW
2017-05-10T00:00:00-06:00,49.35791015625 kW
2017-05-11T00:00:00-06:00,48.57061004638672 kW
2017-05-12T00:00:00-06:00,45.41678237915039 kW
2017-05-13T00:00:00-06:00,44.142032623291016 kW
2017-05-14T00:00:00-06:00,45.90205001831055 kW
2017-05-15T00:00:00-06:00,47.07188034057617 kW
2017-05-16T00:00:00-06:00,49.23396301269531 kW
2017-05-17T00:00:00-06:00,46.76799011230469 kW
2017-05-18T00:00:00-06:00,47.213111877441406 kW
2017-05-19T00:00:00-06:00,53.619544982910156 kW
2017-05-20T00:00:00-06:00,47.4853630065918 kW
2017-05-21T00:00:00-06:00,50.1343994140625 kW
2017-05-22T00:00:00-06:00,46.877323150634766 kW
2017-05-23T00:00:00-06:00,50.239036560058594 kW
2017-05-24T00:00:00-06:00,47.076969146728516 kW
2017-05-25T00:00:00-06:00,46.12385940551758 kW
2017-05-26T00:00:00-06:00,46.64546585083008 kW
2017-05-27T00:00:00-06:00,43.7518310546875 kW
2017-05-28T00:00:00-06:00,46.83915710449219 kW
2017-05-29T00:00:00-06:00,44.353179931640625 kW
2017-05-30T00:00:00-06:00,52.44340896606445 kW
2017-05-31T00:00:00-06:00,50.49635314941406 kW
2017-06-01T00:00:00-06:00,55.965309143066406 kW
2017-06-02T00:00:00-06:00,47.75564193725586 kW
2017-06-03T00:00:00-06:00,45.73997497558594 kW
2017-06-04T00:00:00-06:00,51.242706298828125 kW
2017-06-05T00:00:00-06:00,61.90007019042969 kW
2017-06-06T00:00:00-06:00,63.23701095581055 kW
2017-06-07T00:00:00-06:00,54.832218170166016 kW
2017-06-08T00:00:00-06:00,55.68593215942383 kW
2017-06-09T00:00:00-06:00,50.38166809082031 kW
2017-06-10T00:00:00-06:00,48.96912384033203 kW
2017-06-11T00:00:00-06:00,47.016109466552734 kW
2017-06-12T00:00:00-06:00,56.311424255371094 kW
2017-06-13T00:00:00-06:00,57.130855560302734 kW
2017-06-14T00:00:00-06:00,56.39046859741211 kW
2017-06-15T00:00:00-06:00,60.35297775268555 kW
2017-06-16T00:00:00-06:00,56.52260971069336 kW
2017-06-17T00:00:00-06:00,48.843692779541016 kW
2017-06-18T00:00:00-06:00,54.602542877197266 kW
2017-06-19T00:00:00-06:00,57.793312072753906 kW
2017-06-20T00:00:00-06:00,59.977745056152344 kW
2017-06-21T00:00:00-06:00,56.5813102722168 kW
2017-06-22T00:00:00-06:00,59.1630973815918 kW
2017-06-23T00:00:00-06:00,53.63936233520508 kW
2017-06-24T00:00:00-06:00,55.84723663330078 kW
2017-06-25T00:00:00-06:00,56.8939323425293 kW
2017-06-26T00:00:00-06:00,55.80957794189453 kW
2017-06-27T00:00:00-06:00,60.59746551513672 kW
2017-06-28T00:00:00-06:00,61.48912048339844 kW
2017-06-29T00:00:00-06:00,54.30602264404297 kW
2017-06-30T00:00:00-06:00,62.85862350463867 kW
2017-07-01T00:00:00-06:00,61.972965240478516 kW
2017-07-02T00:00:00-06:00,60.641685485839844 kW
2017-07-03T00:00:00-06:00,64.35547637939453 kW
2017-07-04T00:00:00-06:00,59.01112365722656 kW
2017-07-05T00:00:00-06:00,57.69970703125 kW
2017-07-06T00:00:00-06:00,64.28202056884766 kW
2017-07-07T00:00:00-06:00,57.53173065185547 kW
2017-07-08T00:00:00-06:00,64.8323974609375 kW
2017-07-09T00:00:00-06:00,67.72367095947266 kW
2017-07-10T00:00:00-06:00,63.95441436767578 kW
2017-07-11T00:00:00-06:00,66.36067199707031 kW
2017-07-12T00:00:00-06:00,61.730506896972656 kW
2017-07-13T00:00:00-06:00,63.353641510009766 kW
2017-07-14T00:00:00-06:00,64.06175994873047 kW
2017-07-15T00:00:00-06:00,61.84038162231445 kW
2017-07-16T00:00:00-06:00,58.63817596435547 kW
2017-07-17T00:00:00-06:00,56.1670036315918 kW
2017-07-18T00:00:00-06:00,62.61604309082031 kW
2017-07-19T00:00:00-06:00,56.12469482421875 kW
2017-07-20T00:00:00-06:00,55.423179626464844 kW
2017-07-21T00:00:00-06:00,61.94102096557617 kW
2017-07-22T00:00:00-06:00,53.62786102294922 kW
2017-07-23T00:00:00-06:00,53.756980895996094 kW
2017-07-24T00:00:00-06:00,55.78839111328125 kW
2017-07-25T00:00:00-06:00,55.726375579833984 kW
2017-07-26T00:00:00-06:00,66.4243392944336 kW
2017-07-27T00:00:00-06:00,56.40715789794922 kW
2017-07-28T00:00:00-06:00,53.49203109741211 kW
2017-07-29T00:00:00-06:00,54.180320739746094 kW
2017-07-30T00:00:00-06:00,57.76586151123047 kW
2017-07-31T00:00:00-06:00,54.099788665771484 kW
2017-08-01T00:00:00-06:00,52.113101959228516 kW
2017-08-02T00:00:00-06:00,52.278106689453125 kW
2017-08-03T00:00:00-06:00,56.82002639770508 kW
2017-08-04T00:00:00-06:00,63.606510162353516 kW
2017-08-05T00:00:00-06:00,55.106204986572266 kW
2017-08-06T00:00:00-06:00,52.73054504394531 kW
2017-08-07T00:00:00-06:00,49.238006591796875 kW
2017-08-08T00:00:00-06:00,51.06731033325195 kW
2017-08-09T00:00:00-06:00,51.129947662353516 kW
2017-08-10T00:00:00-06:00,50.54670333862305 kW
2017-08-11T00:00:00-06:00,52.47512435913086 kW
2017-08-12T00:00:00-06:00,52.126678466796875 kW
2017-08-13T00:00:00-06:00,50.98681640625 kW
2017-08-14T00:00:00-06:00,55.2943229675293 kW
2017-08-15T00:00:00-06:00,57.01539611816406 kW
2017-08-16T00:00:00-06:00,55.672542572021484 kW
2017-08-17T00:00:00-06:00,70.16434478759766 kW
2017-08-18T00:00:00-06:00,68.26569366455078 kW
2017-08-19T00:00:00-06:00,78.01575469970703 kW
2017-08-20T00:00:00-06:00,79.39852905273438 kW
2017-08-21T00:00:00-06:00,86.4302749633789 kW
2017-08-22T00:00:00-06:00,82.7393798828125 kW
2017-08-23T00:00:00-06:00,84.297607421875 kW
2017-08-24T00:00:00-06:00,80.69288635253906 kW
2017-08-25T00:00:00-06:00,81.91301727294922 kW
2017-08-26T00:00:00-06:00,80.49535369873047 kW
2017-08-27T00:00:00-06:00,93.07179260253906 kW
2017-08-28T00:00:00-06:00,89.96543884277344 kW
2017-08-29T00:00:00-06:00,91.24976348876953 kW
2017-08-30T00:00:00-06:00,85.11429595947266 kW
2017-08-31T00:00:00-06:00,81.8871841430664 kW
2017-09-01T00:00:00-06:00,75.28423309326172 kW
2017-09-02T00:00:00-06:00,83.3608169555664 kW
2017-09-03T00:00:00-06:00,85.89219665527344 kW
2017-09-04T00:00:00-06:00,90.86080169677734 kW
2017-09-05T00:00:00-06:00,87.37102508544922 kW
2017-09-06T00:00:00-06:00,83.74078369140625 kW
2017-09-07T00:00:00-06:00,78.09231567382812 kW
2017-09-08T00:00:00-06:00,90.04396057128906 kW
2017-09-09T00:00:00-06:00,86.94110870361328 kW
2017-09-10T00:00:00-06:00,83.46756744384766 kW
2017-09-11T00:00:00-06:00,87.96484375 kW
2017-09-12T00:00:00-06:00,80.51092529296875 kW
2017-09-13T00:00:00-06:00,87.42593383789062 kW
2017-09-14T00:00:00-06:00,94.67404174804688 kW
2017-09-15T00:00:00-06:00,82.79751586914062 kW
2017-09-16T00:00:00-06:00,85.68785095214844 kW
2017-09-17T00:00:00-06:00,86.1303482055664 kW
2017-09-18T00:00:00-06:00,88.8568115234375 kW
2017-09-19T00:00:00-06:00,86.84923553466797 kW
2017-09-20T00:00:00-06:00,96.37690734863281 kW
2017-09-21T00:00:00-06:00,89.81914520263672 kW
2017-09-22T00:00:00-06:00,87.02592468261719 kW
2017-09-23T00:00:00-06:00,77.49173736572266 kW
2017-09-24T00:00:00-06:00,85.26339721679688 kW
2017-09-25T00:00:00-06:00,91.88198852539062 kW
2017-09-26T00:00:00-06:00,85.56571960449219 kW
2017-09-27T00:00:00-06:00,89.70854949951172 kW
2017-09-28T00:00:00-06:00,83.14935302734375 kW
2017-09-29T00:00:00-06:00,84.80352020263672 kW
2017-09-30T00:00:00-06:00,81.3787612915039 kW
2017-10-01T00:00:00-06:00,88.63943481445312 kW
2017-10-02T00:00:00-06:00,93.18167114257812 kW
2017-10-03T00:00:00-06:00,93.27234649658203 kW
2017-10-04T00:00:00-06:00,93.06566619873047 kW
2017-10-05T00:00:00-06:00,89.14251708984375 kW
2017-10-06T00:00:00-06:00,96.55736541748047 kW
2017-10-07T00:00:00-06:00,78.74038696289062 kW
2017-10-08T00:00:00-06:00,77.31632995605469 kW
2017-10-09T00:00:00-06:00,69.78804016113281 kW
2017-10-10T00:00:00-06:00,68.4579849243164 kW
2017-10-11T00:00:00-06:00,72.01219940185547 kW
2017-10-12T00:00:00-06:00,73.3896713256836 kW
2017-10-13T00:00:00-06:00,79.91374206542969 kW
2017-10-14T00:00:00-06:00,76.493408203125 kW
2017-10-15T00:00:00-06:00,79.72139739990234 kW
2017-10-16T00:00:00-06:00,85.85698699951172 kW
2017-10-17T00:00:00-06:00,90.89969635009766 kW
2017-10-18T00:00:00-06:00,87.36505889892578 kW
2017-10-19T00:00:00-06:00,87.70547485351562 kW
2017-10-20T00:00:00-06:00,85.36846923828125 kW
2017-10-21T00:00:00-06:00,76.88001251220703 kW
2017-10-22T00:00:00-06:00,86.89473724365234 kW
2017-10-23T00:00:00-06:00,84.14305114746094 kW
2017-10-24T00:00:00-06:00,89.009765625 kW
2017-10-25T00:00:00-06:00,93.1436996459961 kW
2017-10-26T00:00:00-06:00,87.15882110595703 kW
2017-10-27T00:00:00-06:00,80.35989379882812 kW
2017-10-28T00:00:00-06:00,78.38121795654297 kW
2017-10-29T00:00:00-06:00,88.00636291503906 kW
2017-10-30T00:00:00-06:00,85.47373962402344 kW
2017-10-31T00:00:00-06:00,94.16972351074219 kW
2017-11-01T00:00:00-06:00,86.93801879882812 kW
2017-11-02T00:00:00-06:00,88.43380737304688 kW
2017-11-03T00:00:00-06:00,88.34593200683594 kW
2017-11-04T00:00:00-06:00,90.2699966430664 kW
2017-11-05T00:00:00-06:00,89.08356475830078 kW
2017-11-06T00:00:00-07:00,94.5501480102539 kW
2017-11-07T00:00:00-07:00,94.20591735839844 kW
2017-11-08T00:00:00-07:00,88.15188598632812 kW
2017-11-09T00:00:00-07:00,86.20574188232422 kW
2017-11-10T00:00:00-07:00,94.68391418457031 kW
2017-11-11T00:00:00-07:00,83.46382904052734 kW
2017-11-12T00:00:00-07:00,86.53045654296875 kW
2017-11-13T00:00:00-07:00,94.79557037353516 kW
2017-11-14T00:00:00-07:00,94.23274230957031 kW
2017-11-15T00:00:00-07:00,97.58255767822266 kW
2017-11-16T00:00:00-07:00,88.23644256591797 kW
2017-11-17T00:00:00-07:00,94.02439880371094 kW
2017-11-18T00:00:00-07:00,85.44937133789062 kW
2017-11-19T00:00:00-07:00,89.25304412841797 kW
2017-11-20T00:00:00-07:00,96.2667465209961 kW
2017-11-21T00:00:00-07:00,92.19647216796875 kW
2017-11-22T00:00:00-07:00,81.20620727539062 kW
2017-11-23T00:00:00-07:00,61.25995635986328 kW
2017-11-24T00:00:00-07:00,58.547088623046875 kW
2017-11-25T00:00:00-07:00,60.88965606689453 kW
2017-11-26T00:00:00-07:00,81.42267608642578 kW
2017-11-27T00:00:00-07:00,93.28155517578125 kW
2017-11-28T00:00:00-07:00,95.87998962402344 kW
2017-11-29T00:00:00-07:00,91.58551025390625 kW
2017-11-30T00:00:00-07:00,91.08992004394531 kW
2017-12-01T00:00:00-07:00,92.35321044921875 kW
2017-12-02T00:00:00-07:00,91.5282211303711 kW
2017-12-03T00:00:00-07:00,88.25645446777344 kW
2017-12-04T00:00:00-07:00,97.25714111328125 kW
2017-12-05T00:00:00-07:00,94.33224487304688 kW
2017-12-06T00:00:00-07:00,106.30645751953125 kW
2017-12-07T00:00:00-07:00,96.71101379394531 kW
2017-12-08T00:00:00-07:00,103.06302642822266 kW
2017-12-09T00:00:00-07:00,99.70396423339844 kW
2017-12-10T00:00:00-07:00,89.01830291748047 kW
2017-12-11T00:00:00-07:00,98.01299285888672 kW
2017-12-12T00:00:00-07:00,96.49220275878906 kW
2017-12-13T00:00:00-07:00,98.8023452758789 kW
2017-12-14T00:00:00-07:00,88.0644760131836 kW
2017-12-15T00:00:00-07:00,90.43889617919922 kW
2017-12-16T00:00:00-07:00,71.79692077636719 kW
2017-12-17T00:00:00-07:00,62.728633880615234 kW
2017-12-18T00:00:00-07:00,57.9993896484375 kW
2017-12-19T00:00:00-07:00,53.50568389892578 kW
2017-12-20T00:00:00-07:00,59.71687316894531 kW
2017-12-21T00:00:00-07:00,58.31511306762695 kW
2017-12-22T00:00:00-07:00,50.26834487915039 kW
2017-12-23T00:00:00-07:00,51.846736907958984 kW
2017-12-24T00:00:00-07:00,53.813507080078125 kW
2017-12-25T00:00:00-07:00,54.19704055786133 kW
2017-12-26T00:00:00-07:00,51.76009750366211 kW
2017-12-27T00:00:00-07:00,51.2391357421875 kW
2017-12-28T00:00:00-07:00,54.97041320800781 kW
2017-12-29T00:00:00-07:00,62.607940673828125 kW
2017-12-30T00:00:00-07:00,55.66195297241211 kW
2017-12-31T00:00:00-07:00,54.73676681518555 kW
