Timestamp,['206e9ea7-a587cdf0 0046-LASSONDE STUDIOS Power Meter 316259 Current C']
2017-03-29T00:00:00-06:00,117.34423670275459 A
2017-03-30T00:00:00-06:00,124.54148542616102 A
2017-03-31T00:00:00-06:00,117.65198914210002 A
2017-04-01T00:00:00-06:00,112.43932175636292 A
2017-04-02T00:00:00-06:00,118.76309418678284 A
2017-04-03T00:00:00-06:00,113.34651740392049 A
2017-04-04T00:00:00-06:00,115.37576699256897 A
2017-04-05T00:00:00-06:00,114.96596415837605 A
2017-04-06T00:00:00-06:00,117.46479145685832 A
2017-04-07T00:00:00-06:00,122.66814422607422 A
2017-04-08T00:00:00-06:00,115.51812100410461 A
2017-04-09T00:00:00-06:00,117.47601755460103 A
2017-04-10T00:00:00-06:00,113.33894975980122 A
2017-04-11T00:00:00-06:00,115.93942896525066 A
2017-04-12T00:00:00-06:00,118.06161824862163 A
2017-04-13T00:00:00-06:00,107.26924220720927 A
2017-04-14T00:00:00-06:00,87.04662720362346 A
2017-04-15T00:00:00-06:00,114.29183141390483 A
2017-04-16T00:00:00-06:00,117.7755781809489 A
2017-04-17T00:00:00-06:00,116.85015908877055 A
2017-04-18T00:00:00-06:00,119.24857378005981 A
2017-04-19T00:00:00-06:00,113.77502791086833 A
2017-04-20T00:00:00-06:00,116.9623110294342 A
2017-04-21T00:00:00-06:00,116.7455731232961 A
2017-04-22T00:00:00-06:00,113.25126163164775 A
2017-04-23T00:00:00-06:00,117.05989114443462 A
2017-04-24T00:00:00-06:00,121.27062940597534 A
2017-04-25T00:00:00-06:00,149.06254625320435 A
2017-04-26T00:00:00-06:00,151.9545135498047 A
2017-04-27T00:00:00-06:00,145.86756626764932 A
2017-04-28T00:00:00-06:00,150.76896476745605 A
2017-04-29T00:00:00-06:00,146.6613243420919 A
2017-04-30T00:00:00-06:00,151.00581804911295 A
2017-05-01T00:00:00-06:00,146.5940578778585 A
2017-05-02T00:00:00-06:00,148.01384607950845 A
2017-05-03T00:00:00-06:00,149.1035860379537 A
2017-05-04T00:00:00-06:00,152.14313904444376 A
2017-05-05T00:00:00-06:00,155.4058806101481 A
