Timestamp,"['206e9ee7-05271eb2 0046-LASSONDE STUDIOS Power Meter 316259 W-hours, Received']"
2017-03-29T00:00:00-06:00,2633.5625 kWh
2017-03-30T00:00:00-06:00,1210 kWh
2017-03-31T00:00:00-06:00,2456.25 kWh
2017-04-01T00:00:00-06:00,2389.9375 kWh
2017-04-02T00:00:00-06:00,2489.25 kWh
2017-04-03T00:00:00-06:00,2399.5625 kWh
2017-04-04T00:00:00-06:00,2407.8125 kWh
2017-04-05T00:00:00-06:00,2408.25 kWh
2017-04-06T00:00:00-06:00,2455.0625 kWh
2017-04-07T00:00:00-06:00,2531.6875 kWh
2017-04-08T00:00:00-06:00,2424.125 kWh
2017-04-09T00:00:00-06:00,2465.375 kWh
2017-04-10T00:00:00-06:00,2403.1875 kWh
2017-04-11T00:00:00-06:00,2401.0625 kWh
2017-04-12T00:00:00-06:00,2451.75 kWh
2017-04-13T00:00:00-06:00,2257.9375 kWh
2017-04-14T00:00:00-06:00,1863.0625 kWh
2017-04-15T00:00:00-06:00,2391.4375 kWh
2017-04-16T00:00:00-06:00,2465.6875 kWh
2017-04-17T00:00:00-06:00,2468.5625 kWh
2017-04-18T00:00:00-06:00,2464.75 kWh
2017-04-19T00:00:00-06:00,2408 kWh
2017-04-20T00:00:00-06:00,2437.75 kWh
2017-04-21T00:00:00-06:00,2428.375 kWh
2017-04-22T00:00:00-06:00,2392.375 kWh
2017-04-23T00:00:00-06:00,2457 kWh
2017-04-24T00:00:00-06:00,2459.625 kWh
2017-04-25T00:00:00-06:00,3023 kWh
2017-04-26T00:00:00-06:00,3050.875 kWh
2017-04-27T00:00:00-06:00,2938 kWh
2017-04-28T00:00:00-06:00,3050.0625 kWh
2017-04-29T00:00:00-06:00,3007.1875 kWh
2017-04-30T00:00:00-06:00,3061.5625 kWh
2017-05-01T00:00:00-06:00,2965.5625 kWh
2017-05-02T00:00:00-06:00,2990.625 kWh
2017-05-03T00:00:00-06:00,3008.125 kWh
2017-05-04T00:00:00-06:00,3041.4375 kWh
2017-05-05T00:00:00-06:00,3131.875 kWh
2017-05-06T00:00:00-06:00,3085.625 kWh
2017-05-07T00:00:00-06:00,3081.625 kWh
2017-05-08T00:00:00-06:00,2955 kWh
2017-05-09T00:00:00-06:00,2943.9375 kWh
2017-05-10T00:00:00-06:00,2944.8125 kWh
2017-05-11T00:00:00-06:00,3000.6875 kWh
2017-05-12T00:00:00-06:00,3044.0625 kWh
2017-05-13T00:00:00-06:00,2888.4375 kWh
2017-05-14T00:00:00-06:00,2951.25 kWh
2017-05-15T00:00:00-06:00,2878.9375 kWh
2017-05-16T00:00:00-06:00,2860.9375 kWh
2017-05-17T00:00:00-06:00,2877.375 kWh
2017-05-18T00:00:00-06:00,2875.6875 kWh
2017-05-19T00:00:00-06:00,2912.5625 kWh
2017-05-20T00:00:00-06:00,2870.25 kWh
2017-05-21T00:00:00-06:00,2919.125 kWh
2017-05-22T00:00:00-06:00,2882.75 kWh
2017-05-23T00:00:00-06:00,2972.0625 kWh
2017-05-24T00:00:00-06:00,3001 kWh
2017-05-25T00:00:00-06:00,2966.875 kWh
2017-05-26T00:00:00-06:00,2966.75 kWh
2017-05-27T00:00:00-06:00,2912.375 kWh
2017-05-28T00:00:00-06:00,2995.875 kWh
2017-05-29T00:00:00-06:00,2908.375 kWh
2017-05-30T00:00:00-06:00,3010.75 kWh
2017-05-31T00:00:00-06:00,3018.25 kWh
2017-06-01T00:00:00-06:00,3002.9375 kWh
2017-06-02T00:00:00-06:00,3002.9375 kWh
2017-06-03T00:00:00-06:00,3005.6875 kWh
2017-06-04T00:00:00-06:00,3109.125 kWh
2017-06-05T00:00:00-06:00,3013.875 kWh
2017-06-06T00:00:00-06:00,3037.5 kWh
2017-06-07T00:00:00-06:00,3075.5 kWh
2017-06-08T00:00:00-06:00,3081.3125 kWh
2017-06-09T00:00:00-06:00,3054.1875 kWh
2017-06-10T00:00:00-06:00,2993.75 kWh
2017-06-11T00:00:00-06:00,3092.375 kWh
2017-06-12T00:00:00-06:00,3065.6875 kWh
2017-06-13T00:00:00-06:00,3008.75 kWh
2017-06-14T00:00:00-06:00,2996.8125 kWh
2017-06-15T00:00:00-06:00,3054.625 kWh
2017-06-16T00:00:00-06:00,3060.625 kWh
2017-06-17T00:00:00-06:00,3032.4375 kWh
2017-06-18T00:00:00-06:00,3116.6875 kWh
2017-06-19T00:00:00-06:00,2731.4375 kWh
2017-06-20T00:00:00-06:00,2533.625 kWh
2017-06-21T00:00:00-06:00,2328.875 kWh
2017-06-22T00:00:00-06:00,1927.625 kWh
2017-06-23T00:00:00-06:00,1781.6875 kWh
2017-06-24T00:00:00-06:00,1626.75 kWh
2017-06-25T00:00:00-06:00,1715.9375 kWh
2017-06-26T00:00:00-06:00,1666.0625 kWh
2017-06-27T00:00:00-06:00,1658.75 kWh
2017-06-28T00:00:00-06:00,1643.9375 kWh
2017-06-29T00:00:00-06:00,1640.5625 kWh
2017-06-30T00:00:00-06:00,1666.875 kWh
2017-07-01T00:00:00-06:00,1609.0625 kWh
2017-07-02T00:00:00-06:00,1698.4375 kWh
2017-07-03T00:00:00-06:00,1626.8125 kWh
2017-07-04T00:00:00-06:00,1613.4375 kWh
2017-07-05T00:00:00-06:00,1635.875 kWh
2017-07-06T00:00:00-06:00,1630.1875 kWh
2017-07-07T00:00:00-06:00,1660.8125 kWh
2017-07-08T00:00:00-06:00,1698.75 kWh
2017-07-09T00:00:00-06:00,1732.6875 kWh
2017-07-10T00:00:00-06:00,2160.125 kWh
2017-07-11T00:00:00-06:00,2630 kWh
2017-07-12T00:00:00-06:00,2592 kWh
2017-07-13T00:00:00-06:00,2607.875 kWh
2017-07-14T00:00:00-06:00,2611 kWh
2017-07-15T00:00:00-06:00,2607.0625 kWh
2017-07-16T00:00:00-06:00,2652.3125 kWh
2017-07-17T00:00:00-06:00,2568.4375 kWh
2017-07-18T00:00:00-06:00,2634.5 kWh
2017-07-19T00:00:00-06:00,2631.6875 kWh
2017-07-20T00:00:00-06:00,2635.625 kWh
2017-07-21T00:00:00-06:00,2614.3125 kWh
2017-07-22T00:00:00-06:00,2590.6875 kWh
2017-07-23T00:00:00-06:00,2652.375 kWh
2017-07-24T00:00:00-06:00,2550.375 kWh
2017-07-25T00:00:00-06:00,2584.1875 kWh
2017-07-26T00:00:00-06:00,2604.0625 kWh
2017-07-27T00:00:00-06:00,2641.8125 kWh
2017-07-28T00:00:00-06:00,2733.6875 kWh
2017-07-29T00:00:00-06:00,3044.5 kWh
2017-07-30T00:00:00-06:00,3122.0625 kWh
2017-07-31T00:00:00-06:00,3118.3125 kWh
2017-08-01T00:00:00-06:00,3046.4375 kWh
2017-08-02T00:00:00-06:00,3046.625 kWh
2017-08-03T00:00:00-06:00,3068.25 kWh
2017-08-04T00:00:00-06:00,3114.3125 kWh
2017-08-05T00:00:00-06:00,2945.75 kWh
2017-08-06T00:00:00-06:00,2356.75 kWh
2017-08-07T00:00:00-06:00,2250.0625 kWh
2017-08-08T00:00:00-06:00,2244.125 kWh
2017-08-09T00:00:00-06:00,2204.3125 kWh
2017-08-10T00:00:00-06:00,2230.6875 kWh
2017-08-11T00:00:00-06:00,2285.375 kWh
2017-08-12T00:00:00-06:00,2180.75 kWh
2017-08-13T00:00:00-06:00,2257.625 kWh
2017-08-14T00:00:00-06:00,2226.125 kWh
2017-08-15T00:00:00-06:00,2183.5 kWh
2017-08-16T00:00:00-06:00,2226.0625 kWh
2017-08-17T00:00:00-06:00,2802.25 kWh
2017-08-18T00:00:00-06:00,3191.375 kWh
2017-08-19T00:00:00-06:00,3175.625 kWh
2017-08-20T00:00:00-06:00,3252.8125 kWh
2017-08-21T00:00:00-06:00,3164.4375 kWh
2017-08-22T00:00:00-06:00,3173.5 kWh
2017-08-23T00:00:00-06:00,3191.8125 kWh
2017-08-24T00:00:00-06:00,3052.8125 kWh
2017-08-25T00:00:00-06:00,3136.375 kWh
2017-08-26T00:00:00-06:00,3211.75 kWh
2017-08-27T00:00:00-06:00,3246.6875 kWh
2017-08-28T00:00:00-06:00,3264.0625 kWh
2017-08-29T00:00:00-06:00,3133.3125 kWh
2017-08-30T00:00:00-06:00,3205.6875 kWh
