Timestamp,['20767dcb-fdafe54f 0011-BROWNING BLDG Power Meter 300033 Current B']
2017-04-04T00:00:00-06:00,272.71603611537387 A
2017-04-05T00:00:00-06:00,338.18011379241943 A
2017-04-06T00:00:00-06:00,422.4763476053874 A
2017-04-07T00:00:00-06:00,539.7990392049154 A
2017-04-08T00:00:00-06:00,293.21431732177734 A
2017-04-09T00:00:00-06:00,252.48703702290854 A
2017-04-10T00:00:00-06:00,332.36368163426715 A
2017-04-11T00:00:00-06:00,392.5874810218811 A
2017-04-12T00:00:00-06:00,448.1106719970703 A
2017-04-13T00:00:00-06:00,496.6256529490153 A
2017-04-14T00:00:00-06:00,258.59231122334796 A
2017-04-15T00:00:00-06:00,293.7027359008789 A
2017-04-16T00:00:00-06:00,401.4293867746989 A
2017-04-17T00:00:00-06:00,544.3238728841146 A
2017-04-18T00:00:00-06:00,467.4429397583008 A
2017-04-19T00:00:00-06:00,353.4939920107524 A
2017-04-20T00:00:00-06:00,271.9785410563151 A
2017-04-21T00:00:00-06:00,257.0518078804016 A
2017-04-22T00:00:00-06:00,365.57337856292725 A
2017-04-23T00:00:00-06:00,416.4495628674825 A
2017-04-24T00:00:00-06:00,253.20422665278116 A
2017-04-25T00:00:00-06:00,259.0974423090617 A
2017-04-26T00:00:00-06:00,279.4467619260152 A
2017-04-27T00:00:00-06:00,261.03999948501587 A
2017-04-28T00:00:00-06:00,257.1763807932536 A
2017-04-29T00:00:00-06:00,249.83041985829672 A
2017-04-30T00:00:00-06:00,377.0108685493469 A
2017-05-01T00:00:00-06:00,414.60786628723145 A
2017-05-02T00:00:00-06:00,429.41437164942425 A
2017-05-03T00:00:00-06:00,421.58352915445965 A
2017-05-04T00:00:00-06:00,478.6612146695455 A
2017-05-05T00:00:00-06:00,560.8211571375529 A
2017-05-06T00:00:00-06:00,557.1328805287679 A
2017-05-07T00:00:00-06:00,548.0078522364298 A
2017-05-08T00:00:00-06:00,549.4276034037272 A
2017-05-09T00:00:00-06:00,569.3795925776163 A
2017-05-10T00:00:00-06:00,546.4027484258016 A
2017-05-11T00:00:00-06:00,559.492837270101 A
2017-05-12T00:00:00-06:00,578.5936431884766 A
2017-05-13T00:00:00-06:00,304.33940807978314 A
2017-05-14T00:00:00-06:00,392.15753078460693 A
2017-05-15T00:00:00-06:00,502.3005364735921 A
2017-05-16T00:00:00-06:00,435.5140027999878 A
2017-05-17T00:00:00-06:00,268.470495223999 A
2017-05-18T00:00:00-06:00,255.77330700556436 A
2017-05-19T00:00:00-06:00,328.8172936439514 A
2017-05-20T00:00:00-06:00,411.0740906397502 A
2017-05-21T00:00:00-06:00,468.67416524887085 A
2017-05-22T00:00:00-06:00,488.8944633801778 A
2017-05-23T00:00:00-06:00,553.4678411483765 A
2017-05-24T00:00:00-06:00,568.1846879323324 A
2017-05-25T00:00:00-06:00,541.0995006561279 A
2017-05-26T00:00:00-06:00,530.5169523557028 A
2017-05-27T00:00:00-06:00,416.6568600336711 A
2017-05-28T00:00:00-06:00,537.4832757247121 A
2017-05-29T00:00:00-06:00,552.0045820871989 A
2017-05-30T00:00:00-06:00,580.9293772379557 A
2017-05-31T00:00:00-06:00,579.4630966186523 A
2017-06-01T00:00:00-06:00,582.2130018870035 A
2017-06-02T00:00:00-06:00,563.0702129999796 A
2017-06-03T00:00:00-06:00,553.9273713429769 A
2017-06-04T00:00:00-06:00,563.6409708658854 A
2017-06-05T00:00:00-06:00,593.540459950765 A
2017-06-06T00:00:00-06:00,581.4335797627767 A
2017-06-07T00:00:00-06:00,591.7844041188558 A
2017-06-08T00:00:00-06:00,587.1313832600912 A
2017-06-09T00:00:00-06:00,580.1096776326498 A
2017-06-10T00:00:00-06:00,551.7056455612183 A
2017-06-11T00:00:00-06:00,556.3049802780151 A
2017-06-12T00:00:00-06:00,541.1607020696005 A
2017-06-13T00:00:00-06:00,392.7146806716919 A
2017-06-14T00:00:00-06:00,558.0234133402506 A
2017-06-15T00:00:00-06:00,578.1567796071371 A
2017-06-16T00:00:00-06:00,588.0375970204672 A
2017-06-17T00:00:00-06:00,572.8410447438558 A
2017-06-18T00:00:00-06:00,565.8062076568604 A
2017-06-19T00:00:00-06:00,593.7345066070557 A
2017-06-20T00:00:00-06:00,595.801965713501 A
2017-06-21T00:00:00-06:00,601.0172074635824 A
2017-06-22T00:00:00-06:00,593.3670647939047 A
2017-06-23T00:00:00-06:00,578.1861343383789 A
2017-06-24T00:00:00-06:00,558.9918568929037 A
2017-06-25T00:00:00-06:00,568.0040136973063 A
2017-06-26T00:00:00-06:00,590.2092558542887 A
2017-06-27T00:00:00-06:00,605.6018358866373 A
2017-06-28T00:00:00-06:00,566.928529103597 A
2017-06-29T00:00:00-06:00,579.9893595377604 A
2017-06-30T00:00:00-06:00,577.0902659098307 A
2017-07-01T00:00:00-06:00,554.9778792063395 A
2017-07-02T00:00:00-06:00,558.0781485239664 A
2017-07-03T00:00:00-06:00,577.1751934687296 A
2017-07-04T00:00:00-06:00,571.5338916778564 A
2017-07-05T00:00:00-06:00,581.9797999064127 A
2017-07-06T00:00:00-06:00,584.5452588399252 A
2017-07-07T00:00:00-06:00,584.1936422983805 A
2017-07-08T00:00:00-06:00,587.7097911834717 A
2017-07-09T00:00:00-06:00,559.5554143587748 A
2017-07-10T00:00:00-06:00,569.9671649932861 A
2017-07-11T00:00:00-06:00,614.6576760609945 A
2017-07-12T00:00:00-06:00,613.3831844329834 A
2017-07-13T00:00:00-06:00,600.8983618418375 A
2017-07-14T00:00:00-06:00,606.6898835500082 A
2017-07-15T00:00:00-06:00,599.7309061686198 A
2017-07-16T00:00:00-06:00,599.4356225331625 A
2017-07-17T00:00:00-06:00,620.6655203501383 A
2017-07-18T00:00:00-06:00,619.201634089152 A
2017-07-19T00:00:00-06:00,625.8792610168457 A
2017-07-20T00:00:00-06:00,616.2757441202799 A
2017-07-21T00:00:00-06:00,610.9594968159994 A
2017-07-22T00:00:00-06:00,587.7741394042969 A
2017-07-23T00:00:00-06:00,580.0628356933594 A
2017-07-24T00:00:00-06:00,588.398619333903 A
2017-07-25T00:00:00-06:00,619.3707358042399 A
2017-07-26T00:00:00-06:00,620.1673437754313 A
2017-07-27T00:00:00-06:00,596.5613927841187 A
2017-07-28T00:00:00-06:00,612.8502934773763 A
2017-07-29T00:00:00-06:00,588.8494790395101 A
2017-07-30T00:00:00-06:00,589.8267580668131 A
2017-07-31T00:00:00-06:00,617.6210880279541 A
2017-08-01T00:00:00-06:00,630.7187678019205 A
2017-08-02T00:00:00-06:00,619.0838133494059 A
2017-08-03T00:00:00-06:00,618.7825508117676 A
2017-08-04T00:00:00-06:00,624.1706080174708 A
2017-08-05T00:00:00-06:00,601.1776371002197 A
2017-08-06T00:00:00-06:00,579.0301138559977 A
2017-08-07T00:00:00-06:00,591.3999951680502 A
2017-08-08T00:00:00-06:00,591.0110359191895 A
2017-08-09T00:00:00-06:00,589.397076924642 A
2017-08-10T00:00:00-06:00,577.9407926518867 A
2017-08-11T00:00:00-06:00,596.5264173005756 A
2017-08-12T00:00:00-06:00,578.269139289856 A
2017-08-13T00:00:00-06:00,579.6762619018555 A
2017-08-14T00:00:00-06:00,582.9454263051351 A
2017-08-15T00:00:00-06:00,559.2262042363485 A
2017-08-16T00:00:00-06:00,563.1409196853638 A
2017-08-17T00:00:00-06:00,581.5096670786539 A
2017-08-18T00:00:00-06:00,580.988478978475 A
2017-08-19T00:00:00-06:00,566.4878616333008 A
2017-08-20T00:00:00-06:00,574.4485413233439 A
2017-08-21T00:00:00-06:00,588.8089243570963 A
2017-08-22T00:00:00-06:00,590.1452655792236 A
2017-08-23T00:00:00-06:00,589.9179763793945 A
2017-08-24T00:00:00-06:00,585.5482012430826 A
2017-08-25T00:00:00-06:00,592.4419673283895 A
2017-08-26T00:00:00-06:00,580.7433261871338 A
2017-08-27T00:00:00-06:00,580.0475276311239 A
2017-08-28T00:00:00-06:00,604.01171218708 A
2017-08-29T00:00:00-06:00,607.8430878013693 A
2017-08-30T00:00:00-06:00,622.1673844655355 A
2017-08-31T00:00:00-06:00,605.7046928405762 A
2017-09-01T00:00:00-06:00,595.2994925181071 A
2017-09-02T00:00:00-06:00,571.2230634689331 A
2017-09-03T00:00:00-06:00,579.3114388783773 A
2017-09-04T00:00:00-06:00,589.5210564931234 A
2017-09-05T00:00:00-06:00,619.0612157185873 A
2017-09-06T00:00:00-06:00,606.8454608917236 A
2017-09-07T00:00:00-06:00,612.754197438558 A
2017-09-08T00:00:00-06:00,598.1734387849507 A
2017-09-09T00:00:00-06:00,565.3739274342855 A
2017-09-10T00:00:00-06:00,563.6994142532349 A
2017-09-11T00:00:00-06:00,599.0017941792806 A
2017-09-12T00:00:00-06:00,602.0689462025961 A
2017-09-13T00:00:00-06:00,595.8233896891276 A
2017-09-14T00:00:00-06:00,564.3671245574951 A
2017-09-15T00:00:00-06:00,487.47226937611896 A
2017-09-16T00:00:00-06:00,408.49023723602295 A
2017-09-17T00:00:00-06:00,432.74753284454346 A
2017-09-18T00:00:00-06:00,555.7159865697225 A
2017-09-19T00:00:00-06:00,440.99216143290204 A
2017-09-20T00:00:00-06:00,431.9136225382487 A
2017-09-21T00:00:00-06:00,380.74206193288165 A
2017-09-22T00:00:00-06:00,300.27832953135174 A
2017-09-23T00:00:00-06:00,291.12708218892413 A
2017-09-24T00:00:00-06:00,295.4908504486084 A
2017-09-25T00:00:00-06:00,360.6457643508911 A
2017-09-26T00:00:00-06:00,421.0872818628947 A
2017-09-27T00:00:00-06:00,515.5138343175253 A
2017-09-28T00:00:00-06:00,530.8402579625448 A
2017-09-29T00:00:00-06:00,524.546999613444 A
2017-09-30T00:00:00-06:00,494.3475119272868 A
2017-10-01T00:00:00-06:00,327.10182189941406 A
2017-10-02T00:00:00-06:00,304.5043535232544 A
