Timestamp,['20767dd1-40de88af 0011-BROWNING BLDG Power Meter 300033 Current C']
2017-04-04T00:00:00-06:00,252.63914081028528 A
2017-04-05T00:00:00-06:00,315.596022605896 A
2017-04-06T00:00:00-06:00,398.35981766382855 A
2017-04-07T00:00:00-06:00,511.1412766774495 A
2017-04-08T00:00:00-06:00,272.36841917037964 A
2017-04-09T00:00:00-06:00,240.21216678619385 A
2017-04-10T00:00:00-06:00,314.71815458933514 A
2017-04-11T00:00:00-06:00,371.53220558166504 A
2017-04-12T00:00:00-06:00,426.01222880681354 A
2017-04-13T00:00:00-06:00,473.353355884552 A
2017-04-14T00:00:00-06:00,241.75045585632324 A
2017-04-15T00:00:00-06:00,274.3002128601074 A
2017-04-16T00:00:00-06:00,375.2005852063497 A
2017-04-17T00:00:00-06:00,512.7895081837972 A
2017-04-18T00:00:00-06:00,440.9615391095479 A
2017-04-19T00:00:00-06:00,332.34299437205 A
2017-04-20T00:00:00-06:00,252.9354658126831 A
2017-04-21T00:00:00-06:00,238.70377461115518 A
2017-04-22T00:00:00-06:00,341.6664129892985 A
2017-04-23T00:00:00-06:00,388.65609709421796 A
2017-04-24T00:00:00-06:00,236.83168760935465 A
2017-04-25T00:00:00-06:00,244.52254819869995 A
2017-04-26T00:00:00-06:00,264.3919695218404 A
2017-04-27T00:00:00-06:00,245.41140953699747 A
2017-04-28T00:00:00-06:00,247.25628312428793 A
2017-04-29T00:00:00-06:00,240.6340125401815 A
2017-04-30T00:00:00-06:00,361.1227539380391 A
2017-05-01T00:00:00-06:00,399.6114962895711 A
2017-05-02T00:00:00-06:00,410.5988572438558 A
2017-05-03T00:00:00-06:00,404.23949988683063 A
2017-05-04T00:00:00-06:00,458.3317042986552 A
2017-05-05T00:00:00-06:00,539.2768761316935 A
2017-05-06T00:00:00-06:00,537.9385763804117 A
2017-05-07T00:00:00-06:00,526.3833716710409 A
2017-05-08T00:00:00-06:00,525.6507342656454 A
2017-05-09T00:00:00-06:00,546.6262531280518 A
2017-05-10T00:00:00-06:00,525.3858582178751 A
2017-05-11T00:00:00-06:00,535.6955684026083 A
2017-05-12T00:00:00-06:00,552.9684801101685 A
2017-05-13T00:00:00-06:00,287.20541350046796 A
2017-05-14T00:00:00-06:00,371.0835041999817 A
2017-05-15T00:00:00-06:00,482.9549477895101 A
2017-05-16T00:00:00-06:00,414.0759240786235 A
2017-05-17T00:00:00-06:00,261.0976851781209 A
2017-05-18T00:00:00-06:00,244.46635882059732 A
2017-05-19T00:00:00-06:00,311.2303884824117 A
2017-05-20T00:00:00-06:00,389.3160978953044 A
2017-05-21T00:00:00-06:00,445.887464205424 A
2017-05-22T00:00:00-06:00,468.9307999610901 A
2017-05-23T00:00:00-06:00,536.6477530797323 A
2017-05-24T00:00:00-06:00,545.5586884816488 A
2017-05-25T00:00:00-06:00,518.9024527867635 A
2017-05-26T00:00:00-06:00,503.80527846018475 A
2017-05-27T00:00:00-06:00,393.447114944458 A
2017-05-28T00:00:00-06:00,510.32484837582234 A
2017-05-29T00:00:00-06:00,528.8173433939616 A
2017-05-30T00:00:00-06:00,556.26700369517 A
2017-05-31T00:00:00-06:00,557.7777856191 A
2017-06-01T00:00:00-06:00,558.419264793396 A
2017-06-02T00:00:00-06:00,542.3886334101359 A
2017-06-03T00:00:00-06:00,535.3908818562826 A
2017-06-04T00:00:00-06:00,546.4781030019125 A
2017-06-05T00:00:00-06:00,572.9576292037964 A
2017-06-06T00:00:00-06:00,564.1330153147379 A
2017-06-07T00:00:00-06:00,571.2001005808512 A
2017-06-08T00:00:00-06:00,565.9292532602946 A
2017-06-09T00:00:00-06:00,557.1174163818359 A
2017-06-10T00:00:00-06:00,522.9078114827474 A
2017-06-11T00:00:00-06:00,531.2993224461874 A
2017-06-12T00:00:00-06:00,517.8607907295227 A
2017-06-13T00:00:00-06:00,374.2984873453776 A
2017-06-14T00:00:00-06:00,533.6908953984579 A
2017-06-15T00:00:00-06:00,555.6878910064697 A
2017-06-16T00:00:00-06:00,564.3402633666992 A
2017-06-17T00:00:00-06:00,549.4536542892456 A
2017-06-18T00:00:00-06:00,544.531297047933 A
2017-06-19T00:00:00-06:00,568.5992298126221 A
2017-06-20T00:00:00-06:00,577.1621443430582 A
2017-06-21T00:00:00-06:00,581.3632157643636 A
2017-06-22T00:00:00-06:00,570.153158823649 A
2017-06-23T00:00:00-06:00,558.7278467814127 A
2017-06-24T00:00:00-06:00,543.8762003580729 A
2017-06-25T00:00:00-06:00,550.9326718648275 A
2017-06-26T00:00:00-06:00,568.9400831858317 A
2017-06-27T00:00:00-06:00,585.634417215983 A
2017-06-28T00:00:00-06:00,541.1911919911703 A
