Timestamp,"['20767e0f-d213dbb0 0011-BROWNING BLDG Power Meter 300033 W-hours, Received']"
2017-04-04T00:00:00-06:00,13.79998779296875 kWh
2017-04-05T00:00:00-06:00,0.52001953125 kWh
2017-04-06T00:00:00-06:00,1.52996826171875 kWh
2017-04-07T00:00:00-06:00,0 kWh
2017-04-08T00:00:00-06:00,0.8699951171875 kWh
2017-04-09T00:00:00-06:00,0 kWh
2017-04-10T00:00:00-06:00,0.5400390625 kWh
2017-04-11T00:00:00-06:00,0.719970703125 kWh
2017-04-12T00:00:00-06:00,0.78997802734375 kWh
2017-04-13T00:00:00-06:00,0.030029296875 kWh
2017-04-14T00:00:00-06:00,0.3900146484375 kWh
2017-04-15T00:00:00-06:00,0 kWh
2017-04-16T00:00:00-06:00,0 kWh
2017-04-17T00:00:00-06:00,3.29998779296875 kWh
2017-04-18T00:00:00-06:00,0.05999755859375 kWh
2017-04-19T00:00:00-06:00,3.260009765625 kWh
2017-04-20T00:00:00-06:00,17.16998291015625 kWh
2017-04-21T00:00:00-06:00,9.989990234375 kWh
2017-04-22T00:00:00-06:00,0 kWh
2017-04-23T00:00:00-06:00,0 kWh
2017-04-24T00:00:00-06:00,14.82000732421875 kWh
2017-04-25T00:00:00-06:00,3.57000732421875 kWh
2017-04-26T00:00:00-06:00,5.3900146484375 kWh
2017-04-27T00:00:00-06:00,12.9599609375 kWh
2017-04-28T00:00:00-06:00,1.1199951171875 kWh
2017-04-29T00:00:00-06:00,0 kWh
2017-04-30T00:00:00-06:00,0 kWh
2017-05-01T00:00:00-06:00,0.84002685546875 kWh
2017-05-02T00:00:00-06:00,10.3699951171875 kWh
2017-05-03T00:00:00-06:00,8.55999755859375 kWh
2017-05-04T00:00:00-06:00,12.8800048828125 kWh
2017-05-05T00:00:00-06:00,11.27001953125 kWh
2017-05-06T00:00:00-06:00,0 kWh
2017-05-07T00:00:00-06:00,0 kWh
2017-05-08T00:00:00-06:00,6.28997802734375 kWh
2017-05-09T00:00:00-06:00,0.260009765625 kWh
2017-05-10T00:00:00-06:00,0.07000732421875 kWh
2017-05-11T00:00:00-06:00,0.04998779296875 kWh
2017-05-12T00:00:00-06:00,1.54998779296875 kWh
2017-05-13T00:00:00-06:00,0 kWh
2017-05-14T00:00:00-06:00,0 kWh
2017-05-15T00:00:00-06:00,0 kWh
2017-05-16T00:00:00-06:00,0.10003662109375 kWh
2017-05-17T00:00:00-06:00,6.7099609375 kWh
2017-05-18T00:00:00-06:00,2.030029296875 kWh
2017-05-19T00:00:00-06:00,0.3800048828125 kWh
2017-05-20T00:00:00-06:00,0.010009765625 kWh
2017-05-21T00:00:00-06:00,0 kWh
2017-05-22T00:00:00-06:00,0.01995849609375 kWh
2017-05-23T00:00:00-06:00,2.4200439453125 kWh
2017-05-24T00:00:00-06:00,0.04998779296875 kWh
2017-05-25T00:00:00-06:00,0.04998779296875 kWh
2017-05-26T00:00:00-06:00,0 kWh
2017-05-27T00:00:00-06:00,0 kWh
2017-05-28T00:00:00-06:00,0 kWh
2017-05-29T00:00:00-06:00,0 kWh
2017-05-30T00:00:00-06:00,0 kWh
2017-05-31T00:00:00-06:00,0 kWh
2017-06-01T00:00:00-06:00,0 kWh
2017-06-02T00:00:00-06:00,0.010009765625 kWh
2017-06-03T00:00:00-06:00,0 kWh
2017-06-04T00:00:00-06:00,0 kWh
2017-06-05T00:00:00-06:00,0.04998779296875 kWh
2017-06-06T00:00:00-06:00,0 kWh
2017-06-07T00:00:00-06:00,0 kWh
2017-06-08T00:00:00-06:00,0.02001953125 kWh
2017-06-09T00:00:00-06:00,0 kWh
2017-06-10T00:00:00-06:00,0 kWh
2017-06-11T00:00:00-06:00,0 kWh
2017-06-12T00:00:00-06:00,0.1300048828125 kWh
2017-06-13T00:00:00-06:00,0.50994873046875 kWh
2017-06-14T00:00:00-06:00,0 kWh
2017-06-15T00:00:00-06:00,0 kWh
2017-06-16T00:00:00-06:00,0 kWh
2017-06-17T00:00:00-06:00,0 kWh
2017-06-18T00:00:00-06:00,0 kWh
2017-06-19T00:00:00-06:00,0 kWh
2017-06-20T00:00:00-06:00,0 kWh
2017-06-21T00:00:00-06:00,0 kWh
2017-06-22T00:00:00-06:00,0.010009765625 kWh
2017-06-23T00:00:00-06:00,0 kWh
2017-06-24T00:00:00-06:00,0 kWh
2017-06-25T00:00:00-06:00,0 kWh
2017-06-26T00:00:00-06:00,0 kWh
2017-06-27T00:00:00-06:00,0 kWh
2017-06-28T00:00:00-06:00,0 kWh
2017-06-29T00:00:00-06:00,0 kWh
2017-06-30T00:00:00-06:00,0 kWh
2017-07-01T00:00:00-06:00,0 kWh
2017-07-02T00:00:00-06:00,0 kWh
2017-07-03T00:00:00-06:00,0 kWh
2017-07-04T00:00:00-06:00,0 kWh
2017-07-05T00:00:00-06:00,0.010009765625 kWh
2017-07-06T00:00:00-06:00,0 kWh
2017-07-07T00:00:00-06:00,0 kWh
2017-07-08T00:00:00-06:00,0 kWh
2017-07-09T00:00:00-06:00,0 kWh
2017-07-10T00:00:00-06:00,0 kWh
2017-07-11T00:00:00-06:00,0 kWh
2017-07-12T00:00:00-06:00,0 kWh
2017-07-13T00:00:00-06:00,0 kWh
2017-07-14T00:00:00-06:00,0 kWh
2017-07-15T00:00:00-06:00,0 kWh
2017-07-16T00:00:00-06:00,0 kWh
2017-07-17T00:00:00-06:00,0 kWh
2017-07-18T00:00:00-06:00,0.1400146484375 kWh
2017-07-19T00:00:00-06:00,0.010009765625 kWh
2017-07-20T00:00:00-06:00,0 kWh
2017-07-21T00:00:00-06:00,0.05999755859375 kWh
2017-07-22T00:00:00-06:00,0 kWh
2017-07-23T00:00:00-06:00,0 kWh
2017-07-24T00:00:00-06:00,0 kWh
2017-07-25T00:00:00-06:00,0 kWh
2017-07-26T00:00:00-06:00,0.3499755859375 kWh
2017-07-27T00:00:00-06:00,0.3800048828125 kWh
2017-07-28T00:00:00-06:00,0.09002685546875 kWh
2017-07-29T00:00:00-06:00,0 kWh
2017-07-30T00:00:00-06:00,0 kWh
2017-07-31T00:00:00-06:00,0.0799560546875 kWh
2017-08-01T00:00:00-06:00,0.6500244140625 kWh
2017-08-02T00:00:00-06:00,0.1500244140625 kWh
2017-08-03T00:00:00-06:00,0.02996826171875 kWh
2017-08-04T00:00:00-06:00,0.03997802734375 kWh
2017-08-05T00:00:00-06:00,0 kWh
2017-08-06T00:00:00-06:00,0 kWh
2017-08-07T00:00:00-06:00,0.030029296875 kWh
2017-08-08T00:00:00-06:00,0.33001708984375 kWh
2017-08-09T00:00:00-06:00,0.25 kWh
2017-08-10T00:00:00-06:00,0.01995849609375 kWh
2017-08-11T00:00:00-06:00,0.010009765625 kWh
2017-08-12T00:00:00-06:00,0 kWh
2017-08-13T00:00:00-06:00,0 kWh
2017-08-14T00:00:00-06:00,0 kWh
2017-08-15T00:00:00-06:00,0 kWh
2017-08-16T00:00:00-06:00,0.34002685546875 kWh
2017-08-17T00:00:00-06:00,0.1199951171875 kWh
2017-08-18T00:00:00-06:00,2.0999755859375 kWh
2017-08-19T00:00:00-06:00,0.030029296875 kWh
2017-08-20T00:00:00-06:00,0.3599853515625 kWh
2017-08-21T00:00:00-06:00,0.010009765625 kWh
2017-08-22T00:00:00-06:00,0.20001220703125 kWh
2017-08-23T00:00:00-06:00,0.17999267578125 kWh
2017-08-24T00:00:00-06:00,0.510009765625 kWh
2017-08-25T00:00:00-06:00,1.5 kWh
2017-08-26T00:00:00-06:00,0 kWh
2017-08-27T00:00:00-06:00,0.00994873046875 kWh
2017-08-28T00:00:00-06:00,0.010009765625 kWh
2017-08-29T00:00:00-06:00,2.77001953125 kWh
2017-08-30T00:00:00-06:00,0.03997802734375 kWh
2017-08-31T00:00:00-06:00,0.02001953125 kWh
2017-09-01T00:00:00-06:00,0.03997802734375 kWh
2017-09-02T00:00:00-06:00,0 kWh
2017-09-03T00:00:00-06:00,0 kWh
2017-09-04T00:00:00-06:00,0 kWh
2017-09-05T00:00:00-06:00,2.94000244140625 kWh
2017-09-06T00:00:00-06:00,0.47003173828125 kWh
2017-09-07T00:00:00-06:00,0.70001220703125 kWh
2017-09-08T00:00:00-06:00,1.19000244140625 kWh
2017-09-09T00:00:00-06:00,0 kWh
2017-09-10T00:00:00-06:00,0 kWh
2017-09-11T00:00:00-06:00,0.16998291015625 kWh
2017-09-12T00:00:00-06:00,0.07000732421875 kWh
2017-09-13T00:00:00-06:00,0.13995361328125 kWh
2017-09-14T00:00:00-06:00,0.61004638671875 kWh
2017-09-15T00:00:00-06:00,0.0799560546875 kWh
2017-09-16T00:00:00-06:00,0 kWh
2017-09-17T00:00:00-06:00,0 kWh
2017-09-18T00:00:00-06:00,0.8699951171875 kWh
2017-09-19T00:00:00-06:00,0.6500244140625 kWh
2017-09-20T00:00:00-06:00,0.79998779296875 kWh
2017-09-21T00:00:00-06:00,3.10003662109375 kWh
2017-09-22T00:00:00-06:00,0.75 kWh
2017-09-23T00:00:00-06:00,0 kWh
2017-09-24T00:00:00-06:00,0 kWh
2017-09-25T00:00:00-06:00,0.02996826171875 kWh
2017-09-26T00:00:00-06:00,1.7900390625 kWh
2017-09-27T00:00:00-06:00,3.489990234375 kWh
2017-09-28T00:00:00-06:00,0.010009765625 kWh
2017-09-29T00:00:00-06:00,0.3399658203125 kWh
2017-09-30T00:00:00-06:00,0 kWh
2017-10-01T00:00:00-06:00,0 kWh
2017-10-02T00:00:00-06:00,0 kWh
2017-10-03T00:00:00-06:00,0.010009765625 kWh
2017-10-04T00:00:00-06:00,0 kWh
2017-10-05T00:00:00-06:00,0 kWh
2017-10-06T00:00:00-06:00,0.010009765625 kWh
2017-10-07T00:00:00-06:00,0 kWh
2017-10-08T00:00:00-06:00,0.010009765625 kWh
2017-10-09T00:00:00-06:00,0 kWh
2017-10-10T00:00:00-06:00,0 kWh
