Timestamp,"['20c1f039-8c0c40f5 0090-HUNTSMAN CNTR Power Meter 1(301447) W-hours, Received']"
2017-05-31T00:00:00-06:00,65 kWh
2017-06-01T00:00:00-06:00,262.4375 kWh
2017-06-02T00:00:00-06:00,201.125 kWh
2017-06-03T00:00:00-06:00,176.6875 kWh
2017-06-04T00:00:00-06:00,176.625 kWh
2017-06-05T00:00:00-06:00,181.9375 kWh
2017-06-06T00:00:00-06:00,201.5 kWh
2017-06-07T00:00:00-06:00,228.25 kWh
2017-06-08T00:00:00-06:00,183.125 kWh
2017-06-09T00:00:00-06:00,185.4375 kWh
2017-06-10T00:00:00-06:00,183.3125 kWh
2017-06-11T00:00:00-06:00,181.8125 kWh
2017-06-12T00:00:00-06:00,190.3125 kWh
2017-06-13T00:00:00-06:00,185.625 kWh
2017-06-14T00:00:00-06:00,181.375 kWh
2017-06-15T00:00:00-06:00,199.3125 kWh
2017-06-16T00:00:00-06:00,235.5625 kWh
2017-06-17T00:00:00-06:00,204.5625 kWh
2017-06-18T00:00:00-06:00,203.9375 kWh
2017-06-19T00:00:00-06:00,222.125 kWh
2017-06-20T00:00:00-06:00,210.9375 kWh
2017-06-21T00:00:00-06:00,208.375 kWh
2017-06-22T00:00:00-06:00,225.1875 kWh
2017-06-23T00:00:00-06:00,200.8125 kWh
2017-06-24T00:00:00-06:00,193.3125 kWh
2017-06-25T00:00:00-06:00,193.75 kWh
2017-06-26T00:00:00-06:00,202.6875 kWh
2017-06-27T00:00:00-06:00,198.3125 kWh
2017-06-28T00:00:00-06:00,200.4375 kWh
2017-06-29T00:00:00-06:00,204 kWh
2017-06-30T00:00:00-06:00,214.125 kWh
2017-07-01T00:00:00-06:00,203.125 kWh
2017-07-02T00:00:00-06:00,203.625 kWh
2017-07-03T00:00:00-06:00,345 kWh
2017-07-04T00:00:00-06:00,212.1875 kWh
2017-07-05T00:00:00-06:00,336.125 kWh
2017-07-06T00:00:00-06:00,350.1875 kWh
2017-07-07T00:00:00-06:00,210.75 kWh
2017-07-08T00:00:00-06:00,201.625 kWh
2017-07-09T00:00:00-06:00,197.9375 kWh
2017-07-10T00:00:00-06:00,204 kWh
2017-07-11T00:00:00-06:00,203.6875 kWh
2017-07-12T00:00:00-06:00,206.6875 kWh
2017-07-13T00:00:00-06:00,207.9375 kWh
2017-07-14T00:00:00-06:00,206.375 kWh
2017-07-15T00:00:00-06:00,196.1875 kWh
2017-07-16T00:00:00-06:00,196.4375 kWh
2017-07-17T00:00:00-06:00,206.6875 kWh
2017-07-18T00:00:00-06:00,211.25 kWh
2017-07-19T00:00:00-06:00,212.75 kWh
2017-07-20T00:00:00-06:00,207.9375 kWh
2017-07-21T00:00:00-06:00,206.9375 kWh
