Timestamp,"['20c1f09a-868a1c21 0090-HUNTSMAN CNTR Power Meter 2 (301448) W-hours, Received']"
2017-05-31T00:00:00-06:00,2097.5 kWh
2017-06-01T00:00:00-06:00,5470 kWh
2017-06-02T00:00:00-06:00,5225.8125 kWh
2017-06-03T00:00:00-06:00,4491.5 kWh
2017-06-04T00:00:00-06:00,4497.125 kWh
2017-06-05T00:00:00-06:00,5148.3125 kWh
2017-06-06T00:00:00-06:00,5320.125 kWh
2017-06-07T00:00:00-06:00,5255.375 kWh
2017-06-08T00:00:00-06:00,5580.9375 kWh
2017-06-09T00:00:00-06:00,5549.75 kWh
2017-06-10T00:00:00-06:00,5131 kWh
2017-06-11T00:00:00-06:00,4516.1875 kWh
2017-06-12T00:00:00-06:00,5131 kWh
2017-06-13T00:00:00-06:00,5282.625 kWh
2017-06-14T00:00:00-06:00,5384.0625 kWh
2017-06-15T00:00:00-06:00,5135.0625 kWh
2017-06-16T00:00:00-06:00,5122 kWh
2017-06-17T00:00:00-06:00,4865.0625 kWh
2017-06-18T00:00:00-06:00,5356.6875 kWh
2017-06-19T00:00:00-06:00,5427.125 kWh
2017-06-20T00:00:00-06:00,5368.125 kWh
2017-06-21T00:00:00-06:00,5309.5625 kWh
2017-06-22T00:00:00-06:00,5247.8125 kWh
2017-06-23T00:00:00-06:00,5165.625 kWh
2017-06-24T00:00:00-06:00,4586.625 kWh
2017-06-25T00:00:00-06:00,4585.4375 kWh
2017-06-26T00:00:00-06:00,5158.75 kWh
2017-06-27T00:00:00-06:00,5195.875 kWh
2017-06-28T00:00:00-06:00,5207.625 kWh
2017-06-29T00:00:00-06:00,5393.25 kWh
2017-06-30T00:00:00-06:00,5533.25 kWh
2017-07-01T00:00:00-06:00,4823.6875 kWh
2017-07-02T00:00:00-06:00,5087.9375 kWh
2017-07-03T00:00:00-06:00,6572.1875 kWh
2017-07-04T00:00:00-06:00,5470.75 kWh
2017-07-05T00:00:00-06:00,6645.125 kWh
2017-07-06T00:00:00-06:00,6718.6875 kWh
2017-07-07T00:00:00-06:00,5431.375 kWh
2017-07-08T00:00:00-06:00,5143.8125 kWh
2017-07-09T00:00:00-06:00,4994.0625 kWh
2017-07-10T00:00:00-06:00,5317.375 kWh
2017-07-11T00:00:00-06:00,5358.1875 kWh
2017-07-12T00:00:00-06:00,5320.125 kWh
2017-07-13T00:00:00-06:00,4357.0625 kWh
2017-07-14T00:00:00-06:00,5315.3125 kWh
2017-07-15T00:00:00-06:00,4732.125 kWh
2017-07-16T00:00:00-06:00,4719.1875 kWh
2017-07-17T00:00:00-06:00,5453.9375 kWh
2017-07-18T00:00:00-06:00,5260.0625 kWh
2017-07-19T00:00:00-06:00,5218.919921875 kWh
2017-07-20T00:00:00-06:00,5242.5 kWh
2017-07-21T00:00:00-06:00,5236.7705078125 kWh
2017-07-22T00:00:00-06:00,4740.8798828125 kWh
2017-07-23T00:00:00-06:00,4691.298828125 kWh
2017-07-24T00:00:00-06:00,4734.28125 kWh
2017-07-25T00:00:00-06:00,5459.658203125 kWh
2017-07-26T00:00:00-06:00,5258.1796875 kWh
2017-07-27T00:00:00-06:00,5368.41015625 kWh
2017-07-28T00:00:00-06:00,5422.11328125 kWh
2017-07-29T00:00:00-06:00,4709.08984375 kWh
2017-07-30T00:00:00-06:00,4799.4765625 kWh
2017-07-31T00:00:00-06:00,5352.25 kWh
2017-08-01T00:00:00-06:00,5170.6328125 kWh
2017-08-02T00:00:00-06:00,5316.765625 kWh
2017-08-03T00:00:00-06:00,5265.515625 kWh
2017-08-04T00:00:00-06:00,5254.8046875 kWh
2017-08-05T00:00:00-06:00,4746.8125 kWh
2017-08-06T00:00:00-06:00,4719.6640625 kWh
2017-08-07T00:00:00-06:00,5309.3046875 kWh
2017-08-08T00:00:00-06:00,5327.921875 kWh
2017-08-09T00:00:00-06:00,5310.3671875 kWh
2017-08-10T00:00:00-06:00,5269.2109375 kWh
2017-08-11T00:00:00-06:00,5302.9609375 kWh
2017-08-12T00:00:00-06:00,4721.09375 kWh
2017-08-13T00:00:00-06:00,4723.359375 kWh
2017-08-14T00:00:00-06:00,5306.3828125 kWh
2017-08-15T00:00:00-06:00,5278.109375 kWh
2017-08-16T00:00:00-06:00,5273.03125 kWh
2017-08-17T00:00:00-06:00,5455.453125 kWh
2017-08-18T00:00:00-06:00,5372.984375 kWh
2017-08-19T00:00:00-06:00,5257.5 kWh
2017-08-20T00:00:00-06:00,4883.046875 kWh
2017-08-21T00:00:00-06:00,5462.015625 kWh
2017-08-22T00:00:00-06:00,5333.390625 kWh
2017-08-23T00:00:00-06:00,5281.1875 kWh
2017-08-24T00:00:00-06:00,5252.65625 kWh
2017-08-25T00:00:00-06:00,5348.265625 kWh
2017-08-26T00:00:00-06:00,5212.4375 kWh
2017-08-27T00:00:00-06:00,5350.984375 kWh
2017-08-28T00:00:00-06:00,5274.40625 kWh
2017-08-29T00:00:00-06:00,5275.1875 kWh
2017-08-30T00:00:00-06:00,5299.5625 kWh
2017-08-31T00:00:00-06:00,5326.09375 kWh
2017-09-01T00:00:00-06:00,5109.765625 kWh
2017-09-02T00:00:00-06:00,4951.921875 kWh
2017-09-03T00:00:00-06:00,4785.078125 kWh
2017-09-04T00:00:00-06:00,4642.421875 kWh
2017-09-05T00:00:00-06:00,5262.640625 kWh
2017-09-06T00:00:00-06:00,5183.828125 kWh
2017-09-07T00:00:00-06:00,5361.734375 kWh
2017-09-08T00:00:00-06:00,5640.078125 kWh
2017-09-09T00:00:00-06:00,5734.0625 kWh
2017-09-10T00:00:00-06:00,4508.84375 kWh
2017-09-11T00:00:00-06:00,5112.09375 kWh
2017-09-12T00:00:00-06:00,5063.75 kWh
2017-09-13T00:00:00-06:00,5100.40625 kWh
2017-09-14T00:00:00-06:00,5960.125 kWh
2017-09-15T00:00:00-06:00,5242.96875 kWh
2017-09-16T00:00:00-06:00,5183.4375 kWh
2017-09-17T00:00:00-06:00,4878.5625 kWh
2017-09-18T00:00:00-06:00,5144.875 kWh
2017-09-19T00:00:00-06:00,5213.375 kWh
2017-09-20T00:00:00-06:00,5199.3125 kWh
2017-09-21T00:00:00-06:00,5262.6875 kWh
2017-09-22T00:00:00-06:00,6032.25 kWh
2017-09-23T00:00:00-06:00,5096.40625 kWh
2017-09-24T00:00:00-06:00,5747.53125 kWh
2017-09-25T00:00:00-06:00,5209.90625 kWh
2017-09-26T00:00:00-06:00,5302.9375 kWh
2017-09-27T00:00:00-06:00,5259.1875 kWh
2017-09-28T00:00:00-06:00,5310.59375 kWh
2017-09-29T00:00:00-06:00,5817.03125 kWh
2017-09-30T00:00:00-06:00,5939.8125 kWh
2017-10-01T00:00:00-06:00,4502.6875 kWh
2017-10-02T00:00:00-06:00,5588.46875 kWh
2017-10-03T00:00:00-06:00,5445.21875 kWh
2017-10-04T00:00:00-06:00,5484.8125 kWh
2017-10-05T00:00:00-06:00,5565.84375 kWh
2017-10-06T00:00:00-06:00,5722.4375 kWh
2017-10-07T00:00:00-06:00,5020.75 kWh
2017-10-08T00:00:00-06:00,5204.46875 kWh
2017-10-09T00:00:00-06:00,5629.1875 kWh
2017-10-10T00:00:00-06:00,5554.90625 kWh
2017-10-11T00:00:00-06:00,5522.9375 kWh
2017-10-12T00:00:00-06:00,5315.6875 kWh
2017-10-13T00:00:00-06:00,5789.25 kWh
2017-10-14T00:00:00-06:00,5712.21875 kWh
2017-10-15T00:00:00-06:00,6071.96875 kWh
2017-10-16T00:00:00-06:00,5824.625 kWh
2017-10-17T00:00:00-06:00,7440.4375 kWh
2017-10-18T00:00:00-06:00,6550.71875 kWh
2017-10-19T00:00:00-06:00,6184.65625 kWh
2017-10-20T00:00:00-06:00,6968.25 kWh
2017-10-21T00:00:00-06:00,6497.8125 kWh
2017-10-22T00:00:00-06:00,6213.71875 kWh
2017-10-23T00:00:00-06:00,5727.03125 kWh
2017-10-24T00:00:00-06:00,6010.40625 kWh
2017-10-25T00:00:00-06:00,5816.5625 kWh
2017-10-26T00:00:00-06:00,5660 kWh
2017-10-27T00:00:00-06:00,5857.375 kWh
