Timestamp,['20c99206-5fef69a6 0012-SUTTON BLDG POWER METER 480V (316601) Real Energy In']
2017-06-06T00:00:00-06:00,3919 kWh
2017-06-07T00:00:00-06:00,6721 kWh
2017-06-08T00:00:00-06:00,6627 kWh
2017-06-09T00:00:00-06:00,6448 kWh
2017-06-10T00:00:00-06:00,5917 kWh
2017-06-11T00:00:00-06:00,6052 kWh
2017-06-12T00:00:00-06:00,6166 kWh
2017-06-13T00:00:00-06:00,6063 kWh
2017-06-14T00:00:00-06:00,6183 kWh
2017-06-15T00:00:00-06:00,6344 kWh
2017-06-16T00:00:00-06:00,6491 kWh
2017-06-17T00:00:00-06:00,6146 kWh
2017-06-18T00:00:00-06:00,6012 kWh
2017-06-19T00:00:00-06:00,6571 kWh
2017-06-20T00:00:00-06:00,6908 kWh
2017-06-21T00:00:00-06:00,6996 kWh
2017-06-22T00:00:00-06:00,6484 kWh
2017-06-23T00:00:00-06:00,6261 kWh
2017-06-24T00:00:00-06:00,6006 kWh
2017-06-25T00:00:00-06:00,6279 kWh
2017-06-26T00:00:00-06:00,6994 kWh
2017-06-27T00:00:00-06:00,6651 kWh
2017-06-28T00:00:00-06:00,6591 kWh
2017-06-29T00:00:00-06:00,6354 kWh
2017-06-30T00:00:00-06:00,6350 kWh
2017-07-01T00:00:00-06:00,6153 kWh
2017-07-02T00:00:00-06:00,6404 kWh
2017-07-03T00:00:00-06:00,6813 kWh
2017-07-04T00:00:00-06:00,6836 kWh
2017-07-05T00:00:00-06:00,7333 kWh
2017-07-06T00:00:00-06:00,7322 kWh
2017-07-07T00:00:00-06:00,7401 kWh
2017-07-08T00:00:00-06:00,7067 kWh
2017-07-09T00:00:00-06:00,6876 kWh
2017-07-10T00:00:00-06:00,7377 kWh
2017-07-11T00:00:00-06:00,7254 kWh
2017-07-12T00:00:00-06:00,7012 kWh
2017-07-13T00:00:00-06:00,7041 kWh
2017-07-14T00:00:00-06:00,7051 kWh
2017-07-15T00:00:00-06:00,6763 kWh
2017-07-16T00:00:00-06:00,6858 kWh
2017-07-17T00:00:00-06:00,7318 kWh
