Timestamp,['20d43261-352d1aa0 0043-NAVAL SCIENCE BLDG Power Meter 300093 Current Phase A']
2017-06-14T00:00:00-06:00,14.040816326530612 A
2017-06-15T00:00:00-06:00,18.46875 A
2017-06-16T00:00:00-06:00,19.4375 A
2017-06-17T00:00:00-06:00,7.552083333333333 A
2017-06-18T00:00:00-06:00,7.3125 A
2017-06-19T00:00:00-06:00,27.677083333333332 A
2017-06-20T00:00:00-06:00,26.677083333333332 A
2017-06-21T00:00:00-06:00,19.541666666666668 A
2017-06-22T00:00:00-06:00,17.376344086021504 A
2017-06-23T00:00:00-06:00,16.760416666666668 A
2017-06-24T00:00:00-06:00,7.0625 A
2017-06-25T00:00:00-06:00,6.583333333333333 A
2017-06-26T00:00:00-06:00,18.90625 A
2017-06-27T00:00:00-06:00,17.8125 A
2017-06-28T00:00:00-06:00,17.458333333333332 A
2017-06-29T00:00:00-06:00,15.791666666666666 A
2017-06-30T00:00:00-06:00,17.09375 A
2017-07-01T00:00:00-06:00,10.210526315789474 A
2017-07-02T00:00:00-06:00,9.166666666666666 A
2017-07-03T00:00:00-06:00,12.302083333333334 A
2017-07-04T00:00:00-06:00,9.447916666666666 A
2017-07-05T00:00:00-06:00,19.145833333333332 A
2017-07-06T00:00:00-06:00,16.479166666666668 A
2017-07-07T00:00:00-06:00,16.09375 A
2017-07-08T00:00:00-06:00,7.114583333333333 A
2017-07-09T00:00:00-06:00,9.614583333333334 A
2017-07-10T00:00:00-06:00,26.510416666666668 A
2017-07-11T00:00:00-06:00,30.791666666666668 A
2017-07-12T00:00:00-06:00,25.589473684210525 A
2017-07-13T00:00:00-06:00,22.260416666666668 A
2017-07-14T00:00:00-06:00,15.25 A
2017-07-15T00:00:00-06:00,7.375 A
2017-07-16T00:00:00-06:00,7.020833333333333 A
2017-07-17T00:00:00-06:00,19.927083333333332 A
2017-07-18T00:00:00-06:00,22.8125 A
2017-07-19T00:00:00-06:00,21.6875 A
2017-07-20T00:00:00-06:00,21.5625 A
2017-07-21T00:00:00-06:00,23.604166666666668 A
2017-07-22T00:00:00-06:00,11.072916666666666 A
