Timestamp,['20d43261-53123845 0043-NAVAL SCIENCE BLDG Power Meter 300093 Current Phase C']
2017-06-14T00:00:00-06:00,28 A
2017-06-15T00:00:00-06:00,32.854166666666664 A
2017-06-16T00:00:00-06:00,30.385416666666668 A
2017-06-17T00:00:00-06:00,16.5 A
2017-06-18T00:00:00-06:00,17.34375 A
2017-06-19T00:00:00-06:00,31.020833333333332 A
2017-06-20T00:00:00-06:00,35.479166666666664 A
2017-06-21T00:00:00-06:00,38.270833333333336 A
2017-06-22T00:00:00-06:00,32.67741935483871 A
2017-06-23T00:00:00-06:00,32.697916666666664 A
2017-06-24T00:00:00-06:00,14.9375 A
2017-06-25T00:00:00-06:00,15.21875 A
2017-06-26T00:00:00-06:00,41.291666666666664 A
2017-06-27T00:00:00-06:00,40.65625 A
2017-06-28T00:00:00-06:00,40.989583333333336 A
2017-06-29T00:00:00-06:00,37.947916666666664 A
2017-06-30T00:00:00-06:00,36.989583333333336 A
2017-07-01T00:00:00-06:00,20.957894736842107 A
2017-07-02T00:00:00-06:00,21.583333333333332 A
2017-07-03T00:00:00-06:00,36.541666666666664 A
2017-07-04T00:00:00-06:00,31.90625 A
2017-07-05T00:00:00-06:00,46.791666666666664 A
2017-07-06T00:00:00-06:00,42.791666666666664 A
2017-07-07T00:00:00-06:00,39.635416666666664 A
2017-07-08T00:00:00-06:00,24.364583333333332 A
2017-07-09T00:00:00-06:00,29.479166666666668 A
2017-07-10T00:00:00-06:00,44.572916666666664 A
2017-07-11T00:00:00-06:00,49.052083333333336 A
2017-07-12T00:00:00-06:00,39.463157894736845 A
2017-07-13T00:00:00-06:00,33.5 A
2017-07-14T00:00:00-06:00,29.958333333333332 A
2017-07-15T00:00:00-06:00,23.010416666666668 A
2017-07-16T00:00:00-06:00,22.583333333333332 A
2017-07-17T00:00:00-06:00,38.958333333333336 A
2017-07-18T00:00:00-06:00,45.541666666666664 A
2017-07-19T00:00:00-06:00,42.65625 A
2017-07-20T00:00:00-06:00,39.104166666666664 A
2017-07-21T00:00:00-06:00,42 A
2017-07-22T00:00:00-06:00,24.427083333333332 A
2017-07-23T00:00:00-06:00,23.114583333333332 A
2017-07-24T00:00:00-06:00,23.25 A
2017-07-25T00:00:00-06:00,28.833333333333332 A
2017-07-26T00:00:00-06:00,34.5625 A
2017-07-27T00:00:00-06:00,39.75 A
2017-07-28T00:00:00-06:00,40.083333333333336 A
2017-07-29T00:00:00-06:00,22.197916666666668 A
2017-07-30T00:00:00-06:00,21.135416666666668 A
2017-07-31T00:00:00-06:00,34.354166666666664 A
2017-08-01T00:00:00-06:00,39.59375 A
2017-08-02T00:00:00-06:00,42.010416666666664 A
2017-08-03T00:00:00-06:00,37.333333333333336 A
2017-08-04T00:00:00-06:00,32.8021978021978 A
2017-08-05T00:00:00-06:00,15.072916666666666 A
2017-08-06T00:00:00-06:00,14.885416666666666 A
2017-08-07T00:00:00-06:00,28.88421052631579 A
2017-08-08T00:00:00-06:00,25.989583333333332 A
2017-08-09T00:00:00-06:00,30.979166666666668 A
2017-08-10T00:00:00-06:00,23.30851063829787 A
2017-08-11T00:00:00-06:00,19.926315789473684 A
2017-08-12T00:00:00-06:00,8.604166666666666 A
2017-08-13T00:00:00-06:00,8.4375 A
2017-08-14T00:00:00-06:00,21.041666666666668 A
2017-08-15T00:00:00-06:00,23.645833333333332 A
2017-08-16T00:00:00-06:00,25.26 A
2017-08-23T00:00:00-06:00,31.11627906976744 A
2017-08-24T00:00:00-06:00,33.322916666666664 A
2017-08-25T00:00:00-06:00,31.052083333333332 A
2017-08-26T00:00:00-06:00,15.510416666666666 A
2017-08-27T00:00:00-06:00,15.34375 A
2017-08-28T00:00:00-06:00,37.645161290322584 A
2017-08-29T00:00:00-06:00,54.55913978494624 A
2017-08-30T00:00:00-06:00,47.5625 A
2017-08-31T00:00:00-06:00,55.041666666666664 A
2017-09-01T00:00:00-06:00,35.416666666666664 A
2017-09-02T00:00:00-06:00,15.927083333333334 A
2017-09-03T00:00:00-06:00,15.645833333333334 A
2017-09-04T00:00:00-06:00,17.208333333333332 A
2017-09-05T00:00:00-06:00,45.510416666666664 A
2017-09-06T00:00:00-06:00,39.416666666666664 A
2017-09-07T00:00:00-06:00,51.166666666666664 A
2017-09-08T00:00:00-06:00,40.65263157894737 A
2017-09-09T00:00:00-06:00,21.510416666666668 A
2017-09-10T00:00:00-06:00,18.322916666666668 A
2017-09-11T00:00:00-06:00,37.770833333333336 A
