Timestamp,['20d43261-9d8c0deb 0043-NAVAL SCIENCE BLDG Power Meter 300093 Real Energy In']
2017-06-14T00:00:00-06:00,94.90625 kWh
2017-06-15T00:00:00-06:00,236.78125 kWh
2017-06-16T00:00:00-06:00,228.09375 kWh
2017-06-17T00:00:00-06:00,101.25 kWh
2017-06-18T00:00:00-06:00,99.75 kWh
2017-06-19T00:00:00-06:00,252.53125 kWh
2017-06-20T00:00:00-06:00,269.40625 kWh
2017-06-21T00:00:00-06:00,255.8125 kWh
2017-06-22T00:00:00-06:00,207.25 kWh
2017-06-23T00:00:00-06:00,220.4375 kWh
2017-06-24T00:00:00-06:00,93.5625 kWh
2017-06-25T00:00:00-06:00,89.65625 kWh
2017-06-26T00:00:00-06:00,267.375 kWh
2017-06-27T00:00:00-06:00,260.4375 kWh
2017-06-28T00:00:00-06:00,266.375 kWh
2017-06-29T00:00:00-06:00,242.65625 kWh
2017-06-30T00:00:00-06:00,222.21875 kWh
2017-07-01T00:00:00-06:00,112.6875 kWh
2017-07-02T00:00:00-06:00,110.0625 kWh
2017-07-03T00:00:00-06:00,185.6875 kWh
2017-07-04T00:00:00-06:00,139.40625 kWh
2017-07-05T00:00:00-06:00,270.5 kWh
2017-07-06T00:00:00-06:00,262.21875 kWh
2017-07-07T00:00:00-06:00,243.34375 kWh
2017-07-08T00:00:00-06:00,122.75 kWh
2017-07-09T00:00:00-06:00,148.78125 kWh
2017-07-10T00:00:00-06:00,302.9375 kWh
2017-07-11T00:00:00-06:00,336.84375 kWh
2017-07-12T00:00:00-06:00,264.28125 kWh
2017-07-13T00:00:00-06:00,219.4375 kWh
2017-07-14T00:00:00-06:00,180.03125 kWh
2017-07-15T00:00:00-06:00,109.53125 kWh
2017-07-16T00:00:00-06:00,105 kWh
2017-07-17T00:00:00-06:00,257.21875 kWh
2017-07-18T00:00:00-06:00,302.75 kWh
2017-07-19T00:00:00-06:00,292.46875 kWh
2017-07-20T00:00:00-06:00,266.28125 kWh
2017-07-21T00:00:00-06:00,264.375 kWh
2017-07-22T00:00:00-06:00,124.78125 kWh
2017-07-23T00:00:00-06:00,110.59375 kWh
2017-07-24T00:00:00-06:00,117.75 kWh
2017-07-25T00:00:00-06:00,214.53125 kWh
2017-07-26T00:00:00-06:00,240.28125 kWh
2017-07-27T00:00:00-06:00,306 kWh
2017-07-28T00:00:00-06:00,284.34375 kWh
2017-07-29T00:00:00-06:00,129.96875 kWh
2017-07-30T00:00:00-06:00,129.1875 kWh
2017-07-31T00:00:00-06:00,280.15625 kWh
2017-08-01T00:00:00-06:00,313.375 kWh
2017-08-02T00:00:00-06:00,278.53125 kWh
2017-08-03T00:00:00-06:00,275.15625 kWh
2017-08-04T00:00:00-06:00,232.6875 kWh
