Timestamp,['20d43261-c7dd7199 0043-NAVAL SCIENCE BLDG Power Meter 300093 Voltage A-B']
2017-06-14T00:00:00-06:00,212.6734693877551 V
2017-06-15T00:00:00-06:00,212.63541666666666 V
2017-06-16T00:00:00-06:00,212.5 V
2017-06-17T00:00:00-06:00,212.8125 V
2017-06-18T00:00:00-06:00,212.84375 V
2017-06-19T00:00:00-06:00,212.40625 V
2017-06-20T00:00:00-06:00,212.38541666666666 V
2017-06-21T00:00:00-06:00,212.41666666666666 V
2017-06-22T00:00:00-06:00,212.61290322580646 V
2017-06-23T00:00:00-06:00,212.57291666666666 V
2017-06-24T00:00:00-06:00,212.71875 V
2017-06-25T00:00:00-06:00,212.80208333333334 V
2017-06-26T00:00:00-06:00,212.5 V
2017-06-27T00:00:00-06:00,212.60416666666666 V
2017-06-28T00:00:00-06:00,212.48958333333334 V
2017-06-29T00:00:00-06:00,212.63541666666666 V
2017-06-30T00:00:00-06:00,212.47916666666666 V
2017-07-01T00:00:00-06:00,212.66315789473686 V
2017-07-02T00:00:00-06:00,212.69791666666666 V
2017-07-03T00:00:00-06:00,212.5 V
2017-07-04T00:00:00-06:00,212.79166666666666 V
2017-07-05T00:00:00-06:00,212.61458333333334 V
2017-07-06T00:00:00-06:00,212.57291666666666 V
2017-07-07T00:00:00-06:00,212.5 V
2017-07-08T00:00:00-06:00,212.53125 V
2017-07-09T00:00:00-06:00,212.55208333333334 V
2017-07-10T00:00:00-06:00,212.32291666666666 V
2017-07-11T00:00:00-06:00,212.42708333333334 V
2017-07-12T00:00:00-06:00,212.45263157894738 V
2017-07-13T00:00:00-06:00,212.71875 V
2017-07-14T00:00:00-06:00,212.57291666666666 V
2017-07-15T00:00:00-06:00,212.63541666666666 V
2017-07-16T00:00:00-06:00,212.57291666666666 V
2017-07-17T00:00:00-06:00,212.41666666666666 V
2017-07-18T00:00:00-06:00,212.42708333333334 V
2017-07-19T00:00:00-06:00,212.54166666666666 V
2017-07-20T00:00:00-06:00,212.40625 V
2017-07-21T00:00:00-06:00,212.3125 V
2017-07-22T00:00:00-06:00,212.46875 V
2017-07-23T00:00:00-06:00,212.6875 V
2017-07-24T00:00:00-06:00,212.72916666666666 V
2017-07-25T00:00:00-06:00,212.51041666666666 V
2017-07-26T00:00:00-06:00,212.1875 V
2017-07-27T00:00:00-06:00,212.40625 V
2017-07-28T00:00:00-06:00,212.22916666666666 V
2017-07-29T00:00:00-06:00,212.42708333333334 V
2017-07-30T00:00:00-06:00,212.46875 V
2017-07-31T00:00:00-06:00,212.40625 V
2017-08-01T00:00:00-06:00,212.47916666666666 V
2017-08-02T00:00:00-06:00,212.32291666666666 V
2017-08-03T00:00:00-06:00,212.25 V
2017-08-04T00:00:00-06:00,212.25274725274724 V
2017-08-05T00:00:00-06:00,212.54166666666666 V
2017-08-06T00:00:00-06:00,212.55208333333334 V
2017-08-07T00:00:00-06:00,212.2842105263158 V
2017-08-08T00:00:00-06:00,212.35416666666666 V
2017-08-09T00:00:00-06:00,212.17708333333334 V
2017-08-10T00:00:00-06:00,212.14893617021278 V
2017-08-11T00:00:00-06:00,212.37894736842105 V
2017-08-12T00:00:00-06:00,212.47916666666666 V
2017-08-13T00:00:00-06:00,212.53125 V
2017-08-14T00:00:00-06:00,212.44791666666666 V
2017-08-15T00:00:00-06:00,212.45833333333334 V
2017-08-16T00:00:00-06:00,212.42 V
2017-08-23T00:00:00-06:00,212.48837209302326 V
2017-08-24T00:00:00-06:00,212.19791666666666 V
2017-08-25T00:00:00-06:00,212.3125 V
2017-08-26T00:00:00-06:00,212.32291666666666 V
2017-08-27T00:00:00-06:00,212.45833333333334 V
2017-08-28T00:00:00-06:00,212.08695652173913 V
2017-08-29T00:00:00-06:00,211.58064516129033 V
2017-08-30T00:00:00-06:00,211.66666666666666 V
2017-08-31T00:00:00-06:00,212.03125 V
2017-09-01T00:00:00-06:00,212.19791666666666 V
2017-09-02T00:00:00-06:00,212.30208333333334 V
2017-09-03T00:00:00-06:00,212.45833333333334 V
2017-09-04T00:00:00-06:00,212.17708333333334 V
2017-09-05T00:00:00-06:00,211.84375 V
2017-09-06T00:00:00-06:00,212.10416666666666 V
