Timestamp,['20d43261-ce0fae42 0043-NAVAL SCIENCE BLDG Power Meter 300093 Current Phase B']
2017-06-14T00:00:00-06:00,24.877551020408163 A
2017-06-15T00:00:00-06:00,31.333333333333332 A
2017-06-16T00:00:00-06:00,30.125 A
2017-06-17T00:00:00-06:00,12.625 A
2017-06-18T00:00:00-06:00,12.041666666666666 A
2017-06-19T00:00:00-06:00,30.239583333333332 A
2017-06-20T00:00:00-06:00,34.802083333333336 A
2017-06-21T00:00:00-06:00,33.03125 A
2017-06-22T00:00:00-06:00,27.161290322580644 A
2017-06-23T00:00:00-06:00,28.729166666666668 A
2017-06-24T00:00:00-06:00,13.1875 A
2017-06-25T00:00:00-06:00,11.791666666666666 A
2017-06-26T00:00:00-06:00,34.0625 A
2017-06-27T00:00:00-06:00,32.78125 A
2017-06-28T00:00:00-06:00,36.395833333333336 A
2017-06-29T00:00:00-06:00,34.166666666666664 A
2017-06-30T00:00:00-06:00,25.166666666666668 A
2017-07-01T00:00:00-06:00,10.526315789473685 A
2017-07-02T00:00:00-06:00,9.729166666666666 A
2017-07-03T00:00:00-06:00,19.28125 A
2017-07-04T00:00:00-06:00,10.59375 A
2017-07-05T00:00:00-06:00,30.614583333333332 A
2017-07-06T00:00:00-06:00,33.729166666666664 A
2017-07-07T00:00:00-06:00,31.104166666666668 A
2017-07-08T00:00:00-06:00,13.90625 A
2017-07-09T00:00:00-06:00,14.302083333333334 A
2017-07-10T00:00:00-06:00,36.96875 A
2017-07-11T00:00:00-06:00,39.4375 A
2017-07-12T00:00:00-06:00,30.51578947368421 A
2017-07-13T00:00:00-06:00,22.364583333333332 A
2017-07-14T00:00:00-06:00,19.541666666666668 A
2017-07-15T00:00:00-06:00,10.208333333333334 A
2017-07-16T00:00:00-06:00,8.71875 A
2017-07-17T00:00:00-06:00,33.302083333333336 A
2017-07-18T00:00:00-06:00,39.65625 A
2017-07-19T00:00:00-06:00,40.0625 A
2017-07-20T00:00:00-06:00,34.40625 A
2017-07-21T00:00:00-06:00,28.479166666666668 A
2017-07-22T00:00:00-06:00,10.854166666666666 A
2017-07-23T00:00:00-06:00,10.322916666666666 A
2017-07-24T00:00:00-06:00,11.90625 A
2017-07-25T00:00:00-06:00,30.447916666666668 A
2017-07-26T00:00:00-06:00,28.302083333333332 A
2017-07-27T00:00:00-06:00,35.333333333333336 A
2017-07-28T00:00:00-06:00,32.104166666666664 A
2017-07-29T00:00:00-06:00,10.604166666666666 A
2017-07-30T00:00:00-06:00,9.1875 A
2017-07-31T00:00:00-06:00,34.333333333333336 A
2017-08-01T00:00:00-06:00,37.697916666666664 A
2017-08-02T00:00:00-06:00,35.8125 A
2017-08-03T00:00:00-06:00,34.635416666666664 A
2017-08-04T00:00:00-06:00,24.395604395604394 A
2017-08-05T00:00:00-06:00,12.59375 A
2017-08-06T00:00:00-06:00,11.041666666666666 A
2017-08-07T00:00:00-06:00,33 A
2017-08-08T00:00:00-06:00,29.09375 A
2017-08-09T00:00:00-06:00,27.104166666666668 A
2017-08-10T00:00:00-06:00,33 A
2017-08-11T00:00:00-06:00,27.157894736842106 A
2017-08-12T00:00:00-06:00,11.916666666666666 A
2017-08-13T00:00:00-06:00,12.40625 A
2017-08-14T00:00:00-06:00,33.229166666666664 A
2017-08-15T00:00:00-06:00,37.635416666666664 A
2017-08-16T00:00:00-06:00,40.6 A
2017-08-23T00:00:00-06:00,47.30232558139535 A
2017-08-24T00:00:00-06:00,50.375 A
2017-08-25T00:00:00-06:00,44.947916666666664 A
2017-08-26T00:00:00-06:00,20.145833333333332 A
2017-08-27T00:00:00-06:00,17.166666666666668 A
2017-08-28T00:00:00-06:00,51.935483870967744 A
2017-08-29T00:00:00-06:00,61.86021505376344 A
2017-08-30T00:00:00-06:00,60.364583333333336 A
2017-08-31T00:00:00-06:00,60.802083333333336 A
2017-09-01T00:00:00-06:00,40.947916666666664 A
2017-09-02T00:00:00-06:00,14.104166666666666 A
2017-09-03T00:00:00-06:00,12.979166666666666 A
2017-09-04T00:00:00-06:00,14.770833333333334 A
2017-09-05T00:00:00-06:00,53.864583333333336 A
2017-09-06T00:00:00-06:00,48.739583333333336 A
2017-09-07T00:00:00-06:00,73.71875 A
2017-09-08T00:00:00-06:00,42.48421052631579 A
2017-09-09T00:00:00-06:00,13.041666666666666 A
2017-09-10T00:00:00-06:00,11.760416666666666 A
2017-09-11T00:00:00-06:00,46.15625 A
2017-09-12T00:00:00-06:00,46.46875 A
2017-09-13T00:00:00-06:00,45.239583333333336 A
2017-09-14T00:00:00-06:00,45.302083333333336 A
2017-09-15T00:00:00-06:00,32.875 A
2017-09-16T00:00:00-06:00,27.875 A
2017-09-17T00:00:00-06:00,14.895833333333334 A
2017-09-18T00:00:00-06:00,33.104166666666664 A
2017-09-19T00:00:00-06:00,40.447916666666664 A
2017-09-20T00:00:00-06:00,30.6875 A
2017-09-21T00:00:00-06:00,31.1875 A
2017-09-22T00:00:00-06:00,29.625 A
2017-09-23T00:00:00-06:00,16.75 A
2017-09-24T00:00:00-06:00,15.072916666666666 A
2017-09-25T00:00:00-06:00,37.541666666666664 A
2017-09-26T00:00:00-06:00,40.104166666666664 A
2017-09-27T00:00:00-06:00,33.947916666666664 A
2017-09-28T00:00:00-06:00,36.78125 A
2017-09-29T00:00:00-06:00,29.541666666666668 A
2017-09-30T00:00:00-06:00,21.802083333333332 A
2017-10-01T00:00:00-06:00,13.40625 A
2017-10-02T00:00:00-06:00,38.635416666666664 A
2017-10-03T00:00:00-06:00,44.895833333333336 A
2017-10-04T00:00:00-06:00,37.604166666666664 A
2017-10-05T00:00:00-06:00,38.822916666666664 A
2017-10-06T00:00:00-06:00,30.09375 A
2017-10-07T00:00:00-06:00,13.895833333333334 A
2017-10-08T00:00:00-06:00,15.59375 A
2017-10-09T00:00:00-06:00,27.885416666666668 A
2017-10-10T00:00:00-06:00,26.979166666666668 A
2017-10-11T00:00:00-06:00,30.041666666666668 A
2017-10-12T00:00:00-06:00,31.822916666666668 A
2017-10-13T00:00:00-06:00,29.59375 A
2017-10-14T00:00:00-06:00,17.65625 A
2017-10-15T00:00:00-06:00,13.34375 A
2017-10-16T00:00:00-06:00,34.1875 A
2017-10-17T00:00:00-06:00,33.875 A
2017-10-18T00:00:00-06:00,34.604166666666664 A
2017-10-19T00:00:00-06:00,33.989583333333336 A
2017-10-20T00:00:00-06:00,33.260416666666664 A
2017-10-21T00:00:00-06:00,19.40625 A
2017-10-22T00:00:00-06:00,18.53125 A
2017-10-23T00:00:00-06:00,33.114583333333336 A
2017-10-24T00:00:00-06:00,37.666666666666664 A
2017-10-25T00:00:00-06:00,35.447916666666664 A
2017-10-26T00:00:00-06:00,39.354166666666664 A
2017-10-27T00:00:00-06:00,27.822916666666668 A
2017-10-28T00:00:00-06:00,21 A
2017-10-29T00:00:00-06:00,18.333333333333332 A
2017-10-30T00:00:00-06:00,32.84375 A
2017-10-31T00:00:00-06:00,26.697916666666668 A
2017-11-01T00:00:00-06:00,32.447916666666664 A
2017-11-02T00:00:00-06:00,31.447916666666668 A
2017-11-03T00:00:00-06:00,34.427083333333336 A
2017-11-04T00:00:00-06:00,26.53125 A
2017-11-05T00:00:00-06:00,13.19 A
2017-11-06T00:00:00-07:00,34.90625 A
2017-11-07T00:00:00-07:00,32.4375 A
2017-11-08T00:00:00-07:00,30.15625 A
2017-11-09T00:00:00-07:00,30.833333333333332 A
2017-11-10T00:00:00-07:00,26.270833333333332 A
2017-11-11T00:00:00-07:00,13.833333333333334 A
2017-11-12T00:00:00-07:00,13.864583333333334 A
2017-11-13T00:00:00-07:00,31.84375 A
2017-11-14T00:00:00-07:00,36.302083333333336 A
2017-11-15T00:00:00-07:00,32.270833333333336 A
2017-11-16T00:00:00-07:00,29.916666666666668 A
2017-11-17T00:00:00-07:00,27.729166666666668 A
2017-11-18T00:00:00-07:00,13.78125 A
2017-11-19T00:00:00-07:00,14.354166666666666 A
2017-11-20T00:00:00-07:00,28.572916666666668 A
2017-11-21T00:00:00-07:00,34.145833333333336 A
2017-11-22T00:00:00-07:00,34.1875 A
2017-11-23T00:00:00-07:00,15.21875 A
2017-11-24T00:00:00-07:00,15.010416666666666 A
2017-11-25T00:00:00-07:00,15.5625 A
2017-11-26T00:00:00-07:00,17.270833333333332 A
2017-11-27T00:00:00-07:00,30.6875 A
2017-11-28T00:00:00-07:00,37.229166666666664 A
2017-11-29T00:00:00-07:00,36.4375 A
2017-11-30T00:00:00-07:00,35.916666666666664 A
2017-12-01T00:00:00-07:00,30.729166666666668 A
2017-12-02T00:00:00-07:00,15 A
2017-12-03T00:00:00-07:00,17 A
2017-12-04T00:00:00-07:00,33.645833333333336 A
2017-12-05T00:00:00-07:00,34.947916666666664 A
2017-12-06T00:00:00-07:00,32.03125 A
2017-12-07T00:00:00-07:00,34.489583333333336 A
2017-12-08T00:00:00-07:00,35.708333333333336 A
2017-12-09T00:00:00-07:00,24.625 A
2017-12-10T00:00:00-07:00,25.010416666666668 A
2017-12-11T00:00:00-07:00,36.510416666666664 A
2017-12-12T00:00:00-07:00,36.489583333333336 A
2017-12-13T00:00:00-07:00,40.333333333333336 A
2017-12-14T00:00:00-07:00,35.9375 A
2017-12-15T00:00:00-07:00,31.072916666666668 A
2017-12-16T00:00:00-07:00,21.947916666666668 A
2017-12-17T00:00:00-07:00,20.0625 A
