Timestamp,['20d43261-de0188e0 0043-NAVAL SCIENCE BLDG Power Meter 300093 Real Power Total']
2017-06-14T00:00:00-06:00,19 kW
2017-06-15T00:00:00-06:00,22 kW
2017-06-16T00:00:00-06:00,22 kW
2017-06-17T00:00:00-06:00,11 kW
2017-06-18T00:00:00-06:00,11 kW
2017-06-19T00:00:00-06:00,28 kW
2017-06-20T00:00:00-06:00,24 kW
2017-06-21T00:00:00-06:00,21 kW
2017-06-22T00:00:00-06:00,22 kW
2017-06-23T00:00:00-06:00,25 kW
2017-06-24T00:00:00-06:00,7 kW
2017-06-25T00:00:00-06:00,13 kW
2017-06-26T00:00:00-06:00,24 kW
2017-06-27T00:00:00-06:00,22 kW
2017-06-28T00:00:00-06:00,21 kW
2017-06-29T00:00:00-06:00,25 kW
2017-06-30T00:00:00-06:00,19 kW
2017-07-01T00:00:00-06:00,15 kW
2017-07-02T00:00:00-06:00,10 kW
2017-07-03T00:00:00-06:00,20 kW
2017-07-04T00:00:00-06:00,14 kW
2017-07-05T00:00:00-06:00,32 kW
2017-07-06T00:00:00-06:00,22 kW
2017-07-07T00:00:00-06:00,21 kW
2017-07-08T00:00:00-06:00,9 kW
2017-07-09T00:00:00-06:00,13 kW
2017-07-10T00:00:00-06:00,25 kW
2017-07-11T00:00:00-06:00,26 kW
2017-07-12T00:00:00-06:00,22 kW
2017-07-13T00:00:00-06:00,21 kW
2017-07-14T00:00:00-06:00,16 kW
2017-07-15T00:00:00-06:00,9 kW
2017-07-16T00:00:00-06:00,6 kW
2017-07-17T00:00:00-06:00,23 kW
2017-07-18T00:00:00-06:00,23 kW
2017-07-19T00:00:00-06:00,24 kW
2017-07-20T00:00:00-06:00,24 kW
2017-07-21T00:00:00-06:00,24 kW
2017-07-22T00:00:00-06:00,14 kW
2017-07-23T00:00:00-06:00,7 kW
2017-07-24T00:00:00-06:00,9 kW
2017-07-25T00:00:00-06:00,19 kW
2017-07-26T00:00:00-06:00,21 kW
2017-07-27T00:00:00-06:00,25 kW
2017-07-28T00:00:00-06:00,24 kW
2017-07-29T00:00:00-06:00,10 kW
2017-07-30T00:00:00-06:00,8 kW
2017-07-31T00:00:00-06:00,25 kW
2017-08-01T00:00:00-06:00,27 kW
2017-08-02T00:00:00-06:00,23 kW
2017-08-03T00:00:00-06:00,23 kW
2017-08-04T00:00:00-06:00,22 kW
2017-08-05T00:00:00-06:00,8 kW
2017-08-06T00:00:00-06:00,7 kW
2017-08-07T00:00:00-06:00,19 kW
2017-08-08T00:00:00-06:00,19 kW
2017-08-09T00:00:00-06:00,25 kW
2017-08-10T00:00:00-06:00,24 kW
2017-08-11T00:00:00-06:00,22 kW
2017-08-12T00:00:00-06:00,10 kW
2017-08-13T00:00:00-06:00,10 kW
2017-08-14T00:00:00-06:00,26 kW
2017-08-15T00:00:00-06:00,27 kW
2017-08-16T00:00:00-06:00,28 kW
2017-08-23T00:00:00-06:00,31 kW
2017-08-24T00:00:00-06:00,37 kW
2017-08-25T00:00:00-06:00,32 kW
2017-08-26T00:00:00-06:00,12 kW
2017-08-27T00:00:00-06:00,10 kW
2017-08-28T00:00:00-06:00,40 kW
2017-08-29T00:00:00-06:00,46 kW
2017-08-30T00:00:00-06:00,39 kW
2017-08-31T00:00:00-06:00,46 kW
2017-09-01T00:00:00-06:00,35 kW
2017-09-02T00:00:00-06:00,12 kW
2017-09-03T00:00:00-06:00,11 kW
2017-09-04T00:00:00-06:00,12 kW
2017-09-05T00:00:00-06:00,38 kW
2017-09-06T00:00:00-06:00,41 kW
2017-09-07T00:00:00-06:00,50 kW
2017-09-08T00:00:00-06:00,33 kW
2017-09-09T00:00:00-06:00,16 kW
2017-09-10T00:00:00-06:00,15 kW
2017-09-11T00:00:00-06:00,47 kW
2017-09-12T00:00:00-06:00,40 kW
2017-09-13T00:00:00-06:00,36 kW
2017-09-14T00:00:00-06:00,35 kW
2017-09-15T00:00:00-06:00,19 kW
2017-09-16T00:00:00-06:00,17 kW
2017-09-17T00:00:00-06:00,10 kW
2017-09-18T00:00:00-06:00,21 kW
2017-09-19T00:00:00-06:00,28 kW
2017-09-20T00:00:00-06:00,20 kW
2017-09-21T00:00:00-06:00,24 kW
2017-09-22T00:00:00-06:00,23 kW
2017-09-23T00:00:00-06:00,12 kW
2017-09-24T00:00:00-06:00,12 kW
2017-09-25T00:00:00-06:00,31 kW
2017-09-26T00:00:00-06:00,27 kW
2017-09-27T00:00:00-06:00,26 kW
2017-09-28T00:00:00-06:00,24 kW
2017-09-29T00:00:00-06:00,25 kW
2017-09-30T00:00:00-06:00,14 kW
2017-10-01T00:00:00-06:00,10 kW
2017-10-02T00:00:00-06:00,25 kW
2017-10-03T00:00:00-06:00,28 kW
2017-10-04T00:00:00-06:00,21 kW
2017-10-05T00:00:00-06:00,27 kW
2017-10-06T00:00:00-06:00,20 kW
2017-10-07T00:00:00-06:00,10 kW
2017-10-08T00:00:00-06:00,9 kW
2017-10-09T00:00:00-06:00,20 kW
2017-10-10T00:00:00-06:00,17 kW
2017-10-11T00:00:00-06:00,18 kW
2017-10-12T00:00:00-06:00,22 kW
2017-10-13T00:00:00-06:00,17 kW
2017-10-14T00:00:00-06:00,11 kW
2017-10-15T00:00:00-06:00,9 kW
2017-10-16T00:00:00-06:00,24 kW
2017-10-17T00:00:00-06:00,23 kW
2017-10-18T00:00:00-06:00,22 kW
2017-10-19T00:00:00-06:00,20 kW
2017-10-20T00:00:00-06:00,22 kW
2017-10-21T00:00:00-06:00,10 kW
2017-10-22T00:00:00-06:00,11 kW
2017-10-23T00:00:00-06:00,22 kW
2017-10-24T00:00:00-06:00,23 kW
2017-10-25T00:00:00-06:00,21 kW
2017-10-26T00:00:00-06:00,27 kW
2017-10-27T00:00:00-06:00,25 kW
2017-10-28T00:00:00-06:00,13 kW
2017-10-29T00:00:00-06:00,9 kW
2017-10-30T00:00:00-06:00,20 kW
2017-10-31T00:00:00-06:00,19 kW
2017-11-01T00:00:00-06:00,19 kW
2017-11-02T00:00:00-06:00,20 kW
2017-11-03T00:00:00-06:00,20 kW
2017-11-04T00:00:00-06:00,14 kW
2017-11-05T00:00:00-06:00,9 kW
2017-11-06T00:00:00-07:00,33 kW
2017-11-07T00:00:00-07:00,22 kW
2017-11-08T00:00:00-07:00,26 kW
2017-11-09T00:00:00-07:00,25 kW
2017-11-10T00:00:00-07:00,20 kW
2017-11-11T00:00:00-07:00,11 kW
2017-11-12T00:00:00-07:00,10 kW
2017-11-13T00:00:00-07:00,23 kW
2017-11-14T00:00:00-07:00,22 kW
2017-11-15T00:00:00-07:00,26 kW
2017-11-16T00:00:00-07:00,19 kW
2017-11-17T00:00:00-07:00,23 kW
2017-11-18T00:00:00-07:00,14 kW
2017-11-19T00:00:00-07:00,10 kW
2017-11-20T00:00:00-07:00,21 kW
2017-11-21T00:00:00-07:00,24 kW
2017-11-22T00:00:00-07:00,23 kW
2017-11-23T00:00:00-07:00,9 kW
2017-11-24T00:00:00-07:00,10 kW
2017-11-25T00:00:00-07:00,10 kW
2017-11-26T00:00:00-07:00,13 kW
2017-11-27T00:00:00-07:00,23 kW
2017-11-28T00:00:00-07:00,28 kW
2017-11-29T00:00:00-07:00,23 kW
2017-11-30T00:00:00-07:00,23 kW
2017-12-01T00:00:00-07:00,25 kW
2017-12-02T00:00:00-07:00,10 kW
2017-12-03T00:00:00-07:00,12 kW
2017-12-04T00:00:00-07:00,24 kW
2017-12-05T00:00:00-07:00,22 kW
2017-12-06T00:00:00-07:00,22 kW
2017-12-07T00:00:00-07:00,23 kW
2017-12-08T00:00:00-07:00,25 kW
2017-12-09T00:00:00-07:00,13 kW
2017-12-10T00:00:00-07:00,11 kW
2017-12-11T00:00:00-07:00,20 kW
2017-12-12T00:00:00-07:00,23 kW
2017-12-13T00:00:00-07:00,22 kW
2017-12-14T00:00:00-07:00,21 kW
2017-12-15T00:00:00-07:00,19 kW
2017-12-16T00:00:00-07:00,10 kW
2017-12-17T00:00:00-07:00,11 kW
2017-12-18T00:00:00-07:00,17 kW
2017-12-19T00:00:00-07:00,22 kW
2017-12-20T00:00:00-07:00,16 kW
2017-12-21T00:00:00-07:00,17 kW
2017-12-22T00:00:00-07:00,17 kW
2017-12-23T00:00:00-07:00,10 kW
2017-12-24T00:00:00-07:00,12 kW
2017-12-25T00:00:00-07:00,9 kW
2017-12-26T00:00:00-07:00,10 kW
2017-12-27T00:00:00-07:00,17 kW
2017-12-28T00:00:00-07:00,18 kW
2017-12-29T00:00:00-07:00,10 kW
2017-12-30T00:00:00-07:00,9 kW
2017-12-31T00:00:00-07:00,11 kW
