Timestamp,['211ca0c5-cda28b28 0062-WARNOCK ENGR BLDG Power Meter 316606 Real Energy In']
2017-08-08T00:00:00-06:00,433 kWh
2017-08-09T00:00:00-06:00,740 kWh
2017-08-10T00:00:00-06:00,718.25 kWh
2017-08-11T00:00:00-06:00,711 kWh
2017-08-12T00:00:00-06:00,633.5 kWh
2017-08-13T00:00:00-06:00,612.75 kWh
2017-08-14T00:00:00-06:00,781.75 kWh
2017-08-15T00:00:00-06:00,725.75 kWh
2017-08-16T00:00:00-06:00,716.25 kWh
2017-08-17T00:00:00-06:00,782.5 kWh
2017-08-18T00:00:00-06:00,817.75 kWh
2017-08-19T00:00:00-06:00,718 kWh
2017-08-20T00:00:00-06:00,702.75 kWh
2017-08-21T00:00:00-06:00,867.5 kWh
2017-08-22T00:00:00-06:00,935.25 kWh
2017-08-23T00:00:00-06:00,935 kWh
2017-08-24T00:00:00-06:00,928.5 kWh
2017-08-25T00:00:00-06:00,850.75 kWh
2017-08-26T00:00:00-06:00,684 kWh
2017-08-27T00:00:00-06:00,691 kWh
2017-08-28T00:00:00-06:00,885 kWh
2017-08-29T00:00:00-06:00,886.75 kWh
2017-08-30T00:00:00-06:00,884.5 kWh
2017-08-31T00:00:00-06:00,842.5 kWh
2017-09-01T00:00:00-06:00,811.75 kWh
2017-09-02T00:00:00-06:00,637 kWh
2017-09-03T00:00:00-06:00,639.25 kWh
2017-09-04T00:00:00-06:00,661.25 kWh
2017-09-05T00:00:00-06:00,873 kWh
2017-09-06T00:00:00-06:00,903.5 kWh
2017-09-07T00:00:00-06:00,869.25 kWh
2017-09-08T00:00:00-06:00,831.25 kWh
2017-09-09T00:00:00-06:00,661.25 kWh
2017-09-10T00:00:00-06:00,667.5 kWh
2017-09-11T00:00:00-06:00,903.25 kWh
2017-09-12T00:00:00-06:00,910 kWh
2017-09-13T00:00:00-06:00,877.5 kWh
2017-09-14T00:00:00-06:00,908.25 kWh
2017-09-15T00:00:00-06:00,927 kWh
2017-09-16T00:00:00-06:00,665 kWh
2017-09-17T00:00:00-06:00,668.25 kWh
2017-09-18T00:00:00-06:00,906.75 kWh
2017-09-19T00:00:00-06:00,926.25 kWh
2017-09-20T00:00:00-06:00,927 kWh
2017-09-21T00:00:00-06:00,904.5 kWh
2017-09-22T00:00:00-06:00,843.25 kWh
2017-09-23T00:00:00-06:00,675.25 kWh
2017-09-24T00:00:00-06:00,671 kWh
2017-09-25T00:00:00-06:00,892.25 kWh
2017-09-26T00:00:00-06:00,906.5 kWh
2017-09-27T00:00:00-06:00,885 kWh
2017-09-28T00:00:00-06:00,873.75 kWh
2017-09-29T00:00:00-06:00,834 kWh
2017-09-30T00:00:00-06:00,624 kWh
2017-10-01T00:00:00-06:00,612.25 kWh
2017-10-02T00:00:00-06:00,874.25 kWh
2017-10-03T00:00:00-06:00,859.5 kWh
2017-10-04T00:00:00-06:00,841.75 kWh
2017-10-05T00:00:00-06:00,850.75 kWh
2017-10-06T00:00:00-06:00,810 kWh
2017-10-07T00:00:00-06:00,658.5 kWh
2017-10-08T00:00:00-06:00,653.75 kWh
2017-10-09T00:00:00-06:00,760.25 kWh
2017-10-10T00:00:00-06:00,742 kWh
2017-10-11T00:00:00-06:00,767 kWh
