Timestamp,['21712eff-e4050bcb 0045-TANNER IRISH HUMANITIES BLDG Power Meter 120V (318841) Energy IMP']
2017-10-11T00:00:00-06:00,12496.899993896484 kWh
2017-10-12T00:00:00-06:00,50054.8000793457 kWh
2017-10-13T00:00:00-06:00,78544.49987792969 kWh
2017-10-14T00:00:00-06:00,105253.19927978516 kWh
2017-10-15T00:00:00-06:00,129969.39929199219 kWh
2017-10-16T00:00:00-06:00,160526.39990234375 kWh
2017-10-17T00:00:00-06:00,193856.0001220703 kWh
2017-10-18T00:00:00-06:00,227514.50024414062 kWh
2017-10-19T00:00:00-06:00,261463.20043945312 kWh
2017-10-20T00:00:00-06:00,294969.7004394531 kWh
2017-10-21T00:00:00-06:00,325694.0998535156 kWh
2017-10-22T00:00:00-06:00,354602.60009765625 kWh
2017-10-23T00:00:00-06:00,385935.2995605469 kWh
2017-10-24T00:00:00-06:00,419473.39990234375 kWh
2017-10-25T00:00:00-06:00,452979.69873046875 kWh
2017-10-26T00:00:00-06:00,487329 kWh
2017-10-27T00:00:00-06:00,521116.9013671875 kWh
2017-10-28T00:00:00-06:00,552571.7993164062 kWh
2017-10-29T00:00:00-06:00,582098.3999023438 kWh
2017-10-30T00:00:00-06:00,613880.8017578125 kWh
2017-10-31T00:00:00-06:00,646696.3989257812 kWh
2017-11-01T00:00:00-06:00,679217.6977539062 kWh
2017-11-02T00:00:00-06:00,712436.7001953125 kWh
2017-11-03T00:00:00-06:00,745636.0986328125 kWh
2017-11-04T00:00:00-06:00,776184.4008789062 kWh
2017-11-05T00:00:00-06:00,839283.302734375 kWh
2017-11-06T00:00:00-07:00,837173.8994140625 kWh
2017-11-07T00:00:00-07:00,868136 kWh
2017-11-08T00:00:00-07:00,880072.1982421875 kWh
2017-11-09T00:00:00-07:00,928751.0029296875 kWh
2017-11-10T00:00:00-07:00,948896.599609375 kWh
2017-11-11T00:00:00-07:00,986396.7958984375 kWh
2017-11-12T00:00:00-07:00,1012079.302734375 kWh
2017-11-13T00:00:00-07:00,1040058.701171875 kWh
2017-11-14T00:00:00-07:00,1071175.1064453125 kWh
2017-11-15T00:00:00-07:00,1102175.298828125 kWh
2017-11-16T00:00:00-07:00,1133076.302734375 kWh
2017-11-17T00:00:00-07:00,1163296.5947265625 kWh
2017-11-18T00:00:00-07:00,1191330.7978515625 kWh
2017-11-19T00:00:00-07:00,1217664.302734375 kWh
2017-11-20T00:00:00-07:00,1245957.69921875 kWh
2017-11-21T00:00:00-07:00,1276084.7001953125 kWh
2017-11-22T00:00:00-07:00,1305235.203125 kWh
2017-11-23T00:00:00-07:00,1331604.900390625 kWh
2017-11-24T00:00:00-07:00,1356630.6953125 kWh
2017-11-25T00:00:00-07:00,1381679.5 kWh
2017-11-26T00:00:00-07:00,1406594.9970703125 kWh
2017-11-27T00:00:00-07:00,1433891.19921875 kWh
2017-11-28T00:00:00-07:00,1463861.103515625 kWh
2017-11-29T00:00:00-07:00,1497233.1005859375 kWh
2017-11-30T00:00:00-07:00,1538098.1044921875 kWh
2017-12-01T00:00:00-07:00,1579683.095703125 kWh
2017-12-02T00:00:00-07:00,1617979.00390625 kWh
2017-12-03T00:00:00-07:00,1651454.306640625 kWh
2017-12-04T00:00:00-07:00,1688694.294921875 kWh
2017-12-05T00:00:00-07:00,1729643.69140625 kWh
2017-12-06T00:00:00-07:00,1770700.595703125 kWh
2017-12-07T00:00:00-07:00,1811011.09765625 kWh
2017-12-08T00:00:00-07:00,1851474.697265625 kWh
2017-12-09T00:00:00-07:00,1888624.19140625 kWh
2017-12-10T00:00:00-07:00,1921642.794921875 kWh
2017-12-11T00:00:00-07:00,1957571.900390625 kWh
2017-12-12T00:00:00-07:00,1996648.39453125 kWh
2017-12-13T00:00:00-07:00,2036673.40625 kWh
2017-12-14T00:00:00-07:00,2075990.703125 kWh
2017-12-15T00:00:00-07:00,2114541.29296875 kWh
2017-12-16T00:00:00-07:00,2150058.498046875 kWh
2017-12-17T00:00:00-07:00,2182919.498046875 kWh
2017-12-18T00:00:00-07:00,2147536.111328125 kWh
2017-12-19T00:00:00-07:00,2251698.697265625 kWh
2017-12-20T00:00:00-07:00,2285858.1953125 kWh
2017-12-21T00:00:00-07:00,2295090.10546875 kWh
2017-12-22T00:00:00-07:00,2350716.80078125 kWh
2017-12-23T00:00:00-07:00,2380756.6015625 kWh
2017-12-24T00:00:00-07:00,2410446.298828125 kWh
2017-12-25T00:00:00-07:00,2440309.703125 kWh
2017-12-26T00:00:00-07:00,2470031.599609375 kWh
2017-12-27T00:00:00-07:00,2500353.501953125 kWh
2017-12-28T00:00:00-07:00,2531835.294921875 kWh
2017-12-29T00:00:00-07:00,2562660.30078125 kWh
2017-12-30T00:00:00-07:00,2592772.09765625 kWh
2017-12-31T00:00:00-07:00,2622927.10546875 kWh
