Timestamp,['21712f98-1dee9725 0045-TANNER IRISH HUMANITIES BLDG Power Meter 480V (318842) Phase (line) current I1']
2017-10-11T00:00:00-06:00,104.2847277013267 A
2017-10-12T00:00:00-06:00,93.52890952428181 A
2017-10-13T00:00:00-06:00,100.13648668924968 A
2017-10-14T00:00:00-06:00,94.50423399272718 A
2017-10-15T00:00:00-06:00,92.24332888921101 A
2017-10-16T00:00:00-06:00,107.84722876548767 A
2017-10-17T00:00:00-06:00,113.03319883346558 A
2017-10-18T00:00:00-06:00,112.90687028566997 A
2017-10-19T00:00:00-06:00,112.32554109891255 A
2017-10-20T00:00:00-06:00,106.75696047147115 A
2017-10-21T00:00:00-06:00,98.353502591451 A
2017-10-22T00:00:00-06:00,100.89680655797322 A
2017-10-23T00:00:00-06:00,110.02181641260783 A
2017-10-24T00:00:00-06:00,113.3533746401469 A
2017-10-25T00:00:00-06:00,114.49040587743123 A
2017-10-26T00:00:00-06:00,112.24487066268921 A
2017-10-27T00:00:00-06:00,111.70146361986797 A
2017-10-28T00:00:00-06:00,103.02771663665771 A
2017-10-29T00:00:00-06:00,102.80165378252666 A
2017-10-30T00:00:00-06:00,113.09984525044759 A
2017-10-31T00:00:00-06:00,109.29062151908875 A
2017-11-01T00:00:00-06:00,110.23361508051555 A
2017-11-02T00:00:00-06:00,109.50251857439677 A
2017-11-03T00:00:00-06:00,112.38416266441345 A
2017-11-04T00:00:00-06:00,99.33967796961467 A
2017-11-05T00:00:00-06:00,89.00270347595215 A
2017-11-06T00:00:00-07:00,109.94051138559978 A
2017-11-07T00:00:00-07:00,111.13666701316833 A
2017-11-08T00:00:00-07:00,109.43632952372234 A
2017-11-09T00:00:00-07:00,111.52015988032024 A
2017-11-10T00:00:00-07:00,106.15534162521362 A
2017-11-11T00:00:00-07:00,99.45202040672302 A
2017-11-12T00:00:00-07:00,96.97046955426534 A
2017-11-13T00:00:00-07:00,106.98429369926453 A
2017-11-14T00:00:00-07:00,105.88892714182536 A
2017-11-15T00:00:00-07:00,109.73885488510132 A
2017-11-16T00:00:00-07:00,108.01226504643758 A
2017-11-17T00:00:00-07:00,109.5656332174937 A
2017-11-18T00:00:00-07:00,99.4742378393809 A
2017-11-19T00:00:00-07:00,99.05852206548055 A
2017-11-20T00:00:00-07:00,109.2986581325531 A
2017-11-21T00:00:00-07:00,110.42453535397847 A
2017-11-22T00:00:00-07:00,109.44564565022786 A
2017-11-23T00:00:00-07:00,108.31663846969604 A
2017-11-24T00:00:00-07:00,108.57320809364319 A
2017-11-25T00:00:00-07:00,99.07802867889404 A
2017-11-26T00:00:00-07:00,100.99005222320557 A
2017-11-27T00:00:00-07:00,116.17511828740437 A
2017-11-28T00:00:00-07:00,94.67680426438649 A
2017-11-29T00:00:00-07:00,88.17148665587108 A
2017-11-30T00:00:00-07:00,92.05973517894745 A
2017-12-01T00:00:00-07:00,91.16284696261089 A
2017-12-02T00:00:00-07:00,80.3319849173228 A
2017-12-03T00:00:00-07:00,78.56247345606486 A
2017-12-04T00:00:00-07:00,91.52307538191478 A
2017-12-05T00:00:00-07:00,93.40693092346191 A
2017-12-06T00:00:00-07:00,93.6967943906784 A
2017-12-07T00:00:00-07:00,98.10818922519684 A
2017-12-08T00:00:00-07:00,96.10587306817372 A
2017-12-09T00:00:00-07:00,84.27650626500447 A
2017-12-10T00:00:00-07:00,80.74543301264445 A
2017-12-11T00:00:00-07:00,93.82854489485423 A
2017-12-12T00:00:00-07:00,90.81895395119984 A
2017-12-13T00:00:00-07:00,89.4483939409256 A
2017-12-14T00:00:00-07:00,96.20744057496388 A
2017-12-15T00:00:00-07:00,97.73149609565735 A
2017-12-16T00:00:00-07:00,88.54888868331909 A
2017-12-17T00:00:00-07:00,88.23505163192749 A
2017-12-18T00:00:00-07:00,94.07709257064327 A
2017-12-19T00:00:00-07:00,92.41194812456767 A
2017-12-20T00:00:00-07:00,84.12562970320384 A
2017-12-21T00:00:00-07:00,84.70450099309285 A
2017-12-22T00:00:00-07:00,81.84650389353435 A
2017-12-23T00:00:00-07:00,79.21322468916576 A
2017-12-24T00:00:00-07:00,81.1317617893219 A
2017-12-25T00:00:00-07:00,83.49615705013275 A
2017-12-26T00:00:00-07:00,83.59730291366577 A
2017-12-27T00:00:00-07:00,86.06709484259288 A
2017-12-28T00:00:00-07:00,86.6044853925705 A
2017-12-29T00:00:00-07:00,86.74316847324371 A
2017-12-30T00:00:00-07:00,81.69834494590759 A
2017-12-31T00:00:00-07:00,84.15138932069142 A
