Timestamp,['21712f98-47f490f1 0045-TANNER IRISH HUMANITIES BLDG Power Meter 480V (318842) Energy IMP']
2017-10-11T00:00:00-06:00,50873.80017089844 kWh
2017-10-12T00:00:00-06:00,206295.90014648438 kWh
2017-10-13T00:00:00-06:00,329674.5998535156 kWh
2017-10-14T00:00:00-06:00,451262.39990234375 kWh
2017-10-15T00:00:00-06:00,576580.6025390625 kWh
2017-10-16T00:00:00-06:00,696177.8979492188 kWh
2017-10-17T00:00:00-06:00,831056.396484375 kWh
2017-10-18T00:00:00-06:00,966533.400390625 kWh
2017-10-19T00:00:00-06:00,1103719.099609375 kWh
2017-10-20T00:00:00-06:00,1236515.2021484375 kWh
2017-10-21T00:00:00-06:00,1362735.19921875 kWh
2017-10-22T00:00:00-06:00,1484340.0947265625 kWh
2017-10-23T00:00:00-06:00,1611487.2998046875 kWh
2017-10-24T00:00:00-06:00,1749256.794921875 kWh
2017-10-25T00:00:00-06:00,1885008.599609375 kWh
2017-10-26T00:00:00-06:00,2021954.501953125 kWh
2017-10-27T00:00:00-06:00,2154930.59375 kWh
2017-10-28T00:00:00-06:00,2288057.396484375 kWh
2017-10-29T00:00:00-06:00,2415347.3984375 kWh
2017-10-30T00:00:00-06:00,2544548.998046875 kWh
2017-10-31T00:00:00-06:00,2679353.900390625 kWh
2017-11-01T00:00:00-06:00,2811965.794921875 kWh
2017-11-02T00:00:00-06:00,2944205.400390625 kWh
2017-11-03T00:00:00-06:00,3077366.205078125 kWh
2017-11-04T00:00:00-06:00,3207042.71484375 kWh
2017-11-05T00:00:00-06:00,3466109.1015625 kWh
2017-11-06T00:00:00-07:00,3450093.89453125 kWh
2017-11-07T00:00:00-07:00,3583388.515625 kWh
2017-11-08T00:00:00-07:00,3714596.50390625 kWh
2017-11-09T00:00:00-07:00,3850843.08984375 kWh
2017-11-10T00:00:00-07:00,3985263.50390625 kWh
2017-11-11T00:00:00-07:00,4116110.796875 kWh
2017-11-12T00:00:00-07:00,4241852.91015625 kWh
2017-11-13T00:00:00-07:00,4369323.90625 kWh
2017-11-14T00:00:00-07:00,4502895.21875 kWh
2017-11-15T00:00:00-07:00,4635022.69140625 kWh
2017-11-16T00:00:00-07:00,4770562.8984375 kWh
2017-11-17T00:00:00-07:00,4900629.796875 kWh
2017-11-18T00:00:00-07:00,5030632.19921875 kWh
2017-11-19T00:00:00-07:00,5154160.80859375 kWh
2017-11-20T00:00:00-07:00,5279674.91796875 kWh
2017-11-21T00:00:00-07:00,5411850.703125 kWh
2017-11-22T00:00:00-07:00,5546246.39453125 kWh
2017-11-23T00:00:00-07:00,5678447.08203125 kWh
2017-11-24T00:00:00-07:00,5810235.40234375 kWh
2017-11-25T00:00:00-07:00,5938300.9921875 kWh
2017-11-26T00:00:00-07:00,6060034.80078125 kWh
2017-11-27T00:00:00-07:00,6187578.984375 kWh
2017-11-28T00:00:00-07:00,6306251.3828125 kWh
2017-11-29T00:00:00-07:00,6391808.8203125 kWh
2017-11-30T00:00:00-07:00,6557994.4140625 kWh
2017-12-01T00:00:00-07:00,6726317.75 kWh
2017-12-02T00:00:00-07:00,6884009.375 kWh
2017-12-03T00:00:00-07:00,7024028.6875 kWh
2017-12-04T00:00:00-07:00,7170403.2265625 kWh
2017-12-05T00:00:00-07:00,7341947.3046875 kWh
2017-12-06T00:00:00-07:00,7514963.9921875 kWh
2017-12-07T00:00:00-07:00,7695143.4453125 kWh
2017-12-08T00:00:00-07:00,7876358.0703125 kWh
2017-12-09T00:00:00-07:00,8048263.796875 kWh
2017-12-10T00:00:00-07:00,8201592.0546875 kWh
2017-12-11T00:00:00-07:00,8362123.3046875 kWh
2017-12-12T00:00:00-07:00,8537424.5 kWh
2017-12-13T00:00:00-07:00,8713293.625 kWh
2017-12-14T00:00:00-07:00,8890451.296875 kWh
2017-12-15T00:00:00-07:00,9070625.1328125 kWh
2017-12-16T00:00:00-07:00,9242080.3125 kWh
2017-12-17T00:00:00-07:00,9399308.21875 kWh
2017-12-18T00:00:00-07:00,9264157.7109375 kWh
2017-12-19T00:00:00-07:00,9727822.3125 kWh
2017-12-20T00:00:00-07:00,9888050.1171875 kWh
2017-12-21T00:00:00-07:00,1.00444846328125E7 kWh
2017-12-22T00:00:00-07:00,1.01967231015625E7 kWh
2017-12-23T00:00:00-07:00,1.0346471890625E7 kWh
2017-12-24T00:00:00-07:00,1.04944360234375E7 kWh
2017-12-25T00:00:00-07:00,1.06448916953125E7 kWh
2017-12-26T00:00:00-07:00,1.07974936953125E7 kWh
2017-12-27T00:00:00-07:00,1.095323109375E7 kWh
2017-12-28T00:00:00-07:00,11114128 kWh
2017-12-29T00:00:00-07:00,1.1274228546875E7 kWh
2017-12-30T00:00:00-07:00,1.14268040859375E7 kWh
2017-12-31T00:00:00-07:00,1.15803663828125E7 kWh
