Timestamp,['21712f98-d7657e2e 0045-TANNER IRISH HUMANITIES BLDG Power Meter 480V (318842) Phase (line) current I2']
2017-10-11T00:00:00-06:00,85.54589462280273 A
2017-10-12T00:00:00-06:00,75.83868300914764 A
2017-10-13T00:00:00-06:00,81.94125306606293 A
2017-10-14T00:00:00-06:00,78.66109338057669 A
2017-10-15T00:00:00-06:00,75.35798732439677 A
2017-10-16T00:00:00-06:00,86.69595265388489 A
2017-10-17T00:00:00-06:00,93.20576139291127 A
2017-10-18T00:00:00-06:00,92.14825944105785 A
2017-10-19T00:00:00-06:00,90.65512502193451 A
2017-10-20T00:00:00-06:00,82.47058578332265 A
2017-10-21T00:00:00-06:00,73.59576527277629 A
2017-10-22T00:00:00-06:00,76.56354904174805 A
2017-10-23T00:00:00-06:00,88.75722825527191 A
2017-10-24T00:00:00-06:00,92.69274965922038 A
2017-10-25T00:00:00-06:00,92.33882510662079 A
2017-10-26T00:00:00-06:00,89.668519337972 A
2017-10-27T00:00:00-06:00,89.09612147013347 A
2017-10-28T00:00:00-06:00,80.2050461769104 A
2017-10-29T00:00:00-06:00,79.10628390312195 A
2017-10-30T00:00:00-06:00,89.47826890150706 A
2017-10-31T00:00:00-06:00,90.90367035071056 A
2017-11-01T00:00:00-06:00,91.21676143010457 A
2017-11-02T00:00:00-06:00,88.2052632967631 A
2017-11-03T00:00:00-06:00,88.68527726332347 A
2017-11-04T00:00:00-06:00,76.30459864934285 A
2017-11-05T00:00:00-06:00,74.95337142944337 A
2017-11-06T00:00:00-07:00,88.37687043348949 A
2017-11-07T00:00:00-07:00,88.72300426165263 A
2017-11-08T00:00:00-07:00,90.81945065657298 A
2017-11-09T00:00:00-07:00,96.02578163146973 A
2017-11-10T00:00:00-07:00,88.43744417031606 A
2017-11-11T00:00:00-07:00,81.75279712677002 A
2017-11-12T00:00:00-07:00,80.69956521193187 A
2017-11-13T00:00:00-07:00,89.9053959051768 A
2017-11-14T00:00:00-07:00,93.30585543314616 A
2017-11-15T00:00:00-07:00,91.60693645477295 A
2017-11-16T00:00:00-07:00,89.79898385206859 A
2017-11-17T00:00:00-07:00,88.77717824776967 A
2017-11-18T00:00:00-07:00,78.57953910032909 A
2017-11-19T00:00:00-07:00,77.22429537773132 A
2017-11-20T00:00:00-07:00,86.01044789950053 A
2017-11-21T00:00:00-07:00,91.66170863310496 A
2017-11-22T00:00:00-07:00,88.84939467906952 A
2017-11-23T00:00:00-07:00,83.83305164178212 A
2017-11-24T00:00:00-07:00,83.45543865362804 A
2017-11-25T00:00:00-07:00,75.35797584056854 A
2017-11-26T00:00:00-07:00,77.23429826895396 A
2017-11-27T00:00:00-07:00,93.24150741100311 A
2017-11-28T00:00:00-07:00,102.33867526054382 A
2017-11-29T00:00:00-07:00,89.23557734489441 A
2017-11-30T00:00:00-07:00,80.60554186503093 A
2017-12-01T00:00:00-07:00,76.53083848953247 A
2017-12-02T00:00:00-07:00,66.83509627978007 A
2017-12-03T00:00:00-07:00,67.03968854745229 A
2017-12-04T00:00:00-07:00,80.14283728599548 A
2017-12-05T00:00:00-07:00,80.09868160883586 A
2017-12-06T00:00:00-07:00,81.77801752090454 A
2017-12-07T00:00:00-07:00,83.49427219231923 A
2017-12-08T00:00:00-07:00,84.26292753219604 A
2017-12-09T00:00:00-07:00,74.48857525984447 A
2017-12-10T00:00:00-07:00,72.61808001995087 A
2017-12-11T00:00:00-07:00,84.14470847447713 A
2017-12-12T00:00:00-07:00,82.53453556696574 A
2017-12-13T00:00:00-07:00,81.81978209813435 A
2017-12-14T00:00:00-07:00,82.15430907408397 A
2017-12-15T00:00:00-07:00,80.50312276681264 A
2017-12-16T00:00:00-07:00,69.32713401317596 A
2017-12-17T00:00:00-07:00,70.25227860609691 A
2017-12-18T00:00:00-07:00,77.37880189957157 A
2017-12-19T00:00:00-07:00,75.67169070243835 A
2017-12-20T00:00:00-07:00,70.64671810468037 A
2017-12-21T00:00:00-07:00,71.35181403160095 A
2017-12-22T00:00:00-07:00,72.61388258139293 A
2017-12-23T00:00:00-07:00,70.28593945503235 A
2017-12-24T00:00:00-07:00,71.44762353102367 A
2017-12-25T00:00:00-07:00,70.71174470583598 A
2017-12-26T00:00:00-07:00,70.94285865624745 A
2017-12-27T00:00:00-07:00,72.28402658303578 A
2017-12-28T00:00:00-07:00,72.48039531707764 A
2017-12-29T00:00:00-07:00,73.12102516492207 A
2017-12-30T00:00:00-07:00,68.86088748772939 A
2017-12-31T00:00:00-07:00,71.07202990849812 A
