Timestamp,['21712f98-fe1400eb 0045-TANNER IRISH HUMANITIES BLDG Power Meter 480V (318842) Phase (line) current I3']
2017-10-11T00:00:00-06:00,70.92974034751335 A
2017-10-12T00:00:00-06:00,64.64672040939331 A
2017-10-13T00:00:00-06:00,66.4935032526652 A
2017-10-14T00:00:00-06:00,62.18722514102333 A
2017-10-15T00:00:00-06:00,57.84212370713552 A
2017-10-16T00:00:00-06:00,75.54099945227306 A
2017-10-17T00:00:00-06:00,80.42532404263814 A
2017-10-18T00:00:00-06:00,83.6302695274353 A
2017-10-19T00:00:00-06:00,83.07828573385875 A
2017-10-20T00:00:00-06:00,71.83499030272166 A
2017-10-21T00:00:00-06:00,62.67502121130625 A
2017-10-22T00:00:00-06:00,65.73204505443573 A
2017-10-23T00:00:00-06:00,79.20437268416087 A
2017-10-24T00:00:00-06:00,82.8628347714742 A
2017-10-25T00:00:00-06:00,84.69866661230724 A
2017-10-26T00:00:00-06:00,82.1869946718216 A
2017-10-27T00:00:00-06:00,81.39078545570374 A
2017-10-28T00:00:00-06:00,74.48255475362141 A
2017-10-29T00:00:00-06:00,73.03828406333923 A
2017-10-30T00:00:00-06:00,84.03273284435272 A
2017-10-31T00:00:00-06:00,78.67883372306824 A
2017-11-01T00:00:00-06:00,81.63587804635365 A
2017-11-02T00:00:00-06:00,82.05115214983623 A
2017-11-03T00:00:00-06:00,78.41147351264954 A
2017-11-04T00:00:00-06:00,66.15173069636027 A
2017-11-05T00:00:00-06:00,63.567461853027346 A
2017-11-06T00:00:00-07:00,81.21101160844167 A
2017-11-07T00:00:00-07:00,81.84276219209035 A
2017-11-08T00:00:00-07:00,81.25967240333557 A
2017-11-09T00:00:00-07:00,83.50087674458821 A
2017-11-10T00:00:00-07:00,77.60269129276276 A
2017-11-11T00:00:00-07:00,72.33784643809001 A
2017-11-12T00:00:00-07:00,70.63047063350677 A
2017-11-13T00:00:00-07:00,81.03013853232066 A
2017-11-14T00:00:00-07:00,80.20562354723613 A
2017-11-15T00:00:00-07:00,82.8877401749293 A
2017-11-16T00:00:00-07:00,82.70148547490437 A
2017-11-17T00:00:00-07:00,81.70007061958313 A
2017-11-18T00:00:00-07:00,73.88553329308827 A
2017-11-19T00:00:00-07:00,73.04436127344768 A
2017-11-20T00:00:00-07:00,83.27075175444286 A
2017-11-21T00:00:00-07:00,82.95133205254872 A
2017-11-22T00:00:00-07:00,81.52681910991669 A
2017-11-23T00:00:00-07:00,79.75769857565562 A
2017-11-24T00:00:00-07:00,80.18899488449097 A
2017-11-25T00:00:00-07:00,71.21947201093037 A
2017-11-26T00:00:00-07:00,69.21571258703868 A
2017-11-27T00:00:00-07:00,88.06670872370402 A
2017-11-28T00:00:00-07:00,93.9201404651006 A
2017-11-29T00:00:00-07:00,105.95359794298808 A
2017-11-30T00:00:00-07:00,110.39909958839417 A
2017-12-01T00:00:00-07:00,107.22400403022766 A
2017-12-02T00:00:00-07:00,94.67046491305034 A
2017-12-03T00:00:00-07:00,89.74838268756866 A
2017-12-04T00:00:00-07:00,106.22753942012787 A
2017-12-05T00:00:00-07:00,108.31437039375305 A
2017-12-06T00:00:00-07:00,111.19126025835673 A
2017-12-07T00:00:00-07:00,114.47482927640279 A
2017-12-08T00:00:00-07:00,114.78252879778545 A
2017-12-09T00:00:00-07:00,103.28891626993816 A
2017-12-10T00:00:00-07:00,100.46873593330383 A
2017-12-11T00:00:00-07:00,114.64354427655537 A
2017-12-12T00:00:00-07:00,112.66429789861043 A
2017-12-13T00:00:00-07:00,111.8091429869334 A
2017-12-14T00:00:00-07:00,113.90889342625935 A
2017-12-15T00:00:00-07:00,113.36784036954244 A
2017-12-16T00:00:00-07:00,102.5437737305959 A
2017-12-17T00:00:00-07:00,104.11766370137532 A
2017-12-18T00:00:00-07:00,111.82941568025979 A
2017-12-19T00:00:00-07:00,109.75638469060262 A
2017-12-20T00:00:00-07:00,103.37174232800801 A
2017-12-21T00:00:00-07:00,102.38974074522655 A
2017-12-22T00:00:00-07:00,98.62515830993652 A
2017-12-23T00:00:00-07:00,93.66313099861145 A
2017-12-24T00:00:00-07:00,93.96726083755493 A
2017-12-25T00:00:00-07:00,95.88708090782166 A
2017-12-26T00:00:00-07:00,95.86721189816792 A
2017-12-27T00:00:00-07:00,102.71878163019817 A
2017-12-28T00:00:00-07:00,106.02340332667033 A
2017-12-29T00:00:00-07:00,106.2230252424876 A
2017-12-30T00:00:00-07:00,98.84989587465923 A
2017-12-31T00:00:00-07:00,101.54200752576192 A
