Timestamp,['2178df29-2d959f1e 0038-ART BLDG Power Meter 319600 Energy IMP']
2017-10-17T00:00:00-06:00,2817.798828125 kWh
2017-10-18T00:00:00-06:00,4333.701171875 kWh
2017-10-19T00:00:00-06:00,4194.701171875 kWh
2017-10-20T00:00:00-06:00,4365.796875 kWh
2017-10-21T00:00:00-06:00,3947.1015625 kWh
2017-10-22T00:00:00-06:00,3918.5 kWh
2017-10-23T00:00:00-06:00,4273.80078125 kWh
2017-10-24T00:00:00-06:00,4159.69921875 kWh
2017-10-25T00:00:00-06:00,4178.19921875 kWh
2017-10-26T00:00:00-06:00,3698.80078125 kWh
2017-10-27T00:00:00-06:00,3462.296875 kWh
2017-10-28T00:00:00-06:00,3264.5 kWh
2017-10-29T00:00:00-06:00,3285.8046875 kWh
2017-10-30T00:00:00-06:00,3720.3984375 kWh
2017-10-31T00:00:00-06:00,3555.5 kWh
2017-11-01T00:00:00-06:00,3837.8984375 kWh
2017-11-02T00:00:00-06:00,3755.703125 kWh
2017-11-03T00:00:00-06:00,3623.3984375 kWh
2017-11-04T00:00:00-06:00,3333.3984375 kWh
2017-11-05T00:00:00-06:00,3307.3046875 kWh
2017-11-06T00:00:00-07:00,3523.8984375 kWh
2017-11-07T00:00:00-07:00,3383.296875 kWh
2017-11-08T00:00:00-07:00,2361.203125 kWh
2017-11-09T00:00:00-07:00,2736.3984375 kWh
2017-11-10T00:00:00-07:00,2843.296875 kWh
2017-11-11T00:00:00-07:00,2376.703125 kWh
2017-11-12T00:00:00-07:00,2366.296875 kWh
2017-11-13T00:00:00-07:00,2619.40625 kWh
2017-11-14T00:00:00-07:00,2494.09375 kWh
2017-11-15T00:00:00-07:00,2309.5 kWh
2017-11-16T00:00:00-07:00,2566.6015625 kWh
2017-11-17T00:00:00-07:00,2710.3046875 kWh
2017-11-18T00:00:00-07:00,2421 kWh
2017-11-19T00:00:00-07:00,2642 kWh
2017-11-20T00:00:00-07:00,2967.59375 kWh
2017-11-21T00:00:00-07:00,2864.90625 kWh
2017-11-22T00:00:00-07:00,2710.296875 kWh
2017-11-23T00:00:00-07:00,2378.5 kWh
2017-11-24T00:00:00-07:00,2411.296875 kWh
2017-11-25T00:00:00-07:00,2374.109375 kWh
2017-11-26T00:00:00-07:00,2457.59375 kWh
2017-11-27T00:00:00-07:00,2985 kWh
2017-11-28T00:00:00-07:00,3045.703125 kWh
2017-11-29T00:00:00-07:00,3038.09375 kWh
2017-11-30T00:00:00-07:00,3043.703125 kWh
2017-12-01T00:00:00-07:00,2872.09375 kWh
2017-12-02T00:00:00-07:00,2725.40625 kWh
2017-12-03T00:00:00-07:00,2727.203125 kWh
2017-12-04T00:00:00-07:00,2968.203125 kWh
2017-12-05T00:00:00-07:00,3312 kWh
2017-12-06T00:00:00-07:00,3502.390625 kWh
2017-12-07T00:00:00-07:00,3437.703125 kWh
2017-12-08T00:00:00-07:00,3239.703125 kWh
2017-12-09T00:00:00-07:00,3152.390625 kWh
2017-12-10T00:00:00-07:00,3064.40625 kWh
2017-12-11T00:00:00-07:00,3255.703125 kWh
2017-12-12T00:00:00-07:00,3364.5 kWh
2017-12-13T00:00:00-07:00,3146.296875 kWh
2017-12-14T00:00:00-07:00,3125 kWh
2017-12-15T00:00:00-07:00,3104.203125 kWh
2017-12-16T00:00:00-07:00,2887.59375 kWh
2017-12-17T00:00:00-07:00,2838 kWh
2017-12-18T00:00:00-07:00,2966.109375 kWh
2017-12-19T00:00:00-07:00,3118.1875 kWh
2017-12-20T00:00:00-07:00,3070.90625 kWh
2017-12-21T00:00:00-07:00,2912.5 kWh
2017-12-22T00:00:00-07:00,2860.796875 kWh
2017-12-23T00:00:00-07:00,2785.109375 kWh
2017-12-24T00:00:00-07:00,2750.1875 kWh
2017-12-25T00:00:00-07:00,2747.3125 kWh
2017-12-26T00:00:00-07:00,2765.1875 kWh
2017-12-27T00:00:00-07:00,3373.203125 kWh
2017-12-28T00:00:00-07:00,3593.109375 kWh
2017-12-29T00:00:00-07:00,3636 kWh
2017-12-30T00:00:00-07:00,3648.296875 kWh
2017-12-31T00:00:00-07:00,3535.796875 kWh
