Timestamp,['217a5aa6-05b6e36b 0079-ECCLES BUSINESS BLDG Power Meter 319599 Energy IMP']
2017-10-18T00:00:00-06:00,2343.3984375 kWh
2017-10-19T00:00:00-06:00,4792.6015625 kWh
2017-10-20T00:00:00-06:00,4464.80078125 kWh
2017-10-21T00:00:00-06:00,4268.5 kWh
2017-10-22T00:00:00-06:00,4247.796875 kWh
2017-10-23T00:00:00-06:00,4816.6015625 kWh
2017-10-24T00:00:00-06:00,4768.30078125 kWh
2017-10-25T00:00:00-06:00,4786.09765625 kWh
2017-10-26T00:00:00-06:00,4732.1015625 kWh
2017-10-27T00:00:00-06:00,4460.6015625 kWh
2017-10-28T00:00:00-06:00,4242.296875 kWh
2017-10-29T00:00:00-06:00,4109.8046875 kWh
2017-10-30T00:00:00-06:00,4769.8984375 kWh
2017-10-31T00:00:00-06:00,4400.6953125 kWh
2017-11-01T00:00:00-06:00,4760.8046875 kWh
2017-11-02T00:00:00-06:00,4833.796875 kWh
2017-11-03T00:00:00-06:00,4543.5 kWh
2017-11-04T00:00:00-06:00,4217 kWh
2017-11-05T00:00:00-06:00,4215.703125 kWh
2017-11-06T00:00:00-07:00,4769.3984375 kWh
2017-11-07T00:00:00-07:00,4869.5 kWh
2017-11-08T00:00:00-07:00,4874.90625 kWh
2017-11-09T00:00:00-07:00,4818 kWh
2017-11-10T00:00:00-07:00,4339.09375 kWh
2017-11-11T00:00:00-07:00,3834.90625 kWh
2017-11-12T00:00:00-07:00,4059 kWh
2017-11-13T00:00:00-07:00,4690.6875 kWh
2017-11-14T00:00:00-07:00,4755.109375 kWh
2017-11-15T00:00:00-07:00,4771.796875 kWh
2017-11-16T00:00:00-07:00,4852.59375 kWh
2017-11-17T00:00:00-07:00,4452.109375 kWh
2017-11-18T00:00:00-07:00,4302 kWh
2017-11-19T00:00:00-07:00,4114.203125 kWh
2017-11-20T00:00:00-07:00,4812.890625 kWh
2017-11-21T00:00:00-07:00,4755.40625 kWh
2017-11-22T00:00:00-07:00,4421.796875 kWh
2017-11-23T00:00:00-07:00,4099 kWh
2017-11-24T00:00:00-07:00,4211.296875 kWh
2017-11-25T00:00:00-07:00,4135 kWh
2017-11-26T00:00:00-07:00,4115.296875 kWh
2017-11-27T00:00:00-07:00,4759.609375 kWh
2017-11-28T00:00:00-07:00,4850.5 kWh
2017-11-29T00:00:00-07:00,4851.796875 kWh
2017-11-30T00:00:00-07:00,4837.203125 kWh
2017-12-01T00:00:00-07:00,4474.390625 kWh
2017-12-02T00:00:00-07:00,4293.40625 kWh
2017-12-03T00:00:00-07:00,4210.90625 kWh
2017-12-04T00:00:00-07:00,4846.59375 kWh
2017-12-05T00:00:00-07:00,5028.09375 kWh
2017-12-06T00:00:00-07:00,4972.109375 kWh
2017-12-07T00:00:00-07:00,4971.890625 kWh
2017-12-08T00:00:00-07:00,4664.3125 kWh
2017-12-09T00:00:00-07:00,4464.6875 kWh
2017-12-10T00:00:00-07:00,4496.8125 kWh
2017-12-11T00:00:00-07:00,5012.28125 kWh
2017-12-12T00:00:00-07:00,4982.71875 kWh
2017-12-13T00:00:00-07:00,5053.09375 kWh
2017-12-14T00:00:00-07:00,4922 kWh
2017-12-15T00:00:00-07:00,4578.1875 kWh
2017-12-16T00:00:00-07:00,4387.5 kWh
2017-12-17T00:00:00-07:00,4342.3125 kWh
2017-12-18T00:00:00-07:00,4490.40625 kWh
2017-12-19T00:00:00-07:00,4494.90625 kWh
2017-12-20T00:00:00-07:00,4317.78125 kWh
2017-12-21T00:00:00-07:00,4516.40625 kWh
2017-12-22T00:00:00-07:00,4463 kWh
2017-12-23T00:00:00-07:00,4183.90625 kWh
2017-12-24T00:00:00-07:00,4111.59375 kWh
2017-12-25T00:00:00-07:00,4140.59375 kWh
2017-12-26T00:00:00-07:00,4264.59375 kWh
2017-12-27T00:00:00-07:00,4336 kWh
2017-12-28T00:00:00-07:00,4271.8125 kWh
2017-12-29T00:00:00-07:00,4264.40625 kWh
2017-12-30T00:00:00-07:00,4331.09375 kWh
2017-12-31T00:00:00-07:00,4310 kWh
