Timestamp,['217a5abc-7f37db7f 0079-ECCLES BUSINESS BLDG Power Meter 319599 Phase (line) current I3']
2017-10-18T00:00:00-06:00,359.0092664930556 A
2017-10-19T00:00:00-06:00,337.3572947184245 A
2017-10-20T00:00:00-06:00,304.27427132924396 A
2017-10-21T00:00:00-06:00,281.9274417559306 A
2017-10-22T00:00:00-06:00,285.6964513460795 A
2017-10-23T00:00:00-06:00,339.2797803878784 A
2017-10-24T00:00:00-06:00,334.9906390508016 A
2017-10-25T00:00:00-06:00,331.0978349049886 A
2017-10-26T00:00:00-06:00,330.2550865809123 A
2017-10-27T00:00:00-06:00,308.6554838816325 A
2017-10-28T00:00:00-06:00,286.27591069539386 A
2017-10-29T00:00:00-06:00,273.08709081013996 A
2017-10-30T00:00:00-06:00,330.16012144088745 A
2017-10-31T00:00:00-06:00,297.46351591746014 A
2017-11-01T00:00:00-06:00,333.03568744659424 A
2017-11-02T00:00:00-06:00,342.62599420547485 A
2017-11-03T00:00:00-06:00,314.579354763031 A
2017-11-04T00:00:00-06:00,276.9294174512227 A
2017-11-05T00:00:00-06:00,261.0098052978516 A
2017-11-06T00:00:00-07:00,332.2775704065959 A
2017-11-07T00:00:00-07:00,349.15806674957275 A
2017-11-08T00:00:00-07:00,346.5845143000285 A
2017-11-09T00:00:00-07:00,340.08459917704266 A
2017-11-10T00:00:00-07:00,287.5466621716817 A
2017-11-11T00:00:00-07:00,241.26369508107504 A
2017-11-12T00:00:00-07:00,287.5774772961934 A
2017-11-13T00:00:00-07:00,334.50589338938397 A
2017-11-14T00:00:00-07:00,330.7918397585551 A
2017-11-15T00:00:00-07:00,332.53470118840534 A
2017-11-16T00:00:00-07:00,340.28495693206787 A
2017-11-17T00:00:00-07:00,301.5899775822957 A
2017-11-18T00:00:00-07:00,292.89466603597003 A
2017-11-19T00:00:00-07:00,269.54382848739624 A
2017-11-20T00:00:00-07:00,338.9575850168864 A
2017-11-21T00:00:00-07:00,336.5364387830098 A
2017-11-22T00:00:00-07:00,307.63991832733154 A
2017-11-23T00:00:00-07:00,266.9958341916402 A
2017-11-24T00:00:00-07:00,281.29826402664185 A
2017-11-25T00:00:00-07:00,271.53141689300537 A
2017-11-26T00:00:00-07:00,268.0347402890523 A
2017-11-27T00:00:00-07:00,326.0289764404297 A
2017-11-28T00:00:00-07:00,337.54989592234296 A
2017-11-29T00:00:00-07:00,339.2908531824748 A
2017-11-30T00:00:00-07:00,335.2059278488159 A
2017-12-01T00:00:00-07:00,302.31593894958496 A
2017-12-02T00:00:00-07:00,282.634480158488 A
2017-12-03T00:00:00-07:00,276.4185830752055 A
2017-12-04T00:00:00-07:00,340.3961003621419 A
2017-12-05T00:00:00-07:00,363.50061416625977 A
2017-12-06T00:00:00-07:00,355.8295424779256 A
2017-12-07T00:00:00-07:00,352.94164276123047 A
2017-12-08T00:00:00-07:00,332.5237865447998 A
2017-12-09T00:00:00-07:00,313.00986464818317 A
2017-12-10T00:00:00-07:00,309.4358485539754 A
2017-12-11T00:00:00-07:00,365.80947558085126 A
2017-12-12T00:00:00-07:00,371.0726375579834 A
2017-12-13T00:00:00-07:00,377.2738717397054 A
2017-12-14T00:00:00-07:00,359.8073498408 A
2017-12-15T00:00:00-07:00,319.5613179206848 A
2017-12-16T00:00:00-07:00,299.0318311055501 A
2017-12-17T00:00:00-07:00,292.7139040629069 A
2017-12-18T00:00:00-07:00,318.2949679795132 A
2017-12-19T00:00:00-07:00,310.28578265508014 A
2017-12-20T00:00:00-07:00,297.4427779515584 A
2017-12-21T00:00:00-07:00,322.1464885075887 A
2017-12-22T00:00:00-07:00,308.6358726819356 A
2017-12-23T00:00:00-07:00,275.82521057128906 A
2017-12-24T00:00:00-07:00,273.30724477767944 A
2017-12-25T00:00:00-07:00,272.3049310048421 A
2017-12-26T00:00:00-07:00,290.8581263224284 A
2017-12-27T00:00:00-07:00,295.2324824333191 A
2017-12-28T00:00:00-07:00,280.8479905128479 A
2017-12-29T00:00:00-07:00,287.38654232025146 A
2017-12-30T00:00:00-07:00,294.4403409957886 A
2017-12-31T00:00:00-07:00,294.27675755818683 A
