Timestamp,['217a5abc-c1a482e1 0079-ECCLES BUSINESS BLDG Power Meter 319599 Phase (line) current I2']
2017-10-18T00:00:00-06:00,323.06219889322915 A
2017-10-19T00:00:00-06:00,306.17884763081867 A
2017-10-20T00:00:00-06:00,263.96594285964966 A
2017-10-21T00:00:00-06:00,248.47386487325033 A
2017-10-22T00:00:00-06:00,248.86644013722739 A
2017-10-23T00:00:00-06:00,302.1024072964986 A
2017-10-24T00:00:00-06:00,299.2475576400757 A
2017-10-25T00:00:00-06:00,298.0862383842468 A
2017-10-26T00:00:00-06:00,296.7559293111165 A
2017-10-27T00:00:00-06:00,265.07595920562744 A
2017-10-28T00:00:00-06:00,247.46389468510947 A
2017-10-29T00:00:00-06:00,239.65112257003784 A
2017-10-30T00:00:00-06:00,296.2672634124756 A
2017-10-31T00:00:00-06:00,250.58417256673178 A
2017-11-01T00:00:00-06:00,293.1531286239624 A
2017-11-02T00:00:00-06:00,303.51040776570636 A
2017-11-03T00:00:00-06:00,271.6876343091329 A
2017-11-04T00:00:00-06:00,240.45202271143594 A
2017-11-05T00:00:00-06:00,225.61689514160156 A
2017-11-06T00:00:00-07:00,291.0686108271281 A
2017-11-07T00:00:00-07:00,304.95185200373334 A
2017-11-08T00:00:00-07:00,308.14745648701984 A
2017-11-09T00:00:00-07:00,304.9506622950236 A
2017-11-10T00:00:00-07:00,246.74294726053873 A
2017-11-11T00:00:00-07:00,207.21946064631143 A
2017-11-12T00:00:00-07:00,254.88022184371948 A
2017-11-13T00:00:00-07:00,298.2638773918152 A
2017-11-14T00:00:00-07:00,291.7653530438741 A
2017-11-15T00:00:00-07:00,294.92887751261395 A
2017-11-16T00:00:00-07:00,303.657577196757 A
2017-11-17T00:00:00-07:00,264.83549960454303 A
2017-11-18T00:00:00-07:00,251.8072419166565 A
2017-11-19T00:00:00-07:00,240.9259498914083 A
2017-11-20T00:00:00-07:00,301.69841893513996 A
2017-11-21T00:00:00-07:00,300.5973337491353 A
2017-11-22T00:00:00-07:00,264.70233662923175 A
2017-11-23T00:00:00-07:00,234.81790685653687 A
2017-11-24T00:00:00-07:00,252.71356550852457 A
2017-11-25T00:00:00-07:00,243.47941986719766 A
2017-11-26T00:00:00-07:00,236.03134234746298 A
2017-11-27T00:00:00-07:00,293.0704158147176 A
2017-11-28T00:00:00-07:00,298.2053966522217 A
2017-11-29T00:00:00-07:00,300.6307463645935 A
2017-11-30T00:00:00-07:00,300.2148537635803 A
2017-12-01T00:00:00-07:00,260.81147146224976 A
2017-12-02T00:00:00-07:00,247.49430545171103 A
2017-12-03T00:00:00-07:00,243.2636227607727 A
2017-12-04T00:00:00-07:00,301.70725218455 A
2017-12-05T00:00:00-07:00,322.8466803232829 A
2017-12-06T00:00:00-07:00,322.49225934346515 A
2017-12-07T00:00:00-07:00,320.61336453755695 A
2017-12-08T00:00:00-07:00,287.2150462468465 A
2017-12-09T00:00:00-07:00,278.207156976064 A
2017-12-10T00:00:00-07:00,282.8203805287679 A
2017-12-11T00:00:00-07:00,326.6245199839274 A
2017-12-12T00:00:00-07:00,328.6754945119222 A
2017-12-13T00:00:00-07:00,337.3129946390788 A
2017-12-14T00:00:00-07:00,312.3398936589559 A
2017-12-15T00:00:00-07:00,279.18824275334674 A
2017-12-16T00:00:00-07:00,275.65367698669434 A
2017-12-17T00:00:00-07:00,269.15796820322674 A
2017-12-18T00:00:00-07:00,273.0073773784022 A
2017-12-19T00:00:00-07:00,266.36583677927655 A
2017-12-20T00:00:00-07:00,252.06537628173828 A
2017-12-21T00:00:00-07:00,279.3075011571248 A
2017-12-22T00:00:00-07:00,269.21473058064777 A
2017-12-23T00:00:00-07:00,246.62927198410034 A
2017-12-24T00:00:00-07:00,242.59367434183756 A
2017-12-25T00:00:00-07:00,241.47605069478354 A
2017-12-26T00:00:00-07:00,255.0361212094625 A
2017-12-27T00:00:00-07:00,258.0377022425334 A
2017-12-28T00:00:00-07:00,243.8660167058309 A
2017-12-29T00:00:00-07:00,246.38315153121948 A
2017-12-30T00:00:00-07:00,252.8640572230021 A
2017-12-31T00:00:00-07:00,250.76420148213705 A
