Timestamp,['217a5abc-ec8e3552 0079-ECCLES BUSINESS BLDG Power Meter 319599 Phase (line) current I1']
2017-10-18T00:00:00-06:00,301.6660169813368 A
2017-10-19T00:00:00-06:00,284.3202573458354 A
2017-10-20T00:00:00-06:00,256.2682771682739 A
2017-10-21T00:00:00-06:00,241.85942236582437 A
2017-10-22T00:00:00-06:00,243.70199330647787 A
2017-10-23T00:00:00-06:00,285.92517677942914 A
2017-10-24T00:00:00-06:00,285.9939783414205 A
2017-10-25T00:00:00-06:00,281.9083242416382 A
2017-10-26T00:00:00-06:00,278.18362108866376 A
2017-10-27T00:00:00-06:00,256.65369812647504 A
2017-10-28T00:00:00-06:00,237.03017822901407 A
2017-10-29T00:00:00-06:00,231.49273204803467 A
2017-10-30T00:00:00-06:00,273.6897694269816 A
2017-10-31T00:00:00-06:00,245.8370008468628 A
2017-11-01T00:00:00-06:00,277.6224757830302 A
2017-11-02T00:00:00-06:00,286.51014439264935 A
2017-11-03T00:00:00-06:00,264.8308935165405 A
2017-11-04T00:00:00-06:00,238.98854970932007 A
2017-11-05T00:00:00-06:00,222.58710205078125 A
2017-11-06T00:00:00-07:00,276.61440388361615 A
2017-11-07T00:00:00-07:00,292.27750571568805 A
2017-11-08T00:00:00-07:00,288.7612059911092 A
2017-11-09T00:00:00-07:00,284.1673889160156 A
2017-11-10T00:00:00-07:00,241.39900159835815 A
2017-11-11T00:00:00-07:00,201.15662161509195 A
2017-11-12T00:00:00-07:00,237.88729413350424 A
2017-11-13T00:00:00-07:00,279.20001729329425 A
2017-11-14T00:00:00-07:00,276.1674321492513 A
2017-11-15T00:00:00-07:00,278.07601801554364 A
2017-11-16T00:00:00-07:00,282.43549728393555 A
2017-11-17T00:00:00-07:00,255.63773091634116 A
2017-11-18T00:00:00-07:00,252.47265736262003 A
2017-11-19T00:00:00-07:00,229.92813920974731 A
2017-11-20T00:00:00-07:00,285.05057032903034 A
2017-11-21T00:00:00-07:00,286.22268025080365 A
2017-11-22T00:00:00-07:00,258.3751449584961 A
2017-11-23T00:00:00-07:00,226.2024744351705 A
2017-11-24T00:00:00-07:00,233.37597274780273 A
2017-11-25T00:00:00-07:00,222.96106115976968 A
2017-11-26T00:00:00-07:00,224.35227664311728 A
2017-11-27T00:00:00-07:00,277.0918119748433 A
2017-11-28T00:00:00-07:00,290.7194794019063 A
2017-11-29T00:00:00-07:00,289.6439827283223 A
2017-11-30T00:00:00-07:00,295.05437390009564 A
2017-12-01T00:00:00-07:00,266.09171835581463 A
2017-12-02T00:00:00-07:00,243.98573446273804 A
2017-12-03T00:00:00-07:00,241.26403697331747 A
2017-12-04T00:00:00-07:00,298.1513765652974 A
2017-12-05T00:00:00-07:00,317.7293809254964 A
2017-12-06T00:00:00-07:00,308.95370165507 A
2017-12-07T00:00:00-07:00,306.8938274383545 A
2017-12-08T00:00:00-07:00,290.12880150477093 A
2017-12-09T00:00:00-07:00,267.6894865036011 A
2017-12-10T00:00:00-07:00,267.36238288879395 A
2017-12-11T00:00:00-07:00,320.4004370371501 A
2017-12-12T00:00:00-07:00,321.78477509816486 A
2017-12-13T00:00:00-07:00,328.48222255706787 A
2017-12-14T00:00:00-07:00,313.75855382283527 A
2017-12-15T00:00:00-07:00,280.3350445429484 A
2017-12-16T00:00:00-07:00,256.11786524454754 A
2017-12-17T00:00:00-07:00,254.59342654546103 A
2017-12-18T00:00:00-07:00,278.41820731214295 A
2017-12-19T00:00:00-07:00,261.2678650220235 A
2017-12-20T00:00:00-07:00,255.06785217920938 A
2017-12-21T00:00:00-07:00,280.6726110776265 A
2017-12-22T00:00:00-07:00,270.16179752349854 A
2017-12-23T00:00:00-07:00,236.24530204137167 A
2017-12-24T00:00:00-07:00,235.68026653925577 A
2017-12-25T00:00:00-07:00,233.30132039388022 A
2017-12-26T00:00:00-07:00,248.79861179987589 A
2017-12-27T00:00:00-07:00,252.65127754211426 A
2017-12-28T00:00:00-07:00,242.43169021606445 A
2017-12-29T00:00:00-07:00,245.91724840799967 A
2017-12-30T00:00:00-07:00,255.5944970448812 A
2017-12-31T00:00:00-07:00,259.0862897237142 A
