Timestamp,['217a5ad0-2c0a5199 0079-ECCLES BUSINESS BLDG Power Meter 319599 Power demand']
2017-10-18T00:00:00-06:00,209414.29166666666 W
2017-10-19T00:00:00-06:00,199560.26888020834 W
2017-10-20T00:00:00-06:00,186163.1814778646 W
2017-10-21T00:00:00-06:00,177759.41796875 W
2017-10-22T00:00:00-06:00,176978.94108072916 W
2017-10-23T00:00:00-06:00,200783.671875 W
2017-10-24T00:00:00-06:00,198566.69775390625 W
2017-10-25T00:00:00-06:00,199490.63802083334 W
2017-10-26T00:00:00-06:00,197164.18229166666 W
2017-10-27T00:00:00-06:00,186002.2263997396 W
2017-10-28T00:00:00-06:00,176870.4288736979 W
2017-10-29T00:00:00-06:00,171094.2869466146 W
2017-10-30T00:00:00-06:00,198673.76985677084 W
2017-10-31T00:00:00-06:00,183364.20263671875 W
2017-11-01T00:00:00-06:00,198427.3787434896 W
2017-11-02T00:00:00-06:00,201373.67936197916 W
2017-11-03T00:00:00-06:00,189502.89973958334 W
2017-11-04T00:00:00-06:00,175823.0880533854 W
2017-11-05T00:00:00-06:00,168421.6903125 W
2017-11-06T00:00:00-07:00,198796.986328125 W
2017-11-07T00:00:00-07:00,202803.73876953125 W
2017-11-08T00:00:00-07:00,203102.9972330729 W
2017-11-09T00:00:00-07:00,200738.96256510416 W
2017-11-10T00:00:00-07:00,181128.49869791666 W
2017-11-11T00:00:00-07:00,159786.57568359375 W
2017-11-12T00:00:00-07:00,169006.69759114584 W
2017-11-13T00:00:00-07:00,195446.68505859375 W
2017-11-14T00:00:00-07:00,198006.4519856771 W
2017-11-15T00:00:00-07:00,198919.0470377604 W
2017-11-16T00:00:00-07:00,202252.4375 W
2017-11-17T00:00:00-07:00,185469.88997395834 W
2017-11-18T00:00:00-07:00,179148.00032552084 W
2017-11-19T00:00:00-07:00,171268.3603515625 W
2017-11-20T00:00:00-07:00,200566.4031575521 W
2017-11-21T00:00:00-07:00,198279.91943359375 W
2017-11-22T00:00:00-07:00,184379.3876953125 W
2017-11-23T00:00:00-07:00,170788.0763346354 W
2017-11-24T00:00:00-07:00,175472.3077799479 W
2017-11-25T00:00:00-07:00,172256.44303385416 W
2017-11-26T00:00:00-07:00,171468.41927083334 W
2017-11-27T00:00:00-07:00,198243.72395833334 W
2017-11-28T00:00:00-07:00,202151.95279947916 W
2017-11-29T00:00:00-07:00,202170.943359375 W
2017-11-30T00:00:00-07:00,201481.9679361979 W
2017-12-01T00:00:00-07:00,186554.48828125 W
2017-12-02T00:00:00-07:00,179017.65983072916 W
2017-12-03T00:00:00-07:00,175454.82470703125 W
2017-12-04T00:00:00-07:00,201911.03564453125 W
2017-12-05T00:00:00-07:00,209467.4728190104 W
2017-12-06T00:00:00-07:00,207296.61946614584 W
2017-12-07T00:00:00-07:00,207124.5486653646 W
2017-12-08T00:00:00-07:00,194471.8058268229 W
2017-12-09T00:00:00-07:00,186131.2029622396 W
2017-12-10T00:00:00-07:00,187258.791015625 W
2017-12-11T00:00:00-07:00,208904.35579427084 W
2017-12-12T00:00:00-07:00,207482.30143229166 W
2017-12-13T00:00:00-07:00,210625.8732096354 W
2017-12-14T00:00:00-07:00,205157.15104166666 W
2017-12-15T00:00:00-07:00,191000.85205078125 W
2017-12-16T00:00:00-07:00,182799.3846028646 W
2017-12-17T00:00:00-07:00,180922.49446614584 W
2017-12-18T00:00:00-07:00,187439.1384408602 W
2017-12-19T00:00:00-07:00,187322.60595703125 W
2017-12-20T00:00:00-07:00,179899.6209309896 W
2017-12-21T00:00:00-07:00,188137.546875 W
2017-12-22T00:00:00-07:00,186183.17447916666 W
2017-12-23T00:00:00-07:00,174239.87760416666 W
2017-12-24T00:00:00-07:00,171379.3173828125 W
2017-12-25T00:00:00-07:00,172538.29345703125 W
2017-12-26T00:00:00-07:00,177648.78857421875 W
2017-12-27T00:00:00-07:00,180671.70865885416 W
2017-12-28T00:00:00-07:00,178008.9873046875 W
2017-12-29T00:00:00-07:00,177679.73372395834 W
2017-12-30T00:00:00-07:00,180429.71826171875 W
2017-12-31T00:00:00-07:00,179630.29345703125 W
