Timestamp,['21837eac-07fc9e17 0098-BURBIDGE ATHLETICS ACADEMIC CNTR Power Meter 300222 Amps B']
2017-10-25T00:00:00-06:00,1.2603469631251167 A
2017-10-26T00:00:00-06:00,1.208583305279414 A
2017-10-27T00:00:00-06:00,1.106931432460745 A
2017-10-28T00:00:00-06:00,0.9611810073256493 A
2017-10-29T00:00:00-06:00,1.0385411120951176 A
2017-10-30T00:00:00-06:00,1.2531330802788336 A
2017-10-31T00:00:00-06:00,1.2369553819298744 A
2017-11-01T00:00:00-06:00,1.2887860698004563 A
2017-11-02T00:00:00-06:00,1.2978903502225876 A
2017-11-03T00:00:00-06:00,1.1570228549341361 A
2017-11-04T00:00:00-06:00,0.9695009483645359 A
2017-11-05T00:00:00-06:00,1.0072790497541428 A
2017-11-06T00:00:00-07:00,1.2313560793797176 A
2017-11-07T00:00:00-07:00,1.2240820061415434 A
2017-11-08T00:00:00-07:00,1.2309738552818696 A
2017-11-09T00:00:00-07:00,1.2626521725403634 A
2017-11-10T00:00:00-07:00,1.1878078347758243 A
2017-11-11T00:00:00-07:00,1.1170347792406876 A
2017-11-12T00:00:00-07:00,1.1488313917070627 A
2017-11-13T00:00:00-07:00,1.2626868809262912 A
2017-11-14T00:00:00-07:00,1.2192378900945187 A
2017-11-15T00:00:00-07:00,1.1861962384233873 A
2017-11-16T00:00:00-07:00,1.2795908885697524 A
2017-11-17T00:00:00-07:00,1.1559901746610801 A
2017-11-18T00:00:00-07:00,1.0522148149708908 A
2017-11-19T00:00:00-07:00,1.0984217822551727 A
2017-11-20T00:00:00-07:00,1.2344772679110367 A
2017-11-21T00:00:00-07:00,1.2306806122263272 A
2017-11-22T00:00:00-07:00,1.0921776418884594 A
2017-11-23T00:00:00-07:00,0.9461011191209158 A
2017-11-24T00:00:00-07:00,1.0010426957160234 A
2017-11-25T00:00:00-07:00,0.9754698152343432 A
2017-11-26T00:00:00-07:00,0.9751273387422165 A
2017-11-27T00:00:00-07:00,1.2799949689457815 A
2017-11-28T00:00:00-07:00,1.240943145006895 A
2017-11-29T00:00:00-07:00,1.227344714726011 A
2017-11-30T00:00:00-07:00,1.3012548660238583 A
2017-12-01T00:00:00-07:00,1.1504672939578693 A
2017-12-02T00:00:00-07:00,0.9998906813561916 A
2017-12-03T00:00:00-07:00,1.0541880900661151 A
2017-12-04T00:00:00-07:00,1.1813864186406136 A
2017-12-05T00:00:00-07:00,1.213447454101161 A
2017-12-06T00:00:00-07:00,1.1703609575827916 A
2017-12-07T00:00:00-07:00,1.2216513988872368 A
2017-12-08T00:00:00-07:00,1.1534346584230661 A
2017-12-09T00:00:00-07:00,0.9071391293158134 A
2017-12-10T00:00:00-07:00,1.0061225288858016 A
2017-12-11T00:00:00-07:00,1.2169193997979164 A
2017-12-12T00:00:00-07:00,1.203467798108856 A
2017-12-13T00:00:00-07:00,1.1779039644946654 A
2017-12-14T00:00:00-07:00,1.2223453986017327 A
2017-12-15T00:00:00-07:00,1.1888790912926197 A
2017-12-16T00:00:00-07:00,1.003788823261857 A
2017-12-17T00:00:00-07:00,1.0034109546492498 A
2017-12-18T00:00:00-07:00,1.1967153690194572 A
2017-12-19T00:00:00-07:00,1.2097894288599491 A
2017-12-20T00:00:00-07:00,1.349007215971748 A
2017-12-21T00:00:00-07:00,1.2299831894536812 A
2017-12-22T00:00:00-07:00,1.1114154389030055 A
2017-12-23T00:00:00-07:00,1.0344087270398934 A
2017-12-24T00:00:00-07:00,1.0539215958366792 A
2017-12-25T00:00:00-07:00,1.0505003426223993 A
2017-12-26T00:00:00-07:00,1.0412903142472107 A
2017-12-27T00:00:00-07:00,1.0772966643174489 A
2017-12-28T00:00:00-07:00,1.1001799445403249 A
2017-12-29T00:00:00-07:00,1.0345613018920023 A
2017-12-30T00:00:00-07:00,0.9693858282019695 A
2017-12-31T00:00:00-07:00,1.0114752762019634 A
