Timestamp,['21837eb0-7f892fc3 0098-BURBIDGE ATHLETICS ACADEMIC CNTR Power Meter 300222 Amps C']
2017-10-25T00:00:00-06:00,0.9337315606135949 A
2017-10-26T00:00:00-06:00,0.9105690363794565 A
2017-10-27T00:00:00-06:00,0.8682581949979067 A
2017-10-28T00:00:00-06:00,0.8031082823872566 A
2017-10-29T00:00:00-06:00,0.8124011686692635 A
2017-10-30T00:00:00-06:00,0.9483957222352425 A
2017-10-31T00:00:00-06:00,0.932109451542298 A
2017-11-01T00:00:00-06:00,0.9794233633826176 A
2017-11-02T00:00:00-06:00,0.9493620470166206 A
2017-11-03T00:00:00-06:00,0.9061786613116661 A
2017-11-04T00:00:00-06:00,0.8111362258593241 A
2017-11-05T00:00:00-06:00,0.7845293486118317 A
2017-11-06T00:00:00-07:00,0.9011887231220802 A
2017-11-07T00:00:00-07:00,0.9117984337111315 A
2017-11-08T00:00:00-07:00,0.9401882806171974 A
2017-11-09T00:00:00-07:00,0.9070259765574806 A
2017-11-10T00:00:00-07:00,0.9199658124070419 A
2017-11-11T00:00:00-07:00,0.8163668749233087 A
2017-11-12T00:00:00-07:00,0.8012028206139803 A
2017-11-13T00:00:00-07:00,0.9468057819952568 A
2017-11-14T00:00:00-07:00,0.9205677670737108 A
2017-11-15T00:00:00-07:00,0.9060867329438528 A
2017-11-16T00:00:00-07:00,0.9614734531690677 A
2017-11-17T00:00:00-07:00,0.976078308497866 A
2017-11-18T00:00:00-07:00,0.8956859018653631 A
2017-11-19T00:00:00-07:00,0.8906683145711819 A
2017-11-20T00:00:00-07:00,0.9599258086333672 A
2017-11-21T00:00:00-07:00,0.9261374479780594 A
2017-11-22T00:00:00-07:00,0.869007662559549 A
2017-11-23T00:00:00-07:00,0.8140913502623638 A
2017-11-24T00:00:00-07:00,0.8415876490374407 A
2017-11-25T00:00:00-07:00,0.8326244968920946 A
2017-11-26T00:00:00-07:00,0.8252228560547034 A
2017-11-27T00:00:00-07:00,0.9983629106233517 A
2017-11-28T00:00:00-07:00,0.9573255181312561 A
2017-11-29T00:00:00-07:00,0.948635014394919 A
2017-11-30T00:00:00-07:00,0.985890838628014 A
2017-12-01T00:00:00-07:00,0.9262126920123895 A
2017-12-02T00:00:00-07:00,0.8603354233006636 A
2017-12-03T00:00:00-07:00,0.8759786499043306 A
2017-12-04T00:00:00-07:00,0.9807967028270165 A
2017-12-05T00:00:00-07:00,0.9797438019200375 A
2017-12-06T00:00:00-07:00,0.9454710179318985 A
2017-12-07T00:00:00-07:00,0.9714769714822372 A
2017-12-08T00:00:00-07:00,0.9058286777387062 A
2017-12-09T00:00:00-07:00,0.8098396255324284 A
2017-12-10T00:00:00-07:00,0.8496939148753881 A
2017-12-11T00:00:00-07:00,0.9947549626231194 A
2017-12-12T00:00:00-07:00,0.9750339419891437 A
2017-12-13T00:00:00-07:00,0.9705793919662634 A
2017-12-14T00:00:00-07:00,0.974343878971903 A
2017-12-15T00:00:00-07:00,0.9613251245270172 A
2017-12-16T00:00:00-07:00,0.8402437213808298 A
2017-12-17T00:00:00-07:00,0.8295072664817175 A
2017-12-18T00:00:00-07:00,0.9094238781159923 A
2017-12-19T00:00:00-07:00,0.9267845718810955 A
2017-12-20T00:00:00-07:00,1.0503234366575878 A
2017-12-21T00:00:00-07:00,0.9617849749823412 A
2017-12-22T00:00:00-07:00,0.9584855587858903 A
2017-12-23T00:00:00-07:00,0.9208211166163286 A
2017-12-24T00:00:00-07:00,0.9066089962919553 A
2017-12-25T00:00:00-07:00,0.9044523555785418 A
2017-12-26T00:00:00-07:00,0.9013184985766808 A
2017-12-27T00:00:00-07:00,0.9179079408446947 A
2017-12-28T00:00:00-07:00,0.9331559996855886 A
2017-12-29T00:00:00-07:00,0.8877671460310618 A
2017-12-30T00:00:00-07:00,0.806585139905413 A
2017-12-31T00:00:00-07:00,0.856275420015057 A
