Timestamp,['21837ec5-12c49e1a 0098-BURBIDGE ATHLETICS ACADEMIC CNTR Power Meter 300222 Volts A-N']
2017-10-25T00:00:00-06:00,280.81104532877606 V
2017-10-26T00:00:00-06:00,280.9129002888997 V
2017-10-27T00:00:00-06:00,281.26037279764813 V
2017-10-28T00:00:00-06:00,281.3873602549235 V
2017-10-29T00:00:00-06:00,280.9205010732015 V
2017-10-30T00:00:00-06:00,280.8530060450236 V
2017-10-31T00:00:00-06:00,281.0285870234172 V
2017-11-01T00:00:00-06:00,280.44409624735516 V
2017-11-02T00:00:00-06:00,280.6626574198405 V
2017-11-03T00:00:00-06:00,280.9773070017497 V
2017-11-04T00:00:00-06:00,281.0793727238973 V
2017-11-05T00:00:00-06:00,281.1209967041016 V
2017-11-06T00:00:00-07:00,281.085786819458 V
2017-11-07T00:00:00-07:00,280.88635476430255 V
2017-11-08T00:00:00-07:00,281.0712359746297 V
2017-11-09T00:00:00-07:00,280.6469273617393 V
2017-11-10T00:00:00-07:00,281.192527369449 V
2017-11-11T00:00:00-07:00,281.0731207529704 V
2017-11-12T00:00:00-07:00,281.06765874226886 V
2017-11-13T00:00:00-07:00,280.85326703389484 V
2017-11-14T00:00:00-07:00,281.44970353444415 V
2017-11-15T00:00:00-07:00,281.1421699523926 V
2017-11-16T00:00:00-07:00,280.8516101837158 V
2017-11-17T00:00:00-07:00,280.96872584025067 V
2017-11-18T00:00:00-07:00,281.27092202504474 V
2017-11-19T00:00:00-07:00,281.3499568303426 V
2017-11-20T00:00:00-07:00,281.2904472351074 V
2017-11-21T00:00:00-07:00,281.30180263519287 V
2017-11-22T00:00:00-07:00,281.3580010732015 V
2017-11-23T00:00:00-07:00,281.50414816538495 V
2017-11-24T00:00:00-07:00,281.1935577392578 V
2017-11-25T00:00:00-07:00,281.273362159729 V
2017-11-26T00:00:00-07:00,281.5260337193807 V
2017-11-27T00:00:00-07:00,281.4497776031494 V
2017-11-28T00:00:00-07:00,281.5366163253784 V
2017-11-29T00:00:00-07:00,281.2467212677002 V
2017-11-30T00:00:00-07:00,281.5287167231242 V
2017-12-01T00:00:00-07:00,281.11269251505536 V
2017-12-02T00:00:00-07:00,281.025429725647 V
2017-12-03T00:00:00-07:00,281.382674853007 V
2017-12-04T00:00:00-07:00,281.2245292663574 V
2017-12-05T00:00:00-07:00,281.3909847861842 V
2017-12-06T00:00:00-07:00,281.3225860595703 V
2017-12-07T00:00:00-07:00,281.2926082611084 V
2017-12-08T00:00:00-07:00,281.12826188405353 V
2017-12-09T00:00:00-07:00,281.1835708618164 V
2017-12-10T00:00:00-07:00,281.290864944458 V
2017-12-11T00:00:00-07:00,281.33156299591064 V
2017-12-12T00:00:00-07:00,280.98887062072754 V
2017-12-13T00:00:00-07:00,281.494109471639 V
2017-12-14T00:00:00-07:00,281.3357990465666 V
2017-12-15T00:00:00-07:00,281.58161004384357 V
2017-12-16T00:00:00-07:00,281.1917254130046 V
2017-12-17T00:00:00-07:00,281.0017458597819 V
2017-12-18T00:00:00-07:00,280.92992409326695 V
2017-12-19T00:00:00-07:00,281.2393960952759 V
2017-12-20T00:00:00-07:00,281.14208189646405 V
2017-12-21T00:00:00-07:00,281.1539023717244 V
2017-12-22T00:00:00-07:00,281.3678437885485 V
2017-12-23T00:00:00-07:00,280.86654631296796 V
2017-12-24T00:00:00-07:00,281.32920996348065 V
2017-12-25T00:00:00-07:00,281.6138725280762 V
2017-12-26T00:00:00-07:00,281.7104657491048 V
2017-12-27T00:00:00-07:00,280.7026615142822 V
2017-12-28T00:00:00-07:00,281.6537122224507 V
2017-12-29T00:00:00-07:00,281.08905601501465 V
2017-12-30T00:00:00-07:00,281.3984082539876 V
2017-12-31T00:00:00-07:00,281.01788934071857 V
