Timestamp,"['21837ed6-fd305472 0098-BURBIDGE ATHLETICS ACADEMIC CNTR Power Meter 300222 Watts, 3-Ph total']"
2017-10-25T00:00:00-06:00,-0.23656824231147766 kW
2017-10-26T00:00:00-06:00,-0.240021213889122 kW
2017-10-27T00:00:00-06:00,-0.235112264752388 kW
2017-10-28T00:00:00-06:00,-0.2458888590335846 kW
2017-10-29T00:00:00-06:00,-0.2467750757932663 kW
2017-10-30T00:00:00-06:00,-0.23926673829555511 kW
2017-10-31T00:00:00-06:00,-0.24940185248851776 kW
2017-11-01T00:00:00-06:00,-0.2586978077888489 kW
2017-11-02T00:00:00-06:00,-0.25009822845458984 kW
2017-11-03T00:00:00-06:00,-0.24118569493293762 kW
2017-11-04T00:00:00-06:00,-0.25759175419807434 kW
2017-11-05T00:00:00-06:00,-0.26257771253585815 kW
2017-11-06T00:00:00-07:00,-0.23216773569583893 kW
2017-11-07T00:00:00-07:00,-0.23628060519695282 kW
2017-11-08T00:00:00-07:00,-0.2213371992111206 kW
2017-11-09T00:00:00-07:00,-0.24553489685058594 kW
2017-11-10T00:00:00-07:00,-0.2510196268558502 kW
2017-11-11T00:00:00-07:00,-0.2540804147720337 kW
2017-11-12T00:00:00-07:00,-0.29843321442604065 kW
2017-11-13T00:00:00-07:00,-0.23955979943275452 kW
2017-11-14T00:00:00-07:00,-0.23581776022911072 kW
2017-11-15T00:00:00-07:00,-0.2163606435060501 kW
2017-11-16T00:00:00-07:00,-0.24311213195323944 kW
2017-11-17T00:00:00-07:00,-0.22780130803585052 kW
2017-11-18T00:00:00-07:00,-0.2618265450000763 kW
2017-11-19T00:00:00-07:00,-0.2492518573999405 kW
2017-11-20T00:00:00-07:00,-0.23004379868507385 kW
2017-11-21T00:00:00-07:00,-0.2444123774766922 kW
2017-11-22T00:00:00-07:00,-0.2308959662914276 kW
2017-11-23T00:00:00-07:00,-0.2310740351676941 kW
2017-11-24T00:00:00-07:00,-0.22245854139328003 kW
2017-11-25T00:00:00-07:00,-0.23322001099586487 kW
2017-11-26T00:00:00-07:00,-0.2251145988702774 kW
2017-11-27T00:00:00-07:00,-0.23055103421211243 kW
2017-11-28T00:00:00-07:00,-0.22275958955287933 kW
2017-11-29T00:00:00-07:00,-0.2178410440683365 kW
2017-11-30T00:00:00-07:00,-0.22866523265838623 kW
2017-12-01T00:00:00-07:00,-0.22264495491981506 kW
2017-12-02T00:00:00-07:00,-0.2251182645559311 kW
2017-12-03T00:00:00-07:00,-0.21625317633152008 kW
2017-12-04T00:00:00-07:00,-0.21135498583316803 kW
2017-12-05T00:00:00-07:00,-0.1988123655319214 kW
2017-12-06T00:00:00-07:00,-0.17012707889080048 kW
2017-12-07T00:00:00-07:00,-0.19833077490329742 kW
2017-12-08T00:00:00-07:00,-0.22302621603012085 kW
2017-12-09T00:00:00-07:00,-0.21104876697063446 kW
2017-12-10T00:00:00-07:00,-0.20587219297885895 kW
2017-12-11T00:00:00-07:00,-0.209670290350914 kW
2017-12-12T00:00:00-07:00,-0.2142336666584015 kW
2017-12-13T00:00:00-07:00,-0.2114039808511734 kW
2017-12-14T00:00:00-07:00,-0.21440927684307098 kW
2017-12-15T00:00:00-07:00,-0.2319927215576172 kW
2017-12-16T00:00:00-07:00,-0.21526610851287842 kW
2017-12-17T00:00:00-07:00,-0.236644446849823 kW
2017-12-18T00:00:00-07:00,-0.24143800139427185 kW
2017-12-19T00:00:00-07:00,-0.22105859220027924 kW
2017-12-20T00:00:00-07:00,-0.24138692021369934 kW
2017-12-21T00:00:00-07:00,-0.2225559651851654 kW
2017-12-22T00:00:00-07:00,-0.21646471321582794 kW
2017-12-23T00:00:00-07:00,-0.2161073535680771 kW
2017-12-24T00:00:00-07:00,-0.22312884032726288 kW
2017-12-25T00:00:00-07:00,-0.22632044553756714 kW
2017-12-26T00:00:00-07:00,-0.21849556267261505 kW
2017-12-27T00:00:00-07:00,-0.22556698322296143 kW
2017-12-28T00:00:00-07:00,-0.22818702459335327 kW
2017-12-29T00:00:00-07:00,-0.2285885214805603 kW
2017-12-30T00:00:00-07:00,-0.22864532470703125 kW
2017-12-31T00:00:00-07:00,-0.22636032104492188 kW
