Timestamp,"['218e22a8-598daa24 0098-BURBIDGE ATHLETICS ACADEMIC CNTR Power Meter 300222 W-hours, Total']"
2017-11-02T00:00:00-06:00,658079.48828125 kWh
2017-11-03T00:00:00-06:00,1404567.7314453125 kWh
2017-11-04T00:00:00-06:00,1405362.9560546875 kWh
2017-11-05T00:00:00-06:00,1464718.0224609375 kWh
2017-11-06T00:00:00-07:00,1407040.8779296875 kWh
2017-11-07T00:00:00-07:00,1408012.6279296875 kWh
2017-11-08T00:00:00-07:00,1408944.6103515625 kWh
2017-11-09T00:00:00-07:00,1395247.0361328125 kWh
2017-11-10T00:00:00-07:00,1396204.1591796875 kWh
2017-11-11T00:00:00-07:00,1411765.25 kWh
2017-11-12T00:00:00-07:00,1412634.7783203125 kWh
2017-11-13T00:00:00-07:00,1413584.890625 kWh
2017-11-14T00:00:00-07:00,1414568.3505859375 kWh
2017-11-15T00:00:00-07:00,1415516.0888671875 kWh
2017-11-16T00:00:00-07:00,1416465.4443359375 kWh
2017-11-17T00:00:00-07:00,1417384.4775390625 kWh
2017-11-18T00:00:00-07:00,1418146.7666015625 kWh
2017-11-19T00:00:00-07:00,1418889.783203125 kWh
2017-11-20T00:00:00-07:00,1419746.517578125 kWh
2017-11-21T00:00:00-07:00,1420728.59375 kWh
2017-11-22T00:00:00-07:00,1421663.447265625 kWh
2017-11-23T00:00:00-07:00,1422358.6494140625 kWh
2017-11-24T00:00:00-07:00,1423003.0908203125 kWh
2017-11-25T00:00:00-07:00,1423649.328125 kWh
2017-11-26T00:00:00-07:00,1424301.03125 kWh
2017-11-27T00:00:00-07:00,1425088.326171875 kWh
2017-11-28T00:00:00-07:00,1426026.19921875 kWh
2017-11-29T00:00:00-07:00,1426943.59375 kWh
2017-11-30T00:00:00-07:00,1427908.0029296875 kWh
2017-12-01T00:00:00-07:00,1428835.494140625 kWh
2017-12-02T00:00:00-07:00,1429598.6142578125 kWh
2017-12-03T00:00:00-07:00,1430267.779296875 kWh
2017-12-04T00:00:00-07:00,1431065.90234375 kWh
2017-12-05T00:00:00-07:00,1417009.1796875 kWh
2017-12-06T00:00:00-07:00,1432792.9208984375 kWh
2017-12-07T00:00:00-07:00,1433654.5185546875 kWh
2017-12-08T00:00:00-07:00,1434545.3095703125 kWh
2017-12-09T00:00:00-07:00,1435267.6591796875 kWh
2017-12-10T00:00:00-07:00,1435881.498046875 kWh
2017-12-11T00:00:00-07:00,1436706.7109375 kWh
2017-12-12T00:00:00-07:00,1437579.25 kWh
2017-12-13T00:00:00-07:00,1438415.888671875 kWh
2017-12-14T00:00:00-07:00,1424303.318359375 kWh
2017-12-15T00:00:00-07:00,1440125.3251953125 kWh
2017-12-16T00:00:00-07:00,1440842.8681640625 kWh
2017-12-17T00:00:00-07:00,1441463.5654296875 kWh
2017-12-18T00:00:00-07:00,1397140.4580078125 kWh
2017-12-19T00:00:00-07:00,1443029.2685546875 kWh
2017-12-20T00:00:00-07:00,1443928.7744140625 kWh
2017-12-21T00:00:00-07:00,1444808.748046875 kWh
2017-12-22T00:00:00-07:00,1430460.5927734375 kWh
2017-12-23T00:00:00-07:00,1446109.8984375 kWh
2017-12-24T00:00:00-07:00,1446697.09765625 kWh
2017-12-25T00:00:00-07:00,1447300.849609375 kWh
2017-12-26T00:00:00-07:00,1447887.1689453125 kWh
2017-12-27T00:00:00-07:00,1448520.4482421875 kWh
2017-12-28T00:00:00-07:00,1434108.5400390625 kWh
2017-12-29T00:00:00-07:00,1449858.0107421875 kWh
2017-12-30T00:00:00-07:00,1450506.94140625 kWh
2017-12-31T00:00:00-07:00,1451130.97265625 kWh
