Timestamp,['21938992-ecc7b648 0045-TANNER IRISH HUMANITIES BLDG Power Meter 120V (318841) Energy Total']
2017-11-06T00:00:00-07:00,379596.3984375 kWh
2017-11-07T00:00:00-07:00,931649.6025390625 kWh
2017-11-08T00:00:00-07:00,942262.6005859375 kWh
2017-11-09T00:00:00-07:00,992264.5986328125 kWh
2017-11-10T00:00:00-07:00,1011748.6044921875 kWh
2017-11-11T00:00:00-07:00,1049910.404296875 kWh
2017-11-12T00:00:00-07:00,1075592.8984375 kWh
2017-11-13T00:00:00-07:00,1103572.30078125 kWh
2017-11-14T00:00:00-07:00,1134688.697265625 kWh
2017-11-15T00:00:00-07:00,1165688.8984375 kWh
2017-11-16T00:00:00-07:00,1196589.8984375 kWh
2017-11-17T00:00:00-07:00,1226810.205078125 kWh
2017-11-18T00:00:00-07:00,1254844.3994140625 kWh
2017-11-19T00:00:00-07:00,1281177.8984375 kWh
2017-11-20T00:00:00-07:00,1309471.2978515625 kWh
2017-11-21T00:00:00-07:00,1339598.2978515625 kWh
2017-11-22T00:00:00-07:00,1368748.7978515625 kWh
2017-11-23T00:00:00-07:00,1395118.5009765625 kWh
2017-11-24T00:00:00-07:00,1420144.3046875 kWh
2017-11-25T00:00:00-07:00,1445193.099609375 kWh
2017-11-26T00:00:00-07:00,1470108.6005859375 kWh
2017-11-27T00:00:00-07:00,1497404.8017578125 kWh
2017-11-28T00:00:00-07:00,1527374.6962890625 kWh
2017-11-29T00:00:00-07:00,1560793.6015625 kWh
2017-11-30T00:00:00-07:00,1601678.890625 kWh
2017-12-01T00:00:00-07:00,1643263.8984375 kWh
2017-12-02T00:00:00-07:00,1681559.794921875 kWh
2017-12-03T00:00:00-07:00,1715035.09375 kWh
2017-12-04T00:00:00-07:00,1752275.10546875 kWh
2017-12-05T00:00:00-07:00,1793224.498046875 kWh
2017-12-06T00:00:00-07:00,1834281.408203125 kWh
2017-12-07T00:00:00-07:00,1874591.904296875 kWh
2017-12-08T00:00:00-07:00,1915055.5 kWh
2017-12-09T00:00:00-07:00,1952205.00390625 kWh
2017-12-10T00:00:00-07:00,1985223.59765625 kWh
2017-12-11T00:00:00-07:00,2021152.705078125 kWh
2017-12-12T00:00:00-07:00,2060229.205078125 kWh
2017-12-13T00:00:00-07:00,2100254.19140625 kWh
2017-12-14T00:00:00-07:00,2139571.5 kWh
2017-12-15T00:00:00-07:00,2178122.099609375 kWh
2017-12-16T00:00:00-07:00,2213639.302734375 kWh
2017-12-17T00:00:00-07:00,2246500.29296875 kWh
2017-12-18T00:00:00-07:00,2209129.990234375 kWh
2017-12-19T00:00:00-07:00,2315279.49609375 kWh
2017-12-20T00:00:00-07:00,2349438.998046875 kWh
2017-12-21T00:00:00-07:00,2358008.59765625 kWh
2017-12-22T00:00:00-07:00,2414297.603515625 kWh
2017-12-23T00:00:00-07:00,2444337.396484375 kWh
2017-12-24T00:00:00-07:00,2474027.103515625 kWh
2017-12-25T00:00:00-07:00,2503890.5 kWh
2017-12-26T00:00:00-07:00,2533612.39453125 kWh
2017-12-27T00:00:00-07:00,2563934.294921875 kWh
2017-12-28T00:00:00-07:00,2595416.1015625 kWh
2017-12-29T00:00:00-07:00,2626241.095703125 kWh
2017-12-30T00:00:00-07:00,2656352.904296875 kWh
2017-12-31T00:00:00-07:00,2686507.8984375 kWh
