Timestamp,['219389a4-4e778415 0045-TANNER IRISH HUMANITIES BLDG Power Meter 480V (318842) Energy Total']
2017-11-06T00:00:00-07:00,1561418.19140625 kWh
2017-11-07T00:00:00-07:00,3839608.3828125 kWh
2017-11-08T00:00:00-07:00,3970829.1015625 kWh
2017-11-09T00:00:00-07:00,4107115.1171875 kWh
2017-11-10T00:00:00-07:00,4241482.99609375 kWh
2017-11-11T00:00:00-07:00,4372263.40234375 kWh
2017-11-12T00:00:00-07:00,4497998.29296875 kWh
2017-11-13T00:00:00-07:00,4625553.90625 kWh
2017-11-14T00:00:00-07:00,4759122.1875 kWh
2017-11-15T00:00:00-07:00,4891258.5 kWh
2017-11-16T00:00:00-07:00,5026796.40625 kWh
2017-11-17T00:00:00-07:00,5156824.99609375 kWh
2017-11-18T00:00:00-07:00,5286769.30078125 kWh
2017-11-19T00:00:00-07:00,5410282.9921875 kWh
2017-11-20T00:00:00-07:00,5535887.89453125 kWh
2017-11-21T00:00:00-07:00,5668088.69140625 kWh
2017-11-22T00:00:00-07:00,5802481.10546875 kWh
2017-11-23T00:00:00-07:00,5934651.11328125 kWh
2017-11-24T00:00:00-07:00,6066446.09765625 kWh
2017-11-25T00:00:00-07:00,6194419.98828125 kWh
2017-11-26T00:00:00-07:00,6316143.5859375 kWh
2017-11-27T00:00:00-07:00,6443835.6640625 kWh
2017-11-28T00:00:00-07:00,6562125.5625 kWh
2017-11-29T00:00:00-07:00,6652649.9921875 kWh
2017-11-30T00:00:00-07:00,6819458.015625 kWh
2017-12-01T00:00:00-07:00,6987735.9765625 kWh
2017-12-02T00:00:00-07:00,7145174.265625 kWh
2017-12-03T00:00:00-07:00,7285140.4375 kWh
2017-12-04T00:00:00-07:00,7431844.2890625 kWh
2017-12-05T00:00:00-07:00,7603427.7109375 kWh
2017-12-06T00:00:00-07:00,7776492.7734375 kWh
2017-12-07T00:00:00-07:00,7956726.0859375 kWh
2017-12-08T00:00:00-07:00,8137917.3984375 kWh
2017-12-09T00:00:00-07:00,8309561.328125 kWh
2017-12-10T00:00:00-07:00,8462884.3046875 kWh
2017-12-11T00:00:00-07:00,8623644.8125 kWh
2017-12-12T00:00:00-07:00,8798939.9765625 kWh
2017-12-13T00:00:00-07:00,8974819.421875 kWh
2017-12-14T00:00:00-07:00,9152013.6875 kWh
2017-12-15T00:00:00-07:00,9332171.9921875 kWh
2017-12-16T00:00:00-07:00,9503396.40625 kWh
2017-12-17T00:00:00-07:00,9660650.9296875 kWh
2017-12-18T00:00:00-07:00,9517495.0859375 kWh
2017-12-19T00:00:00-07:00,9989260.921875 kWh
2017-12-20T00:00:00-07:00,1.01493491015625E7 kWh
2017-12-21T00:00:00-07:00,1.03057937265625E7 kWh
2017-12-22T00:00:00-07:00,1.04579952109375E7 kWh
2017-12-23T00:00:00-07:00,1.06076938125E7 kWh
2017-12-24T00:00:00-07:00,1.0755674921875E7 kWh
2017-12-25T00:00:00-07:00,1.0906172328125E7 kWh
2017-12-26T00:00:00-07:00,1.10587714140625E7 kWh
2017-12-27T00:00:00-07:00,1.12145864765625E7 kWh
2017-12-28T00:00:00-07:00,1.1375499703125E7 kWh
2017-12-29T00:00:00-07:00,1.153555771875E7 kWh
2017-12-30T00:00:00-07:00,1.1688066796875E7 kWh
2017-12-31T00:00:00-07:00,1.18416543046875E7 kWh
