Timestamp,['21962c14-a562020b 0151-SORENSON MOLECULAR Power Meter-3 300241 Amps C']
2017-11-08T00:00:00-07:00,84.48570098876954 A
2017-11-09T00:00:00-07:00,88.93588590621948 A
2017-11-10T00:00:00-07:00,91.36286354064941 A
2017-11-11T00:00:00-07:00,91.93786287307739 A
2017-11-12T00:00:00-07:00,91.9518214861552 A
2017-11-13T00:00:00-07:00,93.43411254882812 A
2017-11-14T00:00:00-07:00,92.08109243710835 A
2017-11-15T00:00:00-07:00,102.04171180725098 A
2017-11-16T00:00:00-07:00,108.15920813878377 A
2017-11-17T00:00:00-07:00,109.6659775575002 A
2017-11-18T00:00:00-07:00,108.74181214968364 A
2017-11-19T00:00:00-07:00,108.28868699073792 A
2017-11-20T00:00:00-07:00,108.85504086812337 A
2017-11-21T00:00:00-07:00,114.11253746350606 A
2017-11-22T00:00:00-07:00,117.0164942741394 A
2017-11-23T00:00:00-07:00,116.5499324798584 A
2017-11-24T00:00:00-07:00,116.10774517059326 A
2017-11-25T00:00:00-07:00,116.86014048258464 A
2017-11-26T00:00:00-07:00,116.02816160519917 A
2017-11-27T00:00:00-07:00,116.22857824961345 A
2017-11-28T00:00:00-07:00,116.95972331364949 A
2017-11-29T00:00:00-07:00,115.90097482999165 A
2017-11-30T00:00:00-07:00,110.17118589083354 A
2017-12-01T00:00:00-07:00,112.0237889289856 A
2017-12-02T00:00:00-07:00,109.7362904548645 A
2017-12-03T00:00:00-07:00,109.5907696088155 A
2017-12-04T00:00:00-07:00,114.96399553616841 A
2017-12-05T00:00:00-07:00,119.30284690856934 A
2017-12-06T00:00:00-07:00,119.04795217514038 A
2017-12-07T00:00:00-07:00,119.15128501256306 A
2017-12-08T00:00:00-07:00,117.98639011383057 A
2017-12-09T00:00:00-07:00,118.6008689403534 A
2017-12-10T00:00:00-07:00,117.91524386405945 A
2017-12-11T00:00:00-07:00,117.99534853299458 A
2017-12-12T00:00:00-07:00,118.43888918558757 A
2017-12-13T00:00:00-07:00,116.51430757840474 A
2017-12-14T00:00:00-07:00,116.83420292536418 A
2017-12-15T00:00:00-07:00,116.68316133817036 A
2017-12-16T00:00:00-07:00,115.78753693898518 A
2017-12-17T00:00:00-07:00,116.09139100710551 A
2017-12-18T00:00:00-07:00,118.00756598031649 A
2017-12-19T00:00:00-07:00,117.30982780456543 A
2017-12-20T00:00:00-07:00,113.46993430455525 A
2017-12-21T00:00:00-07:00,110.97108133633931 A
2017-12-22T00:00:00-07:00,109.4798321723938 A
2017-12-23T00:00:00-07:00,110.20972768465678 A
2017-12-24T00:00:00-07:00,109.45920753479004 A
2017-12-25T00:00:00-07:00,109.31056133906047 A
2017-12-26T00:00:00-07:00,109.30087439219157 A
2017-12-27T00:00:00-07:00,110.23368581136067 A
2017-12-28T00:00:00-07:00,109.62483231226604 A
2017-12-29T00:00:00-07:00,109.96306109428406 A
2017-12-30T00:00:00-07:00,110.25837365786235 A
2017-12-31T00:00:00-07:00,111.24826876322429 A
