Timestamp,['21962c41-eedd1c32 0151-SORENSON MOLECULAR Power Meter-3 300241 kWh']
2017-11-08T00:00:00-07:00,469 kWh
2017-11-09T00:00:00-07:00,1181 kWh
2017-11-10T00:00:00-07:00,1252 kWh
2017-11-11T00:00:00-07:00,1249 kWh
2017-11-12T00:00:00-07:00,1235 kWh
2017-11-13T00:00:00-07:00,1250 kWh
2017-11-14T00:00:00-07:00,1257 kWh
2017-11-15T00:00:00-07:00,1384 kWh
2017-11-16T00:00:00-07:00,1480 kWh
2017-11-17T00:00:00-07:00,1487 kWh
2017-11-18T00:00:00-07:00,1471 kWh
2017-11-19T00:00:00-07:00,1463 kWh
2017-11-20T00:00:00-07:00,1473 kWh
2017-11-21T00:00:00-07:00,1539 kWh
2017-11-22T00:00:00-07:00,1592 kWh
2017-11-23T00:00:00-07:00,1575 kWh
2017-11-24T00:00:00-07:00,1563 kWh
2017-11-25T00:00:00-07:00,1561 kWh
2017-11-26T00:00:00-07:00,1552 kWh
2017-11-27T00:00:00-07:00,1558 kWh
2017-11-28T00:00:00-07:00,1570 kWh
2017-11-29T00:00:00-07:00,1560 kWh
2017-11-30T00:00:00-07:00,1509 kWh
2017-12-01T00:00:00-07:00,1523 kWh
2017-12-02T00:00:00-07:00,1515 kWh
2017-12-03T00:00:00-07:00,1512 kWh
2017-12-04T00:00:00-07:00,1563 kWh
2017-12-05T00:00:00-07:00,1604 kWh
2017-12-06T00:00:00-07:00,1613 kWh
2017-12-07T00:00:00-07:00,1616 kWh
2017-12-08T00:00:00-07:00,1608 kWh
2017-12-09T00:00:00-07:00,1607 kWh
2017-12-10T00:00:00-07:00,1604 kWh
2017-12-11T00:00:00-07:00,1615 kWh
2017-12-12T00:00:00-07:00,1622 kWh
2017-12-13T00:00:00-07:00,1600 kWh
2017-12-14T00:00:00-07:00,1595 kWh
2017-12-15T00:00:00-07:00,1593 kWh
2017-12-16T00:00:00-07:00,1581 kWh
2017-12-17T00:00:00-07:00,1587 kWh
2017-12-18T00:00:00-07:00,1602 kWh
2017-12-19T00:00:00-07:00,1581 kWh
2017-12-20T00:00:00-07:00,1550 kWh
2017-12-21T00:00:00-07:00,1516 kWh
2017-12-22T00:00:00-07:00,1494 kWh
2017-12-23T00:00:00-07:00,1497 kWh
2017-12-24T00:00:00-07:00,1486 kWh
2017-12-25T00:00:00-07:00,1486 kWh
2017-12-26T00:00:00-07:00,1484 kWh
2017-12-27T00:00:00-07:00,1484 kWh
2017-12-28T00:00:00-07:00,1488 kWh
2017-12-29T00:00:00-07:00,1490 kWh
2017-12-30T00:00:00-07:00,1496 kWh
2017-12-31T00:00:00-07:00,1527 kWh
