Timestamp,['21962da1-30bd172c 0151-SORENSON MOLECULAR Power Meter 300240 Amps C']
2017-11-08T00:00:00-07:00,172.13707987467447 A
2017-11-09T00:00:00-07:00,168.39209016164145 A
2017-11-10T00:00:00-07:00,166.23313204447427 A
2017-11-11T00:00:00-07:00,152.44251600901285 A
2017-11-12T00:00:00-07:00,150.63116319974264 A
2017-11-13T00:00:00-07:00,165.24459171295166 A
2017-11-14T00:00:00-07:00,170.15469296773276 A
2017-11-15T00:00:00-07:00,173.48541975021362 A
2017-11-16T00:00:00-07:00,175.97666867574057 A
2017-11-17T00:00:00-07:00,172.15417019526163 A
2017-11-18T00:00:00-07:00,144.26433780067845 A
2017-11-19T00:00:00-07:00,141.71241799990335 A
2017-11-20T00:00:00-07:00,163.53719600041708 A
2017-11-21T00:00:00-07:00,178.89937527974448 A
2017-11-22T00:00:00-07:00,167.35698668162027 A
2017-11-23T00:00:00-07:00,149.16251691182455 A
2017-11-24T00:00:00-07:00,150.96553738911948 A
2017-11-25T00:00:00-07:00,143.4867923259735 A
2017-11-26T00:00:00-07:00,143.5657503604889 A
2017-11-27T00:00:00-07:00,166.60229881604513 A
2017-11-28T00:00:00-07:00,170.72615083058676 A
2017-11-29T00:00:00-07:00,177.19854275385538 A
2017-11-30T00:00:00-07:00,179.19791666666666 A
2017-12-01T00:00:00-07:00,167.63771454493204 A
2017-12-02T00:00:00-07:00,150.39022564888 A
2017-12-03T00:00:00-07:00,149.3300175666809 A
2017-12-04T00:00:00-07:00,168.5968805948893 A
2017-12-05T00:00:00-07:00,173.09802452723184 A
2017-12-06T00:00:00-07:00,181.39145771662393 A
2017-12-07T00:00:00-07:00,177.06927267710367 A
2017-12-08T00:00:00-07:00,179.34791723887125 A
2017-12-09T00:00:00-07:00,156.70782534281412 A
2017-12-10T00:00:00-07:00,149.11824639638266 A
2017-12-11T00:00:00-07:00,170.5178181330363 A
2017-12-12T00:00:00-07:00,183.96906153361002 A
2017-12-13T00:00:00-07:00,184.79978783925375 A
2017-12-14T00:00:00-07:00,185.44676621754965 A
2017-12-15T00:00:00-07:00,171.99687973658243 A
2017-12-16T00:00:00-07:00,152.2335573832194 A
2017-12-17T00:00:00-07:00,151.09522453943887 A
2017-12-18T00:00:00-07:00,172.60430809759325 A
2017-12-19T00:00:00-07:00,166.6534447669983 A
2017-12-20T00:00:00-07:00,161.7808429400126 A
2017-12-21T00:00:00-07:00,166.3478201230367 A
2017-12-22T00:00:00-07:00,161.2240727742513 A
2017-12-23T00:00:00-07:00,145.8403321901957 A
2017-12-24T00:00:00-07:00,145.1540821393331 A
2017-12-25T00:00:00-07:00,140.7949177424113 A
2017-12-26T00:00:00-07:00,145.8462688922882 A
2017-12-27T00:00:00-07:00,150.4168922106425 A
2017-12-28T00:00:00-07:00,150.25543387730917 A
2017-12-29T00:00:00-07:00,154.5610555013021 A
2017-12-30T00:00:00-07:00,144.24179140726724 A
2017-12-31T00:00:00-07:00,145.77981042861938 A
