Timestamp,['21962da1-97ac21c9 0151-SORENSON MOLECULAR Power Meter 300240 Amps A']
2017-11-08T00:00:00-07:00,245.0206279265575 A
2017-11-09T00:00:00-07:00,241.36548550923666 A
2017-11-10T00:00:00-07:00,246.31454451878867 A
2017-11-11T00:00:00-07:00,228.05174350738525 A
2017-11-12T00:00:00-07:00,228.18955532709757 A
2017-11-13T00:00:00-07:00,256.939955552419 A
2017-11-14T00:00:00-07:00,253.4329778353373 A
2017-11-15T00:00:00-07:00,255.9647471110026 A
2017-11-16T00:00:00-07:00,264.8064071337382 A
2017-11-17T00:00:00-07:00,250.454123655955 A
2017-11-18T00:00:00-07:00,229.14218316329152 A
2017-11-19T00:00:00-07:00,227.50653457641602 A
2017-11-20T00:00:00-07:00,251.46162478129068 A
2017-11-21T00:00:00-07:00,254.40526898701987 A
2017-11-22T00:00:00-07:00,242.9720460573832 A
2017-11-23T00:00:00-07:00,226.43153476715088 A
2017-11-24T00:00:00-07:00,226.06778573989868 A
2017-11-25T00:00:00-07:00,220.77820507685342 A
2017-11-26T00:00:00-07:00,222.16299645105997 A
2017-11-27T00:00:00-07:00,247.0441281000773 A
2017-11-28T00:00:00-07:00,257.28568410873413 A
2017-11-29T00:00:00-07:00,266.13672192891437 A
2017-11-30T00:00:00-07:00,270.32526048024494 A
2017-12-01T00:00:00-07:00,262.3363046646118 A
2017-12-02T00:00:00-07:00,237.08652893702188 A
2017-12-03T00:00:00-07:00,235.70986334482828 A
2017-12-04T00:00:00-07:00,257.88558053970337 A
2017-12-05T00:00:00-07:00,266.2093234062195 A
2017-12-06T00:00:00-07:00,266.6046371459961 A
2017-12-07T00:00:00-07:00,273.07317622502643 A
2017-12-08T00:00:00-07:00,269.77338488896686 A
2017-12-09T00:00:00-07:00,243.92423327763876 A
2017-12-10T00:00:00-07:00,242.92048422495523 A
2017-12-11T00:00:00-07:00,266.94890721638996 A
2017-12-12T00:00:00-07:00,273.1078631083171 A
2017-12-13T00:00:00-07:00,274.4048403104146 A
2017-12-14T00:00:00-07:00,266.3931790987651 A
2017-12-15T00:00:00-07:00,261.5527648925781 A
2017-12-16T00:00:00-07:00,240.66892194747925 A
2017-12-17T00:00:00-07:00,240.2637151082357 A
2017-12-18T00:00:00-07:00,257.3403874879242 A
2017-12-19T00:00:00-07:00,249.73047955830893 A
2017-12-20T00:00:00-07:00,252.38985347747803 A
2017-12-21T00:00:00-07:00,250.58027251561484 A
2017-12-22T00:00:00-07:00,233.08965571721396 A
2017-12-23T00:00:00-07:00,212.73445987701416 A
2017-12-24T00:00:00-07:00,216.0608116785685 A
2017-12-25T00:00:00-07:00,213.46300061543783 A
2017-12-26T00:00:00-07:00,213.57591803868613 A
2017-12-27T00:00:00-07:00,216.71018600463867 A
2017-12-28T00:00:00-07:00,214.35164594650269 A
2017-12-29T00:00:00-07:00,211.14133532842 A
2017-12-30T00:00:00-07:00,204.17488114039102 A
2017-12-31T00:00:00-07:00,208.397066116333 A
