Timestamp,['21962da1-e128a1ba 0151-SORENSON MOLECULAR Power Meter 300240 Amps B']
2017-11-08T00:00:00-07:00,203.40936827048276 A
2017-11-09T00:00:00-07:00,201.9148818651835 A
2017-11-10T00:00:00-07:00,207.71592044830322 A
2017-11-11T00:00:00-07:00,187.97811905543008 A
2017-11-12T00:00:00-07:00,187.28936958312988 A
2017-11-13T00:00:00-07:00,213.16404247283936 A
2017-11-14T00:00:00-07:00,207.2093586921692 A
2017-11-15T00:00:00-07:00,210.90946086247763 A
2017-11-16T00:00:00-07:00,205.07571379343668 A
2017-11-17T00:00:00-07:00,206.64300521214804 A
2017-11-18T00:00:00-07:00,184.2472611276727 A
2017-11-19T00:00:00-07:00,181.0443746248881 A
2017-11-20T00:00:00-07:00,202.57779868443808 A
2017-11-21T00:00:00-07:00,208.79894065856934 A
2017-11-22T00:00:00-07:00,200.364466826121 A
2017-11-23T00:00:00-07:00,181.65614493687949 A
2017-11-24T00:00:00-07:00,187.12634960810342 A
2017-11-25T00:00:00-07:00,188.71030712127686 A
2017-11-26T00:00:00-07:00,186.39187065760294 A
2017-11-27T00:00:00-07:00,210.5751903851827 A
2017-11-28T00:00:00-07:00,215.93945837020874 A
2017-11-29T00:00:00-07:00,209.56779527664185 A
2017-11-30T00:00:00-07:00,204.47186024983725 A
2017-12-01T00:00:00-07:00,201.51457007726034 A
2017-12-02T00:00:00-07:00,179.86666631698608 A
2017-12-03T00:00:00-07:00,178.95020834604898 A
2017-12-04T00:00:00-07:00,208.21435753504434 A
2017-12-05T00:00:00-07:00,214.49966684977213 A
2017-12-06T00:00:00-07:00,209.996231396993 A
2017-12-07T00:00:00-07:00,207.58435773849487 A
2017-12-08T00:00:00-07:00,212.38300132751465 A
2017-12-09T00:00:00-07:00,190.19041061401367 A
2017-12-10T00:00:00-07:00,186.26280879974365 A
2017-12-11T00:00:00-07:00,208.85800409317017 A
2017-12-12T00:00:00-07:00,209.00373236338297 A
2017-12-13T00:00:00-07:00,207.4903996785482 A
2017-12-14T00:00:00-07:00,208.76612854003906 A
2017-12-15T00:00:00-07:00,209.24112812678018 A
2017-12-16T00:00:00-07:00,189.9565553665161 A
2017-12-17T00:00:00-07:00,185.21562163035074 A
2017-12-18T00:00:00-07:00,205.36246088499664 A
2017-12-19T00:00:00-07:00,194.54363584518433 A
2017-12-20T00:00:00-07:00,187.9522868792216 A
2017-12-21T00:00:00-07:00,188.38562059402466 A
2017-12-22T00:00:00-07:00,186.98853715260825 A
2017-12-23T00:00:00-07:00,177.9253133138021 A
2017-12-24T00:00:00-07:00,173.29104407628378 A
2017-12-25T00:00:00-07:00,169.63042068481445 A
2017-12-26T00:00:00-07:00,174.51166979471842 A
2017-12-27T00:00:00-07:00,181.9224977493286 A
2017-12-28T00:00:00-07:00,182.65447775522867 A
2017-12-29T00:00:00-07:00,178.3728125890096 A
2017-12-30T00:00:00-07:00,172.73448340098062 A
2017-12-31T00:00:00-07:00,176.42166725794473 A
