Timestamp,['21962dae-f5ac4604 0151-SORENSON MOLECULAR Power Meter 300240 Watts']
2017-11-08T00:00:00-07:00,109.55661812806741 W
2017-11-09T00:00:00-07:00,107.57262357076009 W
2017-11-10T00:00:00-07:00,109.36792620023091 W
2017-11-11T00:00:00-07:00,99.91554005940755 W
2017-11-12T00:00:00-07:00,99.73488251368205 W
2017-11-13T00:00:00-07:00,112.34162425994873 W
2017-11-14T00:00:00-07:00,111.55485971768697 W
2017-11-15T00:00:00-07:00,113.04009826978047 W
2017-11-16T00:00:00-07:00,114.28480696678162 W
2017-11-17T00:00:00-07:00,111.1378390789032 W
2017-11-18T00:00:00-07:00,98.38764214766653 W
2017-11-19T00:00:00-07:00,97.02933200200398 W
2017-11-20T00:00:00-07:00,109.31365529696147 W
2017-11-21T00:00:00-07:00,114.05419691403706 W
2017-11-22T00:00:00-07:00,108.33094771703084 W
2017-11-23T00:00:00-07:00,98.98893443743388 W
2017-11-24T00:00:00-07:00,100.01090844472249 W
2017-11-25T00:00:00-07:00,97.57184235254924 W
2017-11-26T00:00:00-07:00,97.7240822315216 W
2017-11-27T00:00:00-07:00,110.97393989562988 W
2017-11-28T00:00:00-07:00,113.85470946629842 W
2017-11-29T00:00:00-07:00,115.09619792302449 W
2017-11-30T00:00:00-07:00,115.66741331418355 W
2017-12-01T00:00:00-07:00,111.69634652137756 W
2017-12-02T00:00:00-07:00,100.14384245872498 W
2017-12-03T00:00:00-07:00,99.74929070472717 W
2017-12-04T00:00:00-07:00,112.47603217760722 W
2017-12-05T00:00:00-07:00,115.68692914644878 W
2017-12-06T00:00:00-07:00,116.53159268697102 W
2017-12-07T00:00:00-07:00,116.38999501864116 W
2017-12-08T00:00:00-07:00,116.4632757504781 W
2017-12-09T00:00:00-07:00,103.85464851061504 W
2017-12-10T00:00:00-07:00,101.8201293150584 W
2017-12-11T00:00:00-07:00,114.29892524083455 W
2017-12-12T00:00:00-07:00,117.81115579605103 W
2017-12-13T00:00:00-07:00,117.7693480650584 W
2017-12-14T00:00:00-07:00,116.82339096069336 W
2017-12-15T00:00:00-07:00,113.84809263547261 W
2017-12-16T00:00:00-07:00,102.66433668136597 W
2017-12-17T00:00:00-07:00,101.73021793365479 W
2017-12-18T00:00:00-07:00,112.10912281979796 W
2017-12-19T00:00:00-07:00,108.00206351280212 W
2017-12-20T00:00:00-07:00,106.24329463640849 W
2017-12-21T00:00:00-07:00,106.61200340588887 W
2017-12-22T00:00:00-07:00,102.3691595395406 W
2017-12-23T00:00:00-07:00,94.66389695803325 W
2017-12-24T00:00:00-07:00,94.3523211479187 W
2017-12-25T00:00:00-07:00,92.635485013326 W
2017-12-26T00:00:00-07:00,94.32402499516805 W
2017-12-27T00:00:00-07:00,96.56054536501567 W
2017-12-28T00:00:00-07:00,96.4741861820221 W
2017-12-29T00:00:00-07:00,95.90325498580933 W
2017-12-30T00:00:00-07:00,91.95601312319438 W
2017-12-31T00:00:00-07:00,93.36792437235515 W
