Timestamp,['21962f26-6ba6ade4 0151-SORENSON MOLECULAR Power Meter-1 300242 Amps C']
2017-11-08T00:00:00-07:00,429.3974421574519 A
2017-11-09T00:00:00-07:00,422.2109118009868 A
2017-11-10T00:00:00-07:00,423.3181931177775 A
2017-11-11T00:00:00-07:00,392.07404168446857 A
2017-11-12T00:00:00-07:00,392.83966795603436 A
2017-11-13T00:00:00-07:00,428.31964683532715 A
2017-11-14T00:00:00-07:00,429.14298089345294 A
2017-11-15T00:00:00-07:00,435.629225730896 A
2017-11-16T00:00:00-07:00,439.48089027404785 A
2017-11-17T00:00:00-07:00,431.18787638346356 A
2017-11-18T00:00:00-07:00,402.9369519551595 A
2017-11-19T00:00:00-07:00,404.4589309692383 A
2017-11-20T00:00:00-07:00,431.2786054611206 A
2017-11-21T00:00:00-07:00,432.7592290242513 A
2017-11-22T00:00:00-07:00,428.2996470133464 A
2017-11-23T00:00:00-07:00,407.0638249715169 A
2017-11-24T00:00:00-07:00,406.83778381347656 A
2017-11-25T00:00:00-07:00,404.3827845255534 A
2017-11-26T00:00:00-07:00,406.1752847035726 A
2017-11-27T00:00:00-07:00,441.70838864644367 A
2017-11-28T00:00:00-07:00,433.6866229375203 A
2017-11-29T00:00:00-07:00,435.4199552536011 A
2017-11-30T00:00:00-07:00,436.29151725769043 A
2017-12-01T00:00:00-07:00,438.72714106241864 A
2017-12-02T00:00:00-07:00,412.0667390823364 A
2017-12-03T00:00:00-07:00,408.21580441792804 A
2017-12-04T00:00:00-07:00,445.97349071502686 A
2017-12-05T00:00:00-07:00,449.245675722758 A
2017-12-06T00:00:00-07:00,444.7777620951335 A
2017-12-07T00:00:00-07:00,448.13994884490967 A
2017-12-08T00:00:00-07:00,448.1785945892334 A
2017-12-09T00:00:00-07:00,426.1977726618449 A
2017-12-10T00:00:00-07:00,425.4686056772868 A
2017-12-11T00:00:00-07:00,469.04462210337323 A
2017-12-12T00:00:00-07:00,479.2647221883138 A
2017-12-13T00:00:00-07:00,482.53669865926105 A
2017-12-14T00:00:00-07:00,465.80660343170166 A
2017-12-15T00:00:00-07:00,445.03119977315265 A
2017-12-16T00:00:00-07:00,399.07080968221027 A
2017-12-17T00:00:00-07:00,402.49197612561676 A
2017-12-18T00:00:00-07:00,430.26050296906504 A
2017-12-19T00:00:00-07:00,429.3143351872762 A
2017-12-20T00:00:00-07:00,433.5386037826538 A
2017-12-21T00:00:00-07:00,428.77402178446454 A
2017-12-22T00:00:00-07:00,422.60548400878906 A
2017-12-23T00:00:00-07:00,398.90976842244464 A
2017-12-24T00:00:00-07:00,402.5868511199951 A
2017-12-25T00:00:00-07:00,397.3021659851074 A
2017-12-26T00:00:00-07:00,400.68278789520264 A
2017-12-27T00:00:00-07:00,419.0387159983317 A
2017-12-28T00:00:00-07:00,414.92382113138837 A
2017-12-29T00:00:00-07:00,412.5071570078532 A
2017-12-30T00:00:00-07:00,402.67028554280597 A
2017-12-31T00:00:00-07:00,397.52862485249835 A
