Timestamp,['21962f26-a45858ae 0151-SORENSON MOLECULAR Power Meter-1 300242 Watts']
2017-11-08T00:00:00-07:00,553.6873505421174 W
2017-11-09T00:00:00-07:00,546.8700776752672 W
2017-11-10T00:00:00-07:00,550.9491132100424 W
2017-11-11T00:00:00-07:00,512.1536420186361 W
2017-11-12T00:00:00-07:00,512.5517024993896 W
2017-11-13T00:00:00-07:00,558.4052616755167 W
2017-11-14T00:00:00-07:00,560.4653431574503 W
2017-11-15T00:00:00-07:00,562.7678823471069 W
2017-11-16T00:00:00-07:00,568.7082920074463 W
2017-11-17T00:00:00-07:00,558.8480774561564 W
2017-11-18T00:00:00-07:00,516.9356203079224 W
2017-11-19T00:00:00-07:00,519.2655398050944 W
2017-11-20T00:00:00-07:00,555.7230002085367 W
2017-11-21T00:00:00-07:00,558.3483924865723 W
2017-11-22T00:00:00-07:00,552.6592003504435 W
2017-11-23T00:00:00-07:00,523.1707792282104 W
2017-11-24T00:00:00-07:00,522.5841236114502 W
2017-11-25T00:00:00-07:00,517.8835900624593 W
2017-11-26T00:00:00-07:00,521.9292777379354 W
2017-11-27T00:00:00-07:00,567.2151352564493 W
2017-11-28T00:00:00-07:00,558.2140617370605 W
2017-11-29T00:00:00-07:00,561.4780705769857 W
2017-11-30T00:00:00-07:00,561.2754077911377 W
2017-12-01T00:00:00-07:00,563.9609832763672 W
2017-12-02T00:00:00-07:00,529.4762115478516 W
2017-12-03T00:00:00-07:00,527.8622538248698 W
2017-12-04T00:00:00-07:00,575.4196106592814 W
2017-12-05T00:00:00-07:00,580.5976022084554 W
2017-12-06T00:00:00-07:00,577.5067621866862 W
2017-12-07T00:00:00-07:00,577.2827615737915 W
2017-12-08T00:00:00-07:00,579.3917719523112 W
2017-12-09T00:00:00-07:00,543.8101243972778 W
2017-12-10T00:00:00-07:00,544.4412708282471 W
2017-12-11T00:00:00-07:00,605.1331558227539 W
2017-12-12T00:00:00-07:00,617.5913066864014 W
2017-12-13T00:00:00-07:00,625.0890712738037 W
2017-12-14T00:00:00-07:00,602.5728327433268 W
2017-12-15T00:00:00-07:00,576.1323795318604 W
2017-12-16T00:00:00-07:00,511.94563420613605 W
2017-12-17T00:00:00-07:00,515.6227603310033 W
2017-12-18T00:00:00-07:00,553.6825331821236 W
2017-12-19T00:00:00-07:00,551.165402730306 W
2017-12-20T00:00:00-07:00,554.5887101491293 W
2017-12-21T00:00:00-07:00,553.5281782150269 W
2017-12-22T00:00:00-07:00,545.1074895858765 W
2017-12-23T00:00:00-07:00,509.9956013361613 W
2017-12-24T00:00:00-07:00,510.8048321406047 W
2017-12-25T00:00:00-07:00,508.68861961364746 W
2017-12-26T00:00:00-07:00,516.651598294576 W
2017-12-27T00:00:00-07:00,534.4872776667277 W
2017-12-28T00:00:00-07:00,532.6647532780966 W
2017-12-29T00:00:00-07:00,524.6470403671265 W
2017-12-30T00:00:00-07:00,510.88265260060626 W
2017-12-31T00:00:00-07:00,506.30292415618896 W
