Timestamp,['21962f26-b790c591 0151-SORENSON MOLECULAR Power Meter-1 300242 kWh']
2017-11-08T00:00:00-07:00,5376 kWh
2017-11-09T00:00:00-07:00,13096 kWh
2017-11-10T00:00:00-07:00,13184 kWh
2017-11-11T00:00:00-07:00,12298 kWh
2017-11-12T00:00:00-07:00,12304 kWh
2017-11-13T00:00:00-07:00,13366 kWh
2017-11-14T00:00:00-07:00,13460 kWh
2017-11-15T00:00:00-07:00,13544 kWh
2017-11-16T00:00:00-07:00,13628 kWh
2017-11-17T00:00:00-07:00,13436 kWh
2017-11-18T00:00:00-07:00,12384 kWh
2017-11-19T00:00:00-07:00,12424 kWh
2017-11-20T00:00:00-07:00,13336 kWh
2017-11-21T00:00:00-07:00,13416 kWh
2017-11-22T00:00:00-07:00,13294 kWh
2017-11-23T00:00:00-07:00,12502 kWh
2017-11-24T00:00:00-07:00,12548 kWh
2017-11-25T00:00:00-07:00,12496 kWh
2017-11-26T00:00:00-07:00,12566 kWh
2017-11-27T00:00:00-07:00,13566 kWh
2017-11-28T00:00:00-07:00,13428 kWh
2017-11-29T00:00:00-07:00,13472 kWh
2017-11-30T00:00:00-07:00,13496 kWh
2017-12-01T00:00:00-07:00,13480 kWh
2017-12-02T00:00:00-07:00,12708 kWh
2017-12-03T00:00:00-07:00,12628 kWh
2017-12-04T00:00:00-07:00,13806 kWh
2017-12-05T00:00:00-07:00,13946 kWh
2017-12-06T00:00:00-07:00,13870 kWh
2017-12-07T00:00:00-07:00,13802 kWh
2017-12-08T00:00:00-07:00,13888 kWh
2017-12-09T00:00:00-07:00,13016 kWh
2017-12-10T00:00:00-07:00,13084 kWh
2017-12-11T00:00:00-07:00,14460 kWh
2017-12-12T00:00:00-07:00,14840 kWh
2017-12-13T00:00:00-07:00,14960 kWh
2017-12-14T00:00:00-07:00,14462 kWh
2017-12-15T00:00:00-07:00,13846 kWh
2017-12-16T00:00:00-07:00,12316 kWh
2017-12-17T00:00:00-07:00,12372 kWh
2017-12-18T00:00:00-07:00,13258 kWh
2017-12-19T00:00:00-07:00,13260 kWh
2017-12-20T00:00:00-07:00,13294 kWh
2017-12-21T00:00:00-07:00,13276 kWh
2017-12-22T00:00:00-07:00,13088 kWh
2017-12-23T00:00:00-07:00,12222 kWh
2017-12-24T00:00:00-07:00,12236 kWh
2017-12-25T00:00:00-07:00,12178 kWh
2017-12-26T00:00:00-07:00,12400 kWh
2017-12-27T00:00:00-07:00,12812 kWh
2017-12-28T00:00:00-07:00,12802 kWh
2017-12-29T00:00:00-07:00,12566 kWh
2017-12-30T00:00:00-07:00,12212 kWh
2017-12-31T00:00:00-07:00,12184 kWh
