Timestamp,['219630b4-0535891e 0151-SORENSON MOLECULAR Power Meter-2 300243 Amps A']
2017-11-08T00:00:00-07:00,350.35374691611844 A
2017-11-09T00:00:00-07:00,360.9601027170817 A
2017-11-10T00:00:00-07:00,358.3211444218953 A
2017-11-11T00:00:00-07:00,348.5306297938029 A
2017-11-12T00:00:00-07:00,345.7110487620036 A
2017-11-13T00:00:00-07:00,359.6342706680298 A
2017-11-14T00:00:00-07:00,360.72625001271564 A
2017-11-15T00:00:00-07:00,362.48041343688965 A
2017-11-16T00:00:00-07:00,362.37374750773114 A
2017-11-17T00:00:00-07:00,368.67134698232013 A
2017-11-18T00:00:00-07:00,350.36344114939374 A
2017-11-19T00:00:00-07:00,356.6393756866455 A
2017-11-20T00:00:00-07:00,371.3875964482625 A
2017-11-21T00:00:00-07:00,359.3707284927368 A
2017-11-22T00:00:00-07:00,355.763126373291 A
2017-11-23T00:00:00-07:00,350.933336575826 A
2017-11-24T00:00:00-07:00,351.0009422302246 A
2017-11-25T00:00:00-07:00,348.88646507263184 A
2017-11-26T00:00:00-07:00,345.56844393412274 A
2017-11-27T00:00:00-07:00,361.42072709401447 A
2017-11-28T00:00:00-07:00,369.4636392593384 A
2017-11-29T00:00:00-07:00,370.3040552139282 A
2017-11-30T00:00:00-07:00,370.23311773935956 A
2017-12-01T00:00:00-07:00,373.20186456044513 A
2017-12-02T00:00:00-07:00,359.7614577611287 A
2017-12-03T00:00:00-07:00,355.05354404449463 A
2017-12-04T00:00:00-07:00,374.4468660354614 A
2017-12-05T00:00:00-07:00,373.5932207107544 A
2017-12-06T00:00:00-07:00,374.67707506815594 A
2017-12-07T00:00:00-07:00,374.0514500935872 A
2017-12-08T00:00:00-07:00,377.3466548919678 A
2017-12-09T00:00:00-07:00,367.31791083017987 A
2017-12-10T00:00:00-07:00,366.9736394882202 A
2017-12-11T00:00:00-07:00,375.9118658701579 A
2017-12-12T00:00:00-07:00,391.5371675491333 A
2017-12-13T00:00:00-07:00,401.74643389383954 A
2017-12-14T00:00:00-07:00,375.80613390604657 A
2017-12-15T00:00:00-07:00,377.4116566975911 A
2017-12-16T00:00:00-07:00,364.9983294804891 A
2017-12-17T00:00:00-07:00,366.5614522298177 A
2017-12-18T00:00:00-07:00,377.3338655861475 A
2017-12-19T00:00:00-07:00,372.6073869069417 A
2017-12-20T00:00:00-07:00,365.9562457402547 A
2017-12-21T00:00:00-07:00,374.3290541966756 A
2017-12-22T00:00:00-07:00,371.9592644373576 A
2017-12-23T00:00:00-07:00,362.7769784927368 A
2017-12-24T00:00:00-07:00,362.5346844991048 A
2017-12-25T00:00:00-07:00,367.1996825536092 A
2017-12-26T00:00:00-07:00,371.2066602706909 A
2017-12-27T00:00:00-07:00,371.1107225418091 A
2017-12-28T00:00:00-07:00,369.46416091918945 A
2017-12-29T00:00:00-07:00,364.31572437286377 A
2017-12-30T00:00:00-07:00,351.95500469207764 A
2017-12-31T00:00:00-07:00,365.58885129292804 A
