Timestamp,['219630b4-06d3d0ab 0151-SORENSON MOLECULAR Power Meter-2 300243 Watts']
2017-11-08T00:00:00-07:00,435.535908749229 W
2017-11-09T00:00:00-07:00,449.29039669036865 W
2017-11-10T00:00:00-07:00,446.2078523635864 W
2017-11-11T00:00:00-07:00,434.63461176554364 W
2017-11-12T00:00:00-07:00,430.3285729090373 W
2017-11-13T00:00:00-07:00,448.0970849990845 W
2017-11-14T00:00:00-07:00,450.5064811706543 W
2017-11-15T00:00:00-07:00,451.29069995880127 W
2017-11-16T00:00:00-07:00,450.49333985646564 W
2017-11-17T00:00:00-07:00,460.0010798772176 W
2017-11-18T00:00:00-07:00,434.323491414388 W
2017-11-19T00:00:00-07:00,444.9484208424886 W
2017-11-20T00:00:00-07:00,463.2059679031372 W
2017-11-21T00:00:00-07:00,446.65581862131756 W
2017-11-22T00:00:00-07:00,440.2340186436971 W
2017-11-23T00:00:00-07:00,432.4165054957072 W
2017-11-24T00:00:00-07:00,433.48848152160645 W
2017-11-25T00:00:00-07:00,433.0409930547078 W
2017-11-26T00:00:00-07:00,427.5061038335164 W
2017-11-27T00:00:00-07:00,449.7053442001343 W
2017-11-28T00:00:00-07:00,463.1307191848755 W
2017-11-29T00:00:00-07:00,464.0832249323527 W
2017-11-30T00:00:00-07:00,465.07232030232746 W
2017-12-01T00:00:00-07:00,468.03663603464764 W
2017-12-02T00:00:00-07:00,451.0696156819661 W
2017-12-03T00:00:00-07:00,445.7325661977132 W
2017-12-04T00:00:00-07:00,471.1895691553752 W
2017-12-05T00:00:00-07:00,470.372501373291 W
2017-12-06T00:00:00-07:00,471.40496667226154 W
2017-12-07T00:00:00-07:00,470.387832959493 W
2017-12-08T00:00:00-07:00,474.55794684092206 W
2017-12-09T00:00:00-07:00,462.37093385060626 W
2017-12-10T00:00:00-07:00,462.284953435262 W
2017-12-11T00:00:00-07:00,474.1574198404948 W
2017-12-12T00:00:00-07:00,493.678781191508 W
2017-12-13T00:00:00-07:00,507.7516670227051 W
2017-12-14T00:00:00-07:00,471.5720017751058 W
2017-12-15T00:00:00-07:00,475.73643557230633 W
2017-12-16T00:00:00-07:00,460.24965222676593 W
2017-12-17T00:00:00-07:00,459.02626546223956 W
2017-12-18T00:00:00-07:00,474.4561006279402 W
2017-12-19T00:00:00-07:00,467.9507522583008 W
2017-12-20T00:00:00-07:00,459.1933209101359 W
2017-12-21T00:00:00-07:00,471.32163524627686 W
2017-12-22T00:00:00-07:00,468.6744213104248 W
2017-12-23T00:00:00-07:00,456.6335194905599 W
2017-12-24T00:00:00-07:00,456.63282108306885 W
2017-12-25T00:00:00-07:00,463.5168155034383 W
2017-12-26T00:00:00-07:00,467.9768120447795 W
2017-12-27T00:00:00-07:00,465.0877440770467 W
2017-12-28T00:00:00-07:00,464.24787362416583 W
2017-12-29T00:00:00-07:00,456.83883730570477 W
2017-12-30T00:00:00-07:00,439.78889815012616 W
2017-12-31T00:00:00-07:00,459.66949303944904 W
