Timestamp,['219630b4-06f94e63 0151-SORENSON MOLECULAR Power Meter-2 300243 kWh']
2017-11-08T00:00:00-07:00,4144 kWh
2017-11-09T00:00:00-07:00,10816 kWh
2017-11-10T00:00:00-07:00,10692 kWh
2017-11-11T00:00:00-07:00,10432 kWh
2017-11-12T00:00:00-07:00,10312 kWh
2017-11-13T00:00:00-07:00,10756 kWh
2017-11-14T00:00:00-07:00,10804 kWh
2017-11-15T00:00:00-07:00,10828 kWh
2017-11-16T00:00:00-07:00,10808 kWh
2017-11-17T00:00:00-07:00,11046 kWh
2017-11-18T00:00:00-07:00,10408 kWh
2017-11-19T00:00:00-07:00,10678 kWh
2017-11-20T00:00:00-07:00,11080 kWh
2017-11-21T00:00:00-07:00,10726 kWh
2017-11-22T00:00:00-07:00,10548 kWh
2017-11-23T00:00:00-07:00,10386 kWh
2017-11-24T00:00:00-07:00,10410 kWh
2017-11-25T00:00:00-07:00,10390 kWh
2017-11-26T00:00:00-07:00,10258 kWh
2017-11-27T00:00:00-07:00,10798 kWh
2017-11-28T00:00:00-07:00,11116 kWh
2017-11-29T00:00:00-07:00,11148 kWh
2017-11-30T00:00:00-07:00,11160 kWh
2017-12-01T00:00:00-07:00,11254 kWh
2017-12-02T00:00:00-07:00,10814 kWh
2017-12-03T00:00:00-07:00,10698 kWh
2017-12-04T00:00:00-07:00,11326 kWh
2017-12-05T00:00:00-07:00,11288 kWh
2017-12-06T00:00:00-07:00,11320 kWh
2017-12-07T00:00:00-07:00,11300 kWh
2017-12-08T00:00:00-07:00,11406 kWh
2017-12-09T00:00:00-07:00,11086 kWh
2017-12-10T00:00:00-07:00,11088 kWh
2017-12-11T00:00:00-07:00,11388 kWh
2017-12-12T00:00:00-07:00,11856 kWh
2017-12-13T00:00:00-07:00,12166 kWh
2017-12-14T00:00:00-07:00,11310 kWh
2017-12-15T00:00:00-07:00,11424 kWh
2017-12-16T00:00:00-07:00,11048 kWh
2017-12-17T00:00:00-07:00,11008 kWh
2017-12-18T00:00:00-07:00,11388 kWh
2017-12-19T00:00:00-07:00,11224 kWh
2017-12-20T00:00:00-07:00,11012 kWh
2017-12-21T00:00:00-07:00,11284 kWh
2017-12-22T00:00:00-07:00,11266 kWh
2017-12-23T00:00:00-07:00,10954 kWh
2017-12-24T00:00:00-07:00,11002 kWh
2017-12-25T00:00:00-07:00,11122 kWh
2017-12-26T00:00:00-07:00,11212 kWh
2017-12-27T00:00:00-07:00,11156 kWh
2017-12-28T00:00:00-07:00,11144 kWh
2017-12-29T00:00:00-07:00,10944 kWh
2017-12-30T00:00:00-07:00,10564 kWh
2017-12-31T00:00:00-07:00,10992 kWh
