Timestamp,['219630b4-b2f4e6c7 0151-SORENSON MOLECULAR Power Meter-2 300243 Amps C']
2017-11-08T00:00:00-07:00,340.6176982678865 A
2017-11-09T00:00:00-07:00,351.909899075826 A
2017-11-10T00:00:00-07:00,348.7054230372111 A
2017-11-11T00:00:00-07:00,341.3264678319295 A
2017-11-12T00:00:00-07:00,339.49646917978924 A
2017-11-13T00:00:00-07:00,351.5141706466675 A
2017-11-14T00:00:00-07:00,352.89240010579425 A
2017-11-15T00:00:00-07:00,354.42229175567627 A
2017-11-16T00:00:00-07:00,355.00489807128906 A
2017-11-17T00:00:00-07:00,358.670729637146 A
2017-11-18T00:00:00-07:00,340.34553146362305 A
2017-11-19T00:00:00-07:00,348.7189645767212 A
2017-11-20T00:00:00-07:00,363.60499636332196 A
2017-11-21T00:00:00-07:00,353.2635456720988 A
2017-11-22T00:00:00-07:00,348.2291723887126 A
2017-11-23T00:00:00-07:00,343.1517804463704 A
2017-11-24T00:00:00-07:00,343.93615436553955 A
2017-11-25T00:00:00-07:00,343.6141748428345 A
2017-11-26T00:00:00-07:00,340.53553136189777 A
2017-11-27T00:00:00-07:00,354.3326059977214 A
2017-11-28T00:00:00-07:00,362.9402046203613 A
2017-11-29T00:00:00-07:00,363.57718499501544 A
2017-11-30T00:00:00-07:00,363.85687255859375 A
2017-12-01T00:00:00-07:00,365.57947635650635 A
2017-12-02T00:00:00-07:00,354.25698216756183 A
2017-12-03T00:00:00-07:00,350.02427609761554 A
2017-12-04T00:00:00-07:00,367.2919753392537 A
2017-12-05T00:00:00-07:00,366.2204116185506 A
2017-12-06T00:00:00-07:00,367.111141204834 A
2017-12-07T00:00:00-07:00,366.2440589269002 A
2017-12-08T00:00:00-07:00,369.8524929682414 A
2017-12-09T00:00:00-07:00,361.4062496821086 A
2017-12-10T00:00:00-07:00,361.126976331075 A
2017-12-11T00:00:00-07:00,368.51270230611163 A
2017-12-12T00:00:00-07:00,383.7614440917969 A
2017-12-13T00:00:00-07:00,393.58424886067706 A
2017-12-14T00:00:00-07:00,366.7639528910319 A
2017-12-15T00:00:00-07:00,369.3572858174642 A
2017-12-16T00:00:00-07:00,358.153333346049 A
2017-12-17T00:00:00-07:00,357.65281359354657 A
2017-12-18T00:00:00-07:00,368.96957003685736 A
2017-12-19T00:00:00-07:00,363.97687307993573 A
2017-12-20T00:00:00-07:00,358.4974997838338 A
2017-12-21T00:00:00-07:00,365.4883289337158 A
2017-12-22T00:00:00-07:00,363.6046832402547 A
2017-12-23T00:00:00-07:00,356.5327084859212 A
2017-12-24T00:00:00-07:00,356.38531430562335 A
2017-12-25T00:00:00-07:00,361.0764563878377 A
2017-12-26T00:00:00-07:00,363.98957920074463 A
2017-12-27T00:00:00-07:00,362.3426014582316 A
2017-12-28T00:00:00-07:00,360.6010392506917 A
2017-12-29T00:00:00-07:00,356.77937507629395 A
2017-12-30T00:00:00-07:00,343.9909448623657 A
2017-12-31T00:00:00-07:00,356.8196903864543 A
