Timestamp,['219630b4-fd725f4c 0151-SORENSON MOLECULAR Power Meter-2 300243 Amps B']
2017-11-08T00:00:00-07:00,346.46506138851765 A
2017-11-09T00:00:00-07:00,358.09291553497314 A
2017-11-10T00:00:00-07:00,355.4530220031738 A
2017-11-11T00:00:00-07:00,346.14167404174805 A
2017-11-12T00:00:00-07:00,343.7892796198527 A
2017-11-13T00:00:00-07:00,357.1302089691162 A
2017-11-14T00:00:00-07:00,359.41541449228924 A
2017-11-15T00:00:00-07:00,359.7694784800212 A
2017-11-16T00:00:00-07:00,360.1636447906494 A
2017-11-17T00:00:00-07:00,364.72093264261883 A
2017-11-18T00:00:00-07:00,344.89042377471924 A
2017-11-19T00:00:00-07:00,352.06156635284424 A
2017-11-20T00:00:00-07:00,367.4319740931193 A
2017-11-21T00:00:00-07:00,357.2853132883708 A
2017-11-22T00:00:00-07:00,353.601980527242 A
2017-11-23T00:00:00-07:00,347.02677631378174 A
2017-11-24T00:00:00-07:00,347.71792221069336 A
2017-11-25T00:00:00-07:00,347.57771428426105 A
2017-11-26T00:00:00-07:00,343.97907225290936 A
2017-11-27T00:00:00-07:00,358.48635482788086 A
2017-11-28T00:00:00-07:00,366.5299949645996 A
2017-11-29T00:00:00-07:00,367.0545794169108 A
2017-11-30T00:00:00-07:00,367.59811941782635 A
2017-12-01T00:00:00-07:00,370.76519934336346 A
2017-12-02T00:00:00-07:00,357.5191666285197 A
2017-12-03T00:00:00-07:00,353.2597945531209 A
2017-12-04T00:00:00-07:00,371.3691593805949 A
2017-12-05T00:00:00-07:00,370.91426308949787 A
2017-12-06T00:00:00-07:00,371.42165819803876 A
2017-12-07T00:00:00-07:00,371.1192626953125 A
2017-12-08T00:00:00-07:00,374.0984296798706 A
2017-12-09T00:00:00-07:00,364.0391626358032 A
2017-12-10T00:00:00-07:00,364.0892680486043 A
2017-12-11T00:00:00-07:00,374.4093662897746 A
2017-12-12T00:00:00-07:00,388.8732109069824 A
2017-12-13T00:00:00-07:00,398.7594572703044 A
2017-12-14T00:00:00-07:00,371.1700979868571 A
2017-12-15T00:00:00-07:00,374.73165734608966 A
2017-12-16T00:00:00-07:00,364.27416229248047 A
2017-12-17T00:00:00-07:00,361.397185643514 A
2017-12-18T00:00:00-07:00,374.50203975554433 A
2017-12-19T00:00:00-07:00,370.35884888966876 A
2017-12-20T00:00:00-07:00,364.96718247731525 A
2017-12-21T00:00:00-07:00,373.29936567942303 A
2017-12-22T00:00:00-07:00,370.85249360402423 A
2017-12-23T00:00:00-07:00,361.36666711171466 A
2017-12-24T00:00:00-07:00,360.91562334696454 A
2017-12-25T00:00:00-07:00,365.50749588012695 A
2017-12-26T00:00:00-07:00,368.52051671346027 A
2017-12-27T00:00:00-07:00,368.4387439092 A
2017-12-28T00:00:00-07:00,367.4053080876668 A
2017-12-29T00:00:00-07:00,362.53624788920087 A
2017-12-30T00:00:00-07:00,350.37667147318524 A
2017-12-31T00:00:00-07:00,364.9148915608724 A
