Timestamp,"Layton, UT Sunrise/Sunset","Layton, UT Humidity","Layton, UT Cond","Layton, UT Temp",Museum of Natural History Temp,Museum of Natural History Humidity,"Salt Lake City, UT Temp","Salt Lake City, UT Cond","Salt Lake City, UT Sunrise/Sunset","Salt Lake City, UT Humidity"
2017-03-31T19:52:00-06:00 Denver,false,"","","","","","","",false,""
2017-03-31T23:00:00-06:00 Denver,"",52%,1,47°F,"","",44°F,1_unknown,"",58%
2017-03-31T23:55:00-06:00 Denver,"","","","",47.13800048828125°F,51.560001373291016%,"","","",""
2017-04-01T00:00:00-06:00 Denver,"",52%,1,47°F,47.012001037597656°F,51.099998474121094%,47°F,1_unknown,"",59%
2017-04-01T00:05:00-06:00 Denver,"","","","",46.95800018310547°F,50.90999984741211%,"","","",""
2017-04-01T00:10:00-06:00 Denver,"","","","",46.86800003051758°F,51.630001068115234%,"","","",""
2017-04-01T00:15:00-06:00 Denver,"","","","",46.54399871826172°F,52.59000015258789%,"","","",""
2017-04-01T00:20:00-06:00 Denver,"","","","",46.220001220703125°F,52.91999816894531%,"","","",""
2017-04-01T00:25:00-06:00 Denver,"","","","",46.16600036621094°F,51.810001373291016%,"","","",""
2017-04-01T00:30:00-06:00 Denver,"","","","",46.29199981689453°F,52.060001373291016%,"","","",""
2017-04-01T00:35:00-06:00 Denver,"","","","",46.09400177001953°F,52.619998931884766%,"","","",""
2017-04-01T00:40:00-06:00 Denver,"","","","",45.93199920654297°F,52.849998474121094%,"","","",""
2017-04-01T00:45:00-06:00 Denver,"","","","",45.75199890136719°F,52.83000183105469%,"","","",""
2017-04-01T00:50:00-06:00 Denver,"","","","",45.698001861572266°F,52.22999954223633%,"","","",""
2017-04-01T00:55:00-06:00 Denver,"","","","",45.625999450683594°F,51.75%,"","","",""
2017-04-01T01:00:00-06:00 Denver,"",54%,1,46°F,45.64400100708008°F,51.150001525878906%,46°F,1_unknown,"",61%
2017-04-01T01:05:00-06:00 Denver,"","","","",45.64400100708008°F,50.88999938964844%,"","","",""
2017-04-01T01:10:00-06:00 Denver,"","","","",45.698001861572266°F,51.33000183105469%,"","","",""
2017-04-01T01:15:00-06:00 Denver,"","","","",45.5359992980957°F,51.880001068115234%,"","","",""
2017-04-01T01:20:00-06:00 Denver,"","","","",45.284000396728516°F,52.40999984741211%,"","","",""
2017-04-01T01:25:00-06:00 Denver,"","","","",45.17599868774414°F,52.90999984741211%,"","","",""
2017-04-01T01:30:00-06:00 Denver,"","","","",45.013999938964844°F,53.369998931884766%,"","","",""
2017-04-01T01:35:00-06:00 Denver,"","","","",45.104000091552734°F,52.54999923706055%,"","","",""
