BLDG,LAT,LONG,AVG
WIDTSOE BLDG,40.765883,-111.850182,41
BROWNING BLDG,40.76631,-111.847747,79
SUTTON BLDG,40.766723,-111.847875,356
SOCIAL & BEHAVIORAL SCIENCES,40.761438,-111.846421,181
COLLEGE OF SOCIAL WORK,40.760648,-111.84662,44
MARRIOTT CENTER FOR DANCE,40.76238,-111.848459,127
NAVAL SCIENCE BLDG,40.766527,-111.84938,20
TANNER IRISH HUMANITIES BLDG,40.764523,-111.84298,1
STERLING SILL CNTR,40.765355,-111.843876,27
WARNOCK ENGR BLDG,40.767738,-111.845265,478
MERRILL ENGINEERING BLDG,40.768474,-111.846386,134
CHRISTENSEN CNTR,40.761361,-111.843984,78
FLETCHER BLDG,40.766707,-111.850761,115
BIOLOGY BLDG,40.763402,-111.849461,177
ERYING CHEMESTRY BLDG,40.76228,-111.849475,582
MARRIOTT LIBRARY,40.762557,-111.845957,1078
THATCHER BLDG,40.761777,-111.84975,349
