Timestamp,['1cac2825-0e96303f 0077-CHRISTENSEN CNTR Power Meter (300172) Current A']
2017-01-01T00:00:00-07:00,113.56651306152344 A
2017-01-02T00:00:00-07:00,113.56651306152344 A
2017-01-03T00:00:00-07:00,113.56651306152344 A
2017-01-04T00:00:00-07:00,113.56651306152344 A
2017-01-05T00:00:00-07:00,113.56651306152344 A
2017-01-06T00:00:00-07:00,113.56651306152344 A
2017-01-07T00:00:00-07:00,113.56651306152344 A
2017-01-08T00:00:00-07:00,113.56651306152344 A
2017-01-09T00:00:00-07:00,113.56651306152344 A
2017-01-10T00:00:00-07:00,113.56651306152344 A
2017-01-11T00:00:00-07:00,113.56651306152344 A
2017-01-12T00:00:00-07:00,113.56651306152344 A
2017-01-13T00:00:00-07:00,113.56651306152344 A
2017-01-14T00:00:00-07:00,113.56651306152344 A
2017-01-15T00:00:00-07:00,113.56651306152344 A
2017-01-16T00:00:00-07:00,113.56651306152344 A
2017-01-17T00:00:00-07:00,113.56651306152344 A
2017-01-18T00:00:00-07:00,108.16836108896274 A
2017-01-19T00:00:00-07:00,96.80528954664867 A
2017-01-20T00:00:00-07:00,87.13160848251523 A
2017-01-21T00:00:00-07:00,79.81639042960273 A
2017-01-22T00:00:00-07:00,77.11910067134433 A
2017-01-23T00:00:00-07:00,99.11560184160868 A
2017-01-24T00:00:00-07:00,99.4804778072569 A
2017-01-25T00:00:00-07:00,100.21766491995918 A
2017-01-26T00:00:00-07:00,99.30066981580522 A
2017-01-27T00:00:00-07:00,96.18078402148353 A
2017-01-28T00:00:00-07:00,75.22700941562653 A
2017-01-29T00:00:00-07:00,64.3385731432173 A
2017-01-30T00:00:00-07:00,93.81656924353706 A
2017-01-31T00:00:00-07:00,104.42161225212945 A
2017-02-01T00:00:00-07:00,98.44301998085446 A
2017-02-02T00:00:00-07:00,99.25235786967808 A
2017-02-03T00:00:00-07:00,86.04084290589948 A
2017-02-04T00:00:00-07:00,72.46784718963835 A
2017-02-05T00:00:00-07:00,62.27593231333719 A
2017-02-06T00:00:00-07:00,87.90910510487026 A
2017-02-07T00:00:00-07:00,95.95426000084149 A
2017-02-08T00:00:00-07:00,100.52111073728999 A
2017-02-09T00:00:00-07:00,102.17364938297231 A
2017-02-10T00:00:00-07:00,92.35411824120416 A
2017-02-11T00:00:00-07:00,85.10471755133734 A
2017-02-12T00:00:00-07:00,80.34785978794098 A
2017-02-13T00:00:00-07:00,99.58152437739902 A
2017-02-14T00:00:00-07:00,98.73201222230068 A
2017-02-15T00:00:00-07:00,97.12858760886722 A
2017-02-16T00:00:00-07:00,100.15953315893809 A
2017-02-17T00:00:00-07:00,91.35128274758657 A
2017-02-18T00:00:00-07:00,76.9791464527448 A
2017-02-19T00:00:00-07:00,76.57572643756866 A
2017-02-20T00:00:00-07:00,76.44797659185198 A
2017-02-21T00:00:00-07:00,88.11801847087013 A
2017-02-22T00:00:00-07:00,91.70611038737827 A
2017-02-23T00:00:00-07:00,97.92213385634952 A
2017-02-24T00:00:00-07:00,77.06450177362872 A
2017-02-25T00:00:00-07:00,48.42869903114107 A
2017-02-26T00:00:00-07:00,43.460761952400205 A
2017-02-27T00:00:00-07:00,84.89188259707556 A
2017-02-28T00:00:00-07:00,101.93285636107127 A
2017-03-01T00:00:00-07:00,103.36366325219473 A
2017-03-02T00:00:00-07:00,101.49900665813023 A
2017-03-03T00:00:00-07:00,87.55803033245934 A
2017-03-04T00:00:00-07:00,84.08947057988908 A
2017-03-05T00:00:00-07:00,81.72705483966404 A
2017-03-06T00:00:00-07:00,98.94621912108528 A
2017-03-07T00:00:00-07:00,101.73290679189894 A
2017-03-08T00:00:00-07:00,91.04457795090146 A
2017-03-09T00:00:00-07:00,96.78715202543471 A
2017-03-10T00:00:00-07:00,93.38067639933692 A
2017-03-11T00:00:00-07:00,81.61821790271335 A
2017-03-12T00:00:00-07:00,76.6123212206191 A
2017-03-13T00:00:00-06:00,86.04627310434977 A
2017-03-14T00:00:00-06:00,86.63518937428792 A
2017-03-15T00:00:00-06:00,85.34904625680711 A
2017-03-16T00:00:00-06:00,81.8029873000251 A
2017-03-17T00:00:00-06:00,86.46868573824564 A
2017-03-18T00:00:00-06:00,86.42446782772868 A
2017-03-19T00:00:00-06:00,80.0403250336647 A
2017-03-20T00:00:00-06:00,84.6110698915576 A
2017-03-21T00:00:00-06:00,95.5372180700302 A
2017-03-22T00:00:00-06:00,92.54173967043559 A
2017-03-23T00:00:00-06:00,95.35844314628177 A
2017-03-24T00:00:00-06:00,79.78233725362354 A
2017-03-25T00:00:00-06:00,57.066653437084625 A
2017-03-26T00:00:00-06:00,53.820005742708844 A
2017-03-27T00:00:00-06:00,78.72320519950655 A
2017-03-28T00:00:00-06:00,91.761288468043 A
2017-03-29T00:00:00-06:00,93.77678696121201 A
2017-03-30T00:00:00-06:00,98.84883987426758 A
2017-03-31T00:00:00-06:00,82.91870325141483 A
2017-04-01T00:00:00-06:00,74.63484432962206 A
2017-04-02T00:00:00-06:00,72.2560785729658 A
2017-04-03T00:00:00-06:00,89.40424570507473 A
2017-04-04T00:00:00-06:00,92.01501207351684 A
2017-04-05T00:00:00-06:00,92.17425314320458 A
2017-04-06T00:00:00-06:00,88.81589209561218 A
2017-04-07T00:00:00-06:00,79.67216449843512 A
2017-04-08T00:00:00-06:00,77.64166005187565 A
2017-04-09T00:00:00-06:00,75.06287634107801 A
2017-04-10T00:00:00-06:00,92.64022874567243 A
2017-04-11T00:00:00-06:00,92.46399296389686 A
2017-04-12T00:00:00-06:00,96.31310336589813 A
2017-04-13T00:00:00-06:00,96.51002249452803 A
2017-04-14T00:00:00-06:00,86.6268339978324 A
2017-04-15T00:00:00-06:00,59.822736542617555 A
2017-04-16T00:00:00-06:00,61.083580584784706 A
2017-04-17T00:00:00-06:00,88.37073680824703 A
2017-04-18T00:00:00-06:00,92.31661094294654 A
2017-04-19T00:00:00-06:00,95.59722741974724 A
2017-04-20T00:00:00-06:00,94.6597489701377 A
2017-04-21T00:00:00-06:00,88.86535357634226 A
2017-04-22T00:00:00-06:00,86.49373705387116 A
2017-04-23T00:00:00-06:00,81.40356422779541 A
2017-04-24T00:00:00-06:00,96.73950645393795 A
2017-04-25T00:00:00-06:00,90.76080648899078 A
2017-04-26T00:00:00-06:00,91.07996354897817 A
2017-04-27T00:00:00-06:00,93.26198727024926 A
2017-04-28T00:00:00-06:00,83.6889990568161 A
2017-04-29T00:00:00-06:00,71.61532174985884 A
2017-04-30T00:00:00-06:00,67.44237710634867 A
2017-05-01T00:00:00-06:00,86.81454701158735 A
2017-05-02T00:00:00-06:00,83.81722487343683 A
2017-05-03T00:00:00-06:00,87.80261572996775 A
2017-05-04T00:00:00-06:00,85.47476391527388 A
2017-05-05T00:00:00-06:00,83.31004293759663 A
2017-05-06T00:00:00-06:00,79.20804217391544 A
2017-05-07T00:00:00-06:00,80.39539647317744 A
2017-05-08T00:00:00-06:00,80.45777125579278 A
2017-05-09T00:00:00-06:00,76.95902895927429 A
2017-05-10T00:00:00-06:00,76.14881897237566 A
2017-05-11T00:00:00-06:00,85.70211504630697 A
2017-05-12T00:00:00-06:00,90.42000906959518 A
2017-05-13T00:00:00-06:00,88.23545354666852 A
2017-05-14T00:00:00-06:00,86.34910417927637 A
2017-05-15T00:00:00-06:00,84.77517403496637 A
2017-05-16T00:00:00-06:00,89.37514929012593 A
2017-05-17T00:00:00-06:00,82.931980893347 A
2017-05-18T00:00:00-06:00,84.02015635437435 A
2017-05-19T00:00:00-06:00,74.05246237648858 A
2017-05-20T00:00:00-06:00,61.32178296910392 A
2017-05-21T00:00:00-06:00,63.20108786424001 A
2017-05-22T00:00:00-06:00,90.92836672729916 A
2017-05-23T00:00:00-06:00,93.92901145558626 A
2017-05-24T00:00:00-06:00,92.93215609126621 A
2017-05-25T00:00:00-06:00,88.53076610565185 A
2017-05-26T00:00:00-06:00,87.39372941388024 A
2017-05-27T00:00:00-06:00,84.9812943867464 A
2017-05-28T00:00:00-06:00,75.68264604409536 A
2017-05-29T00:00:00-06:00,77.04483943515353 A
2017-05-30T00:00:00-06:00,94.2424933804406 A
2017-05-31T00:00:00-06:00,90.86845588551535 A
2017-06-01T00:00:00-06:00,88.95200627839259 A
2017-06-02T00:00:00-06:00,79.37737022240957 A
2017-06-03T00:00:00-06:00,73.08621507485708 A
2017-06-04T00:00:00-06:00,73.64078728501543 A
2017-06-05T00:00:00-06:00,88.64109382602885 A
2017-06-06T00:00:00-06:00,93.25548984209696 A
2017-06-07T00:00:00-06:00,94.29617626667023 A
2017-06-08T00:00:00-06:00,93.94441816806793 A
2017-06-09T00:00:00-06:00,98.26008053885566 A
2017-06-10T00:00:00-06:00,92.8737743722068 A
2017-06-11T00:00:00-06:00,79.97522649500105 A
2017-06-12T00:00:00-06:00,95.21005629168616 A
2017-06-13T00:00:00-06:00,95.60671664079031 A
2017-06-14T00:00:00-06:00,94.76063720385234 A
